"Activation Key Required","Требуется ключ активации"
"ERROR: Invalid values entered, these are marked in red.","ОШИБКА: Введены некорректные значения, они помечены красным."
"{#field} must be a number","Значение {#field} должно быть числом"
"{#field} must be a number greater than {#min}","Значение {#field} должно быть числом, большим {#min}"
"{#field} must be a number or percentage","Значение {#field} должно быть числом или процентом"
"More colors","Другие цвета"
"Black","Чёрный"
"Burnt orange","Выгоревший оранжевый"
"Dark olive","Тёмно-оливковый"
"Dark green","Тёмно-зелёный"
"Dark azure","Тёмно-лазурный"
"Navy Blue","Тёмно-синий"
"Indigo","Индиго"
"Very dark gray","Тёмно-серый"
"Maroon","Коричнево-малиновый"
"Orange","Оранжевый"
"Olive","Оливковый"
"Green","Зелёный"
"Teal","Сине-зелёный"
"Grayish blue","Серо-синий"
"Red","Красный"
"Amber","Янтарный"
"Yellow green","Жёлто-зелёный"
"Sea green","Зелёное море"
"Turquoise","Бирюзовый"
"Royal blue","Ярко-синий"
"Purple","Пурпурный"
"Medium gray","Светло-серый"
"Magenta","Маджента"
"Gold","Золотой"
"Yellow","Жёлтый"
"Lime","Лайм"
"Aqua","Цвет морской волны"
"Sky blue","Небесно-голубой"
"Brown","Коричневый"
"Silver","Серебряный"
"Pink","Розовый"
"Peach","Персиковый"
"Light yellow","Бледно-жёлтый"
"Pale green","Бледно-зелёный"
"Pale cyan","Светлый циан"
"Light sky blue","Светлый небесно-голубой"
"Plum","Сливовый"
"White","Белый"
"Alignment","Выравнивание"
"Full","По ширине"
"%sY-%sm-%d","%d.%sm.%sY"
"Insert date","Вставить дату"
"Insert time","Вставить время"
"January","Январь"
"February","Февраль"
"March","Март"
"April","Апрель"
"May","Май"
"June","Июнь"
"July","Июль"
"August","Август"
"September","Сентябрь"
"October","Октябрь"
"November","Ноябрь"
"December","Декабрь"
"Jan_January_abbreviation","Янв"
"Feb_February_abbreviation","Фев"
"Mar_March_abbreviation","Мар"
"Apr_April_abbreviation","Апр"
"May_May_abbreviation","Май"
"Jun_June_abbreviation","Июн"
"Jul_July_abbreviation","Июл"
"Aug_August_abbreviation","Авг"
"Sep_September_abbreviation","Сен"
"Oct_October_abbreviation","Окт"
"Nov_November_abbreviation","Ноя"
"Dec_December_abbreviation","Дек"
"Sunday","Воскресенье"
"Monday","Понедельник"
"Tuesday","Вторник"
"Wednesday","Среда"
"Thursday","Четверг"
"Friday","Пятница"
"Saturday","Суббота"
"Sun","Вс"
"Mon","Пн"
"Tue","Вт"
"Wed","Ср"
"Thu","Чт"
"Fri","Пт"
"Sat","Сб"
"Print","Печать"
"Preview","Просмотреть"
"Direction left to right","Направление слева направо"
"Direction right to left","Направление справа налево"
"Insert new layer","Вставить новый слой"
"Move forward","Переместить вперёд"
"Move backward","Переместить назад"
"Toggle absolute positioning","Включить/выключить абсолютное позиционирование"
"New layer...","Новый слой..."
"Cancel all changes","Отменить все изменения"
"Insert non-breaking space character","Вставить символ неразрывного пробела"
"Run spell checking","Запустить проверку орфографии"
"ieSpell not detected. Do you want to install it now?","ieSpell не обнаружен. Установить сейчас?"
"Horizontal rule","Горизонтальный разделитель"
"Emotions","Эмоции"
"Find","Найти"
"Find/Replace","Найти/Заменить"
"Insert/edit image","Вставить/изменить картинку"
"Insert/edit link","Вставить/изменить ссылку"
"Citation","Цитата"
"Abbreviation","Аббревиатура"
"Acronym","Сокращение"
"Deletion","Удаление"
"Insertion","Вставка"
"Insert/Edit Attributes","Вставить/редактировать атрибуты"
"Edit CSS Style","Редактировать CSS"
"Paste as Plain Text","Вставить как текст"
"Paste from Word","Вставить из Word"
"Select All","Выделить все"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Выбран режим вставки простого текста. Нажмите снова, чтобы переключиться в обычный режим. После вставки вы также вернётесь в обычный режим."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Выбран режим вставки простого текста. Нажмите снова, чтобы переключиться в обычный режим."
"Use CTRL+V on your keyboard to paste the text into the window.","Используйте сочетание Ctrl+V, чтобы вставить в окно текст."
"Keep linebreaks","Сохранять разрывы строк"
"Inserts a new table","Вставляет новую таблицу"
"Insert row before","Вставить строку до"
"Insert row after","Вставить строку после"
"Delete row","Удалить строку"
"Insert column before","Вставить столбец до"
"Insert column after","Вставить столбец после"
"Remove column","Удалить столбец"
"Split merged table cells","Разделить объединённые ячейки таблицы"
"Merge table cells","Объединить ячейки таблицы"
"Table row properties","Свойства строки таблицы"
"Table cell properties","Свойства ячейки таблицы"
"Table properties","Свойства таблицы"
"Paste table row before","Вставить строку таблицы до"
"Paste table row after","Вставить строку таблицы после"
"Cut table row","Вырезать строку таблицы"
"Copy table row","Копировать строку таблицы"
"Delete table","Удалить таблицу"
"Row","Строка"
"Column","Столбец"
"Cell","Ячейка"
"The changes you made will be lost if you navigate away from this page.","Сделанные вами изменения будут отменены, если вы уйдёте с этой страницы."
"Toggle fullscreen mode (Alt + Shift + G)","Полноэкранный режим (Alt + Shift + G)"
"Insert / edit embedded media","Вставить/редактировать медиафайл"
"Edit embedded media","Редактировать медиафайл"
"Document properties","Свойства документа"
"Insert predefined template content","Вставить содержимое готового шаблона"
"Visual control characters on/off.","Включить/выключить символы визуального контроля."
"Toggle spellchecker (Alt + Shift + N)","Включить/выключить проверку орфографии (Alt + Shift + N)"
"Spellchecker settings","Настройки проверки орфографии"
"Ignore word","Пропустить слово"
"Ignore all","Пропустить все"
"Languages","Языки"
"Please wait...","Пожалуйста, подождите..."
"Suggestions","Варианты"
"No suggestions","Вариантов нет"
"No misspellings found.","Орфографических ошибок не найдено."
"Learn word","Добавить в словарь"
"Insert Page Break","Вставить разрыв страницы"
"Types","Типы"
"Lower alpha","Строчные латинские буквы"
"Lower greek","Строчные греческие буквы"
"Lower roman","Строчные римские буквы"
"Upper alpha","Заглавные латинские буквы"
"Upper roman","Заглавные римские буквы"
"Circle","Кружок"
"Disc","Точка"
"Square","Квадрат"
"Rich Text Area","Область редактирования"
"Words:","Слов:"
"Styles","Стили"
"Font size","Размер шрифта"
"Font family","Семейство шрифтов"
"Format","Формат"
"Paragraph","Абзац"
"Div","Слой"
"Address","Адрес"
"Preformatted","Отформатированный"
"Heading 1","Заголовок 1"
"Heading 2","Заголовок 2"
"Heading 3","Заголовок 3"
"Heading 4","Заголовок 4"
"Heading 5","Заголовок 5"
"Heading 6","Заголовок 6"
"Blockquote","Цитата"
"Code","Код"
"Code sample","Образец кода"
"Definition term","Термин "
"Definition description","Описание термина"
"Underline","Подчёркнутый"
"Strikethrough (Alt + Shift + D)","Перечёркнутый (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","По левому краю (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","По центру (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","По правому краю (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","По ширине (Alt + Shift + J)"
"Outdent","Убрать отступ"
"Indent","Отступ"
"Undo (Ctrl + Z)","Отменить (Ctrl + Z)"
"Redo (Ctrl + Y)","Повторить (Ctrl + Y)"
"Cleanup messy code","Привести код в порядок"
"Edit HTML Source","Редактировать HTML"
"Subscript","Нижний индекс"
"Superscript","Верхний индекс"
"Insert horizontal ruler","Вставить горизонтальный разделитель"
"Remove formatting","Убрать форматирование"
"Select text color","Выбрать цвет текста"
"Select background color","Выбрать цвет фона"
"Insert custom character","Вставить произвольный символ"
"Toggle guidelines/invisible elements","Ориентиры / невидимые символы"
"Insert/edit anchor","Вставить/редактировать якорь"
"Cut","Вырезать"
"Copy","Копировать"
"Paste","Вставить"
"Image properties","Свойства картинки"
"New document","Новый документ"
"Help","Помощь"
"Path","Путь"
"Are you sure you want to clear all contents?","Вы уверены, что хотите очистить всё содержимое?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Перейти к инструментам &#8212; Alt+Q, перейти к редактору &#8212; Alt+Z, перейти к пути элемента &#8212; Alt+X"
"Accessibility Help","Помощь по специальным возможностям"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Alt + F10 — панель инструментов. Alt + 0 — помощь."
"Toolbar","Панель инструментов"
"About TinyMCE","О TinyMCE"
"About","Детали"
"License","Лицензия"
"Plugins","плагинов"
"Plugin","Плагин"
"Author","Автор"
"Version","Версия"
"Loaded plugins","Загруженные плагины"
"Anchor name","Имя якоря"
"HTML Source Editor","Редактор HTML"
"Word wrap","Перенос по словам"
"Select a color","Выбрать цвет"
"Picker","Выбор цвета"
"Color picker","Выбор цвета"
"Palette","Палитра"
"Palette colors","Цвета палитры"
"Named","Именованные"
"Named colors","Именованные цвета"
"Color:","Цвет:"
"Name:","Имя:"
"Select custom character","Выберите произвольный символ"
"Use left and right arrows to navigate.","Используйте для навигации стрелки «влево» и «вправо»."
"Image URL","Адрес (URL)"
"Image description","Описание"
"Image list","Список изображений"
"Border","Рамка"
"Dimensions","Размеры"
"Vertical space","Отступ (V)"
"Horizontal space","Отступ (H)"
"Baseline","По базовой линии"
"Top","Сверху"
"Middle","Посередине"
"Bottom","Снизу"
"Text top","Сверху текста"
"Text bottom","Снизу текста"
"Link URL","Ссылка"
"Target","Цель"
"Open link in the same window","Открывать в текущем окне"
"Open link in a new window","Открывать в новом окне"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Введённый вами адрес похож на e-mail, добавить mailto: в начало?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Введённый вами адрес похож на внешнюю ссылку, добавить http:// в начало?"
"Link list","Список ссылок"
"General Usage","Общие вопросы"
"General","Общие"
"Advanced","Дополнительно"
"File/URL","Файл/URL"
"List","Список"
"Constrain proportions","Сохранять пропорции"
"Type","Тип"
"V-Space","Отступ (V)"
"H-Space","Отступ (H)"
"Auto play","Автовоспроизведение"
"Loop","Зациклить"
"Show menu","Отображать меню"
"Quality","Качество"
"Scale","Масштабировать"
"Align","Расположение"
"Base","Базовый каталог"
"Flashvars","Переменные Flashvars"
"Cache","Кеширование"
"Hidden","Скрыт"
"Controller","Контроллер"
"Kiosk mode","Режим киоска"
"Play every frame","Играть каждый кадр"
"Target cache","Кеширование цели"
"No correction","Без коррекции"
"Enable JavaScript","Разрешить JavaScript"
"Start time","Время старта"
"End time","Время завершения"
"href","Ссылка"
"Choke speed","Уменьшить скорость"
"Volume","Громкость"
"Auto start","Автостарт"
"Enabled","Доступен"
"Fullscreen","На весь экран"
"Invoke URLs","Открывать ссылки (URL)"
"Mute","Без звука"
"Stretch to fit","Растянуть до размеров окна"
"Windowless video","Видео без окна"
"Balance","Баланс"
"Base URL","Базовый URL"
"Captioning id","ID элемента подписи"
"Current marker","Текущий маркер"
"Current position","Текущая позиция"
"Default frame","Кадр по умолчанию"
"Play count","Число показов"
"Rate","Частота"
"UI Mode","Режим интерфейса"
"Flash options","Настройки Flash"
"QuickTime options","Настройки QuickTime"
"Windows media player options","Настройки Windows media player"
"Real media player options","Настройки проигрывателя Real media"
"Shockwave options","Настройки Shockwave"
"Auto goto URL","Автопереход к URL"
"Image status","Статус изображения"
"Maintain aspect","Сохранить пропорции"
"No java","Без java"
"Prefetch","Упреждающее чтение"
"Shuffle","Произвольный порядок"
"Console","Консоль"
"Num loops","Число повторов"
"Controls","Управление"
"Script callbacks","Функции скриптов"
"Stretch style","Стиль растяжения"
"Stretch H-Align","Выравнивание по горизонтали"
"Stretch V-Align","Выравнивание по вертикали"
"Sound","Звук"
"Progress","Индикатор"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Потоковые ресурсы rtsp следует добавлять в поле QT Src под вкладкой «Дополнительно»."
"Top left","Вверху слева"
"Top right","Вверху справа"
"Bottom left","Внизу слева"
"Bottom right","Внизу справа"
"Flash video options","Настройки Flash-видео"
"Scale mode","Режим масштабирования"
"Buffer","Буфер"
"Start image","Начальное изображение"
"Default volume","Громкость по умолчанию"
"Hidden GUI","Скрытый GUI"
"Show scale modes","Показать режимы масштабирования"
"Smooth video","Сглаживать видео"
"JS Callback","Функция JS"
"HTML5 Video Options","Параметры видео HTML5"
"Alternative source 1","Альтернативный источник 1"
"Alternative source 2","Альтернативный источник 2"
"Preload","Предварительная загрузка"
"Poster","Постер"
"Source","Источник"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Показать/скрыть дополнительную панель (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Вставить тег &laquo;Далее&raquo; (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Вставить разрыв страницы (Alt + Shift + P)"
"More...","Далее..."
"Next page...","Следующая страница..."
"Add Media","Добавить медиафайл"
"Add an Image","Добавить изображение"
"Add Video","Добавить видеофайл"
"Add Audio","Добавить аудиофайл"
"Edit Gallery","Редактировать галерею"
"Delete Gallery","Удалить галерею"
"Distraction Free Writing mode (Alt + Shift + W)","Полноэкранный режим (Alt + Shift + W)"
"Edit Image","Редактировать"
"Delete Image","Удалить изображение"
"Advanced Settings","Дополнительно"
"Size","Размер"
"Thumbnail","Миниатюра"
"Medium","Средний"
"Full Size","Полный"
"Current Link","Текущая ссылка"
"Link to Image","Ссылка на изображение"
"Enter a link URL or click above for presets.","Введите ссылку или нажмите одну из кнопок."
"Advanced Image Settings","Дополнительные параметры изображения"
"Width","Ширина"
"Height","Высота"
"Original Size","Исходный размер"
"CSS Class","Класс CSS"
"Advanced Link Settings","Дополнительные параметры ссылки"
"Link Rel","Отношение"
"Caption","Подпись"
"Alternative Text","Атрибут alt"
"Rich Editor Help","Помощь по визуальному редактору"
"Basics of Rich Editing","Основы визуального редактора"
"Basics","Основы"
"Advanced use of the Rich Editor","Использование визуального редактора"
"Hotkeys","Клавиши"
"About the software","О программе"
"Rich Editing Basics","Основы визуального редактора"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Визуальное редактирование</em>, так называемое WYSIWYG (What You See Is What You Get: что ты видишь &#8212; то и получаешь), означает, что текст форматируется по мере набора. Визуальный редактор незаметно создаёт HTML-код, в то время как вы сосредоточены на тексте. Стили шрифта, ссылки и картинки отображаются сразу после вставки."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress включает в себя визуальный редактор, который работает во всех основных браузерах. Однако редактирование HTML &#8212; не то же самое, что набор текста. Каждая страница имеет две основные составляющие: структуру, которая представляет собой HTML-код и создаётся редактором по мере ввода, и применяемое к этой структуре отображение, которое определяется текущей выбранной темой WordPress и файлом style.css. WordPress создаёт корректный XHTML 1.0, и это значит, что вставка после абзаца множественных разделителей строк (BR) не создаёт пробелов на веб-странице. Теги BR будут удалены встроенными функциями корректировки HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","В редакторе основные сочетания клавиш работают так же, как и в других текстовых редакторах. Например, Shift+Enter вставляет разрыв строки, Ctrl+C = копировать, Ctrl+X = вырезать, Ctrl+Z = отменить, Ctrl+Y = повторить, Ctrl+A = выделить всё, и т.д. (на компьютерах Mac вместо Ctrl используйте клавишу Command). В разделе &laquo;Клавиши&raquo; можно посмотреть все доступные сочетания."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Если работа визуального редактора вас не устроит, его можно отключить в персональных настройках вашего профиля."
"Advanced Rich Editing","Визуальное редактирование"
"Images and Attachments","Картинки и вложения"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","На панели редактора есть кнопка для вставки картинки, которая уже размещена где-то в интернете. Если вы знаете адрес картинки, нажмите на эту кнопку и введите адрес в соответствующем поле."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Если вы хотите загрузить изображение или другой медиафайл с компьютера, можно использовать кнопку библиотеки медиафайлов чуть выше редактора. Для каждого загруженного изображения в библиотеке файлов создаётся миниатюра. Чтобы вставить загруженную картинку в запись, щёлкните на миниатюре для просмотра способов представления. Выбрав подходящий вариант, нажмите кнопку &laquo;Вставить в запись&raquo;, и ваша картинка или файл появится в текущей записи."
"HTML in the Rich Editor","HTML в визуальном редакторе"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Любой HTML-код, введённый прямо в визуальном редакторе, при просмотре записи будет показан как текст. Что видишь &#8212; то и получаешь. Если вы хотите включить в запись HTML-элементы, которые нельзя получить с помощью кнопок на панели инструментов, вам нужно добавить их вручную в текстовом редакторе. Для этого переключитесь на вкладку &laquo;Текст&raquo; и введите код. Если он корректен и понятен визуальному редактору, вы увидите его сразу же, переключившись обратно в визуальный режим."
"Pasting in the Rich Editor","Вставка текста в визуальный редактор"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","При копировании содержимого с другой веб-страницы результат зависит от вашего браузера и копируемой страницы и может оказаться неподходящим. Редактор попытается исправить весь некорректный HTML-код, но для обеспечения наилучших результатов попробуйте использовать вкладку &laquo;Текст&raquo; или кнопки специальной вставки во втором ряду. Либо попробуйте копировать текст по одному параграфу. В большинстве браузеров, чтобы выделить весь параграф, нужно сделать по нему тройной щелчок."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Вставлять содержимое из других приложений, таких как Word или Excel, лучше всего с помощью кнопки &laquo;Вставить из Word&raquo; во втором ряду, либо в текстовом режиме."
"Writing at Full Speed","Пишите в полную силу"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Вместо мышки вы можете использовать горячие клавиши. В Windows и Linux используется Ctrl + буква. На Macintosh &#8212; Command + буква."
"Letter","Буква"
"Action","Действие"
"Select all","Выделить всё"
"Undo","Отменить"
"Redo","Повторить"
"Bold","Жирный"
"Italic","Курсив"
"The following shortcuts use different access keys: Alt + Shift + letter.","В следующих комбинациях используются другие служебные клавиши: Alt + Shift + буква."
"Check Spelling","Проверка орфографии"
"Align Left","По левому краю"
"Justify Text","По ширине"
"Align Center","По центру"
"Strikethrough","Перечёркнутый"
"Align Right","По правому краю"
"Insert link","Вставить ссылку"
"Remove link","Удалить ссылку"
"Quote","Цитата"
"Insert Image","Вставить фото"
"Distraction Free Writing mode","Полноэкранный режим"
"Insert More Tag","Вставить тег &laquo;Далее&raquo;"
"Insert Page Break tag","Вставить тег разрыва страницы"
"Editor width in Distraction Free Writing mode:","Ширина редактора в полноэкранном режиме:"
"Wider","Шире"
"Narrower","Уже"
"Default width","Ширина по умолчанию"
"Version:","Версия: "
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE &#8212; это кроссплатформенный визуальный редактор, написанный на JavaScript и распространяемый по лицензии %sLGPL</a>\t компанией Moxiecode Systems AB. Он позволяет перевести все поля textarea или другие элементы HTML в режим визуального редактирования."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003&#8212;2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>. Все права защищены."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Для получения дополнительной информации посетите <a href=\"http://tinymce.com\" target=\"_blank\">сайт TinyMCE</a>."
"Comments Feed","Лента комментариев"
"Edit This","Редактировать"
"Edit comment","Изменить комментарий"
"Edit Link","Изменить ссылку"
"Use commas instead of %s to separate excluded categories.","Чтобы исключить несколько рубрик, вместо %s используйте запятые."
"Previous Post","Предыдущая запись"
"Next Post","Следующая запись"
"Newer Comments &raquo;","Следующие комментарии &rarr;"
"&laquo; Older Comments","&larr; Предыдущие комментарии"
"This is the short link.","Это короткая ссылка."
"Your server is running PHP version %s but WordPress %s requires at least %s.","На сервере установлен PHP версии %s, однако для WordPress %s требуется хотя бы %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Похоже, в вашей конфигурации PHP отсутствует расширение MySQL, необходимое для работы WordPress."
"Maintenance","Обслуживание"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Сайт ненадолго закрыт на техническое обслуживание. Зайдите через минуту."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ОШИБКА</strong>: <code>$table_prefix</code> в <code>wp-config.php</code> может содержать только числа, буквы и подчёркивания."
"The site you have requested is not installed properly. Please contact the system administrator.","Запрошенный вами сайт установлен неверно. Пожалуйста, свяжитесь с администратором сервера."
"S_Sunday_initial","Вс"
"M_Monday_initial","Пн"
"T_Tuesday_initial","Вт"
"W_Wednesday_initial","Ср"
"T_Thursday_initial","Чт"
"F_Friday_initial","Пт"
"S_Saturday_initial","Сб"
"am","дп"
"pm","пп"
"AM","ДП"
"PM","ПП"
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Перетащите файлы сюда"
"Upload Limit Exceeded","Превышен лимит загрузок"
"Drop files anywhere to upload","Перетащите файлы сюда"
"Select Files","Выберите файлы"
"Maximum upload file size: %d%s.","Максимальный размер файла: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Ваш браузер имеет некоторые ограничения, касающиеся загрузки больших файлов с помощью многофайлового загрузчика. Для файлов размером более 100 МБ используйте, пожалуйста, <a href=\"%s\" target=\"%s\">загрузчик браузера</a>."
"Uploading","Загрузка"
"Dismiss Errors","Скрыть ошибки"
"Deselect","Снять выделение"
"Caption this image&hellip;","Подпишите это изображение&hellip;"
"Describe this video&hellip;","Опишите этот видеофайл&hellip;"
"Describe this audio file&hellip;","Опишите этот аудиофайл&hellip;"
"Describe this media file&hellip;","Опишите этот медиафайл&hellip;"
"Attachment Details","Параметры файла"
"Refresh","Обновить"
"Delete Permanently","Удалить навсегда"
"Alt Text","Атрибут alt"
"Description","Описание"
"Edit","Изменить"
"Clear","Очистить"
"Attachment Display Settings","Параметры отображения файла"
"Link To","Ссылка"
"Custom URL","Произвольный URL"
"Media File","Медиафайл"
"Attachment Page","Страница вложения"
"Large","Большой"
"Gallery Settings","Настройки галереи"
"Columns","Колонки"
"Random Order","Случайный порядок"
"No editor could be selected.","Не удалось выбрать редактор."
"Allowed Files","Разрешённые файлы"
"Select","Выбрать"
"%d selected","Выбрано: %d"
"Drag and drop to reorder images.","Отсортируйте изображения путём перетаскивания."
"Upload Files","Загрузить файлы"
"Upload Images","Загрузить изображения"
"Media Library","Библиотека файлов"
"Insert Media","Вставить медиафайл"
"Create a new gallery","Создать новую галерею"
"&#8592; Return to library","&#8592; Вернуться в библиотеку"
"All media items","Все медиафайлы"
"No items found.","Элементов не найдено."
"Insert into page","Вставить в страницу"
"Insert into post","Вставить в запись"
"Uploaded to this page","Загруженные для этой страницы"
"Uploaded to this post","Загруженные для этой записи"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Вы собираетесь навсегда удалить этот элемент.\n  «Отмена» — оставить, «OK» — удалить."
"Insert from URL","Вставить с сайта"
"Set Featured Image","Задать миниатюру"
"Set featured image","Задать миниатюру"
"Create Gallery","Создать галерею"
"&#8592; Cancel Gallery","&#8592; Отменить создание галереи"
"Insert gallery","Вставить галерею"
"Update gallery","Обновить галерею"
"Add to gallery","Добавить в галерею"
"Add to Gallery","Добавить в галерею"
"Reverse order","В обратном порядке"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Константа <code>VHOST</code> <strong>считается устаревшей</strong>. Используйте логическую константу <code>SUBDOMAIN_INSTALL</code> в wp-config.php, чтобы включить режим поддоменов. Используйте функцию is_subdomain_install(), чтобы проверить, включён ли режим поддоменов."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Конфликт значений VHOST и SUBDOMAIN_INSTALL.</strong> В качестве параметра режима поддоменов будет использовано значение константы SUBDOMAIN_INSTALL."
"The requested user does not exist.","Запрошенный пользователь не найден."
"That user does not exist.","Такого пользователя не существует."
"<strong>ERROR</strong>: Site URL already taken.","<strong>ОШИБКА</strong>: URL сайта уже занят."
"<strong>ERROR</strong>: problem creating site entry.","<strong>ОШИБКА</strong>: при создании сайта возникла проблема."
"Only lowercase letters (a-z) and numbers are allowed.","Разрешены только латинские буквы в нижнем регистре (a&#8212;z) и цифры."
"Please enter a username.","Пожалуйста, введите имя пользователя."
"That username is not allowed.","Это имя пользователя недопустимо."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Этот почтовый адрес нельзя использовать для регистрации. Некоторые из наших писем блокируются данной почтовой службой. Пожалуйста, используйте другую службу."
"Username must be at least 4 characters.","Имя пользователя должно быть не короче 4 символов."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Извините, имя пользователя не может содержать символ &laquo;_&raquo;!"
"Sorry, usernames must have letters too!","Извините, имя пользователя должно содержать также и буквы!"
"Please enter a valid email address.","Пожалуйста, введите корректный адрес e-mail."
"Sorry, that email address is not allowed!","Извините, этот адрес e-mail недопустим!"
"Sorry, that username already exists!","Извините, это имя пользователя уже существует!"
"Sorry, that email address is already used!","Извините, этот адрес e-mail уже используется!"
"That username is currently reserved but may be available in a couple of days.","Это имя пользователя в настоящее время зарезервировано, но может стать доступным через несколько дней."
"username and email used","имя пользователя и e-mail используются"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Этот адрес уже используется. Пожалуйста, поищите в своей почте письмо об активации. Если вы ничего не сделаете, адрес снова станет доступен через пару дней."
"Please enter a site name.","Пожалуйста, введите имя сайта."
"That name is not allowed.","Это имя недопустимо."
"Site name must be at least 4 characters.","Имя сайта должно быть не короче 4 символов."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Извините, имя сайта не может содержать символ &laquo;_&raquo;!"
"Sorry, you may not use that site name.","Извините, это имя сайта нельзя использовать."
"Sorry, site names must have letters too!","Извините, имя сайта должно содержать также и буквы!"
"Please enter a site title.","Пожалуйста, введите заголовок сайта."
"Sorry, that site already exists!","Извините, такой сайт уже существует!"
"Sorry, that site is reserved!","Извините, этот сайт зарезервирован!"
"That site is currently reserved but may be available in a couple days.","Этот сайт в настоящее время зарезервирован, но может стать доступным через несколько дней."
