"New password","Nytt lösenord"
"%s %s Comments Feed","%s %s kommentarsflöde"
"%s %s %s Comments Feed","%s %s %s kommentarsflöde"
"%s %s %s Category Feed","%s %s %s kategoriflöde"
"%s %s %s Tag Feed","%s %s %s etikettflöde"
"%s %s Posts by %s Feed","%s %s Inlägg av %s -flöde"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Sökresultat för &#8221;%s&#8221; -flöde"
"%s %s %s Feed","Flöde för %s %s %s"
"&laquo; Previous","&laquo; Föregående"
"Next &raquo;","Nästa &raquo;"
"Blue","Blå"
"Gray","Grå"
"Do you want to use the WYSIWYG mode for this textarea?","Vill du använda WYSIWYG-redigeraren för denna textruta?"
"Apply","Utför"
"Insert","Lägg till"
"Close","Stäng"
"Browse","Visa"
"-- Not set --","-- Ej satt --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopiera/Klipp ut/Klistra in är inte tillgängligt i Mozilla och Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Din webbläsare har för närvarande inte stöd, använd kortkommandon istället."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Vi har upptäckt att din popup-blockerare har stoppat ett fönster som behövs för funktionaliteten. Du måste inaktivera popup-blockeraren för denna sida för full funktionalitet."
"ERROR: Invalid values entered, these are marked in red.","FEL: Ogiltiga värden angivna, dessa är markerade med rött."
"{#field} must be a number","{#field} måste vara ett nummer"
"{#field} must be a number greater than {#min}","{#field} måste vara ett tal större än {#min}"
"{#field} must be a number or percentage","{#field} måste vara ett nummer eller procentsats"
"More colors","Fler färger"
"Black","Svart"
"Burnt orange","Brunorange"
"Dark olive","Mörk olivgrön"
"Dark green","Mörkgrön"
"Dark azure","Mörk himmelsblå"
"Navy Blue","Marinblå"
"Indigo","Indigoblå"
"Very dark gray","Mycket mörkgrå"
"Maroon","Kastanjebrun"
"Olive","Olivgrön"
"Green","Grönt"
"Teal","Grönblå"
"Grayish blue","Gråblå"
"Red","Rött"
"Amber","Bärnstengul"
"Yellow green","Gulgrön"
"Sea green","Ljusgrön"
"Turquoise","Turkos"
"Royal blue","Kungsblå"
"Purple","Lila"
"Medium gray","Mellangrå"
"Gold","Guld"
"Yellow","Gult"
"Lime","Limegrön"
"Aqua","Ljudblå"
"Sky blue","Himmelsblå"
"Brown","Brunt"
"Pink","Rosa"
"Peach","Persikorosa"
"Light yellow","Ljusgul"
"Pale green","Ljusgrön"
"Pale cyan","Ljusturkos"
"Light sky blue","Ljus himmelsblå"
"Plum","Mörklila"
"White","Vitt"
"Alignment","Justering"
"Full","Hel"
"Insert date","Infoga datum"
"Insert time","Infoga tid"
"January","januari"
"February","februari"
"March","mars"
"April","april"
"May","maj"
"June","juni"
"July","juli"
"August","augusti"
"September","september"
"October","oktober"
"November","november"
"December","december"
"Jan_January_abbreviation","Jan"
"Feb_February_abbreviation","Feb"
"Mar_March_abbreviation","Mar"
"Apr_April_abbreviation","Apr"
"May_May_abbreviation","Maj"
"Jun_June_abbreviation","Jun"
"Jul_July_abbreviation","Jul"
"Aug_August_abbreviation","Aug"
"Sep_September_abbreviation","Sep"
"Oct_October_abbreviation","Okt"
"Nov_November_abbreviation","Nov"
"Dec_December_abbreviation","Dec"
"Sunday","söndag"
"Monday","måndag"
"Tuesday","tisdag"
"Wednesday","onsdag"
"Thursday","torsdag"
"Friday","fredag"
"Saturday","lördag"
"Sun","sön"
"Mon","mån"
"Tue","tis"
"Wed","ons"
"Thu","tor"
"Fri","fre"
"Sat","lör"
"Print","Skriv ut"
"Preview","Förhandsgranska"
"Direction left to right","Riktning vänster till höger"
"Direction right to left","Riktning höger till vänster"
"Insert new layer","Infoga nytt lager"
"Move forward","Fortsätt framåt"
"Move backward","Gå bakåt"
"Toggle absolute positioning","Använd absolut positionering"
"New layer...","Nytt lager..."
"Cancel all changes","Avbryt alla ändringar"
"Insert non-breaking space character","Infoga bindestreck"
"Run spell checking","Kör stavningskontroll"
"ieSpell not detected. Do you want to install it now?","ieSpell kunde inte hittas. Vill du installera det nu?"
"Horizontal rule","Horisontal linje"
"Emotions","Känslor"
"Find","Hitta"
"Find/Replace","Hitta/Ersätt"
"Insert/edit image","Infoga/redigera bild"
"Insert/edit link","Infoga/redigera länk"
"Citation","Refererande citat"
"Abbreviation","Förkortning"
"Acronym","Akronym"
"Deletion","Radering"
"Insertion","Infogning"
"Insert/Edit Attributes","Infoga/redigera Attribut"
"Edit CSS Style","Ändra CSS-stilmall"
"Paste as Plain Text","Klistra in som enkel text"
"Paste from Word","Klistra in från Word"
"Select All","Välj alla"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Klistra in är nu i läget oformaterad text. Klicka igen för att växla tillbaka till ordinarie klistra läge. När du har klistrat in något så kommer du tillbaka till vanlig klistra in läget."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Klistra in är nu i läget oformaterad text. Klicka igen för att växla tillbaka till ordinarie klistra in läge."
"Use CTRL+V on your keyboard to paste the text into the window.","Använd CTRL+V på ditt tangentbord för att klistra in text i fönstret."
"Keep linebreaks","Behåll radbrytningar"
"Inserts a new table","Infoga en ny tabell"
"Insert row before","Infoga en rad innan"
"Insert row after","Infoga rad efter"
"Delete row","Radera rad"
"Insert column before","Infoga en kolumn innan"
"Insert column after","Infoga kolumn efter"
"Remove column","Ta bort kolumn"
"Split merged table cells","Sära på sammansatta tabellceller"
"Merge table cells","Sammanfoga tabellceller"
"Table row properties","Tabellradsegenskaper"
"Table cell properties","Tabellcellsegenskaper"
"Table properties","Tabellegenskaper"
"Paste table row before","Klistra in tabellrad innan"
"Paste table row after","Klistra in tabellrad efter"
"Cut table row","Klipp ut tabellrad"
"Copy table row","Kopiera tabellrad"
"Delete table","Radera tabell"
"Row","Rad"
"Column","Kolumn"
"The changes you made will be lost if you navigate away from this page.","Ändringarna du gjort kommer att förloras om du går i från sidan utan att spara."
"Toggle fullscreen mode (Alt + Shift + G)","Fullskärmsläge av/på (Alt + Skift + G)"
"Insert / edit embedded media","Infoga / redigera inbäddad media"
"Edit embedded media","Redigera inbäddad media"
"Document properties","Dokumentegenskaper"
"Insert predefined template content","Infoga förvalt mallinnehåll"
"Visual control characters on/off.","Visuella kontrolltecken på/av."
"Toggle spellchecker (Alt + Shift + N)","Stavningskontroll av/på (Alt + Skift + N)"
"Spellchecker settings","Inställningar för rättstavning"
"Ignore word","Ignorera ord"
"Ignore all","Ignorera alla"
"Languages","Språk"
"Please wait...","Vänta..."
"Suggestions","Förslag"
"No suggestions","Inga förslag"
"This is somewhat embarrassing, isn&rsquo;t it?","Det här var ju lite pinsamt, eller hur?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Det verkar som det du letade efter inte kunde hittas. Kanske kan en sökning hjälpa."
"Daily Archives: %s","Dagsarkiv: %s"
"Monthly Archives: %s","månadsarkiv: %s"
"Yearly Archives: %s","Årsarkiv: %s"
"Author Archives: %s","Författararkiv: %s"
"About %s","Om %s"
"Category Archives: %s","Kategoriarkiv: %s"
"One thought on &ldquo;%s&rdquo;","En reaktion på &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s reaktion på &ldquo;%s&rdquo;"
"Comment navigation","Kommentarsnavigering"
"&larr; Older Comments","&larr; Äldre kommentarer"
"Newer Comments &rarr;","Nyare kommentarer &rarr;"
"Permalink to %s","Permanent länk till %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Läs mer <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Lämna ett svar"
"1 Reply","1 svar"
"%s Replies","%s svar"
"Nothing Found","Inget kunde hittas"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Beklagar, inga resultat funna. Kanske kan en sökning hjälpa dig att hitta relaterat innehåll."
"Featured post","Utvalt inlägg"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Visa alla inlägg av %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Semantisk plattform för personlig publicering"
"Proudly powered by %s","Drivs med %s"
"Primary Menu","Primär meny"
"Page %s","Sida %s"
"Main Sidebar","Primär sidopanel"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Visas tillsammans med inlägg och sidor förutom i den valfria mallen för startsidan som har sina egna widgetfält"
"First Front Page Widget Area","Första widgetfältet för startsidan"
"Appears when using the optional Front Page template with a page set as Static Front Page","Visas vid användning av den valfria mallen för startsidan när en statisk startsida är angiven"
"Second Front Page Widget Area","Andra widgetfältet för startsidan"
"Post navigation","Inläggsnavigering"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Äldre inlägg"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Nyare inlägg <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Pingback: "
"Post author","Inläggsförfattare"
"View all posts by %s","Visa alla inlägg av %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Detta inlägg postades i %s och märktes %s den %s<span class=\"by-author\"> av %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Detta inlägg postades i %s den %s<span class=\"by-author\"> av %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Detta inlägg postades den %s<span class=\"by-author\"> av %s</span>."
"Menu","Meny"
"Skip to content","Hoppa till innehåll"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Publicerat </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> i storleken <a href=\"%s\" title=\"Länk till bild i full storlek\">%s &times; %s</a> i <a href=\"%s\" title=\"Tillbaka till %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Föregående"
"Next &rarr;","Nästa &rarr;"
"No posts to display","Inga inlägg att visa"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Är du redo att publicera ditt första inlägg? <a href=\"%s\">Kom igång här</a>."
"Search Results for: %s","Sökresultat för: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Ledsen, men inga matchande resultat kunde hittas baserat på dina kriterier. Var vänlig försök med andra sökord."
"Tag Archives: %s","Etikettarkiv: %s"
"the WordPress team","WordPress teamet"
"Front Page Template","Mall för startsida"
"Invalid user ID.","Ogiltigt användar-ID."
"Embeds","Inbäddningar"
"Uploading Files","Laddar upp filer"
"Store uploads in this folder","Spara uppladdade filer i den här katalogen"
"Default is <code>wp-content/uploads</code>","Standardkatalog är <code>wp-content/uploads</code>"
"Full URL path to files","Fullständig sökväg till filer"
"Configuring this is optional. By default, it should be blank.","Konfigurering av det här är valfritt, som standard så bör det lämnas tomt."
"Organize my uploads into month- and year-based folders","Organisera mina uppladdade filer i kataloger enligt månad och år"
"Permalink Settings","Permalänksinställningar"
"Permalinks are the permanent URLs to your individual pages and blog posts, as well as your category and tag archives. A permalink is the web address used to link to your content. The URL to each post should be permanent, and never change &#8212; hence the name permalink.","Permalänkar är permanenta webbadresser till din enskilda sidor och blogginlägg, liksom ditt kategori- och etikett-arkiv. En permalänk är webbadressen som används för att länka till ditt innehåll. Webbadressen för varje post bör vara permanent, och aldrig förändras - därav namnet permalänk (på svenska en förkortad variant på permanent länk)."
"This screen allows you to choose your default permalink structure. You can choose from common settings or create custom URL structures.","Den här sidan låter dig välja din förinställda permalänksstruktur, Du kan välja mellan vanligt använda inställningar eller skapa en anpassad URL-struktur."
"Common Settings","Vanliga inställningar"
"Many people choose to use &#8220;pretty permalinks,&#8221; URLs that contain useful information such as the post title rather than generic post ID numbers. You can choose from any of the permalink formats under Common Settings, or can craft your own if you select Custom Structure.","Många människor väljer att använda &#8221;Anpassade permalänkar&#8221;, webbadresser som innehåller användbar information såsom titel snarare än ett generiskt ID-nummer. Du kan välja från någon av de permalänkformat under Vanliga inställnningar, eller skapa en eget anpassad under Anpassad struktur."
"If you pick an option other than Default, your general URL path with structure tags, terms surrounded by <code>%s</code>, will also appear in the custom structure field and your path can be further modified there.","Om du väljer ett annat alternativ än Förvald så kommer din standardsökväg med strukturtaggar, villkor omgivna av <code>%s</code> också att visas i fältet för anpassad struktur och din sökvägen kan modifieras ytterligare i detta fält."
"When you assign multiple categories or tags to a post, only one can show up in the permalink: the lowest numbered category. This applies if your custom structure includes <code>%scategory%s</code> or <code>%stag%s</code>.","När du tilldelar inlägg flera kategorier eller etiketter så kan endast en av dessa visas som i din permalänksstruktur, den lägst numrerade kategorin. Detta innefattar anpassade strukturer som använder <code>%scategory%s</code> eller <code>%stag%s</code>."
"Custom Structures","Anpassade strukturer"
"The Optional fields let you customize the &#8220;category&#8221; and &#8220;tag&#8221; base names that will appear in archive URLs. For example, the page listing all posts in the &#8220;Uncategorized&#8221; category could be <code>/topics/uncategorized</code> instead of <code>/category/uncategorized</code>.","Fälten under valfritt låter dig anpassa basnamnen som visas i arkiv-urler istället för &#8221;category&#8221; eller &#8221;tag.&#8221; T.ex, sidan som visar alla inlägg för kategori &#8221;okategoriserade&#8221; skulle kunna bli <code>/amnen/okategoriserade</code> istället för <code>/category/okategoriserade</code>."
"<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Documentation on Permalinks Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Dokumentation för permalänksinställningar</a>"
"<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Documentation on Using Permalinks</a>","<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Dokumentation för användning av permalänkar </a>"
"You should update your web.config now.","Du bör uppdatera din web.config nu."
"Permalink structure updated. Remove write access on web.config file now!","Permalänksstrukturen uppdaterad. Återställ filrättigheterna för web.config-filen nu!"
"Permalink structure updated.","Permalänkstrukturen uppdaterad."
"You should update your .htaccess now.","Du bör uppdatera din .htaccess nu."
"By default WordPress uses web <abbr title=\"Universal Resource Locator\">URL</abbr>s which have question marks and lots of numbers in them, however WordPress offers you the ability to create a custom URL structure for your permalinks and archives. This can improve the aesthetics, usability, and forward-compatibility of your links. A <a href=\"http://codex.wordpress.org/Using_Permalinks\">number of tags are available</a>, and here are some examples to get you started.","Förinställningarna gör att WordPress använder <abbr title=\"Universal Resource Locator\">URL</abbr>er med frågetecken och många siffror i, men WordPress ger dig möjlighet att skapa en egen URL-struktur för dina permalänkar och arkiv. Det gör adresserna mer estetiskt tilltalande och förbättrar länkarnas användarvänlighet och beständighet. Det finns ett <a href=\"http://codex.wordpress.org/Using_Permalinks\">antal taggar att välja mellan</a>, och här finns några exempel för att hjälpa dig att komma igång."
"archives","arkiv"
"Day and name","Datum och namn"
"sample-post","exempel-inlagg"
"Month and name","Månad och namn"
"Numeric","Numerisk"
"Post name","Inläggsnamn"
"Custom Structure","Anpassad struktur"
"Optional","Valfritt"
"If you like, you may enter custom structures for your category and tag <abbr title=\"Universal Resource Locator\">URL</abbr>s here. For example, using <code>topics</code> as your category base would make your category links like <code>http://example.org/%stopics/uncategorized/</code>. If you leave these blank the defaults will be used.","Om du vill så kan du ange en anpassad struktur för dina kategori och etikett-<abbr title=\"Universal Resource Locator\">URL</abbr>er här. Exempel, att använda <code>amnen</code> som din kategoribas skulle ge länkar enligt modellen <code>http://example.org/%samnen/okategoriserade/</code>. Om du lämnar detta tomt används standardstrukturen."
"Category base","Kategoribas"
"Tag base","Etikettbas"
"If your <code>web.config</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this rule inside of the <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> element in <code>web.config</code> file.","Om du hade <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">skrivrättigheter</a> för din <code>web.config</code> så skulle WordPress kunna genomföra det här automatiskt, men det är inte möjligt för tillfället. Det här är de mod_rewrite-regler som du borde ha i din <code>web.config</code>-fil. Klicka i fältet och tryck <kbd>CTRL + a</kbd> för att markera allt. Infoga sedan reglerna under <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> elmentet i <code>web.config</code>-filen."
"If you temporarily make your <code>web.config</code> file writable for us to generate rewrite rules automatically, do not forget to revert the permissions after rule has been saved.","Om du temporärt gör din <code>web.config</code>-fil skrivbar så kan WordPress att generera reglerna automatiskt, glöm inte att återställa rättigheterna efter att reglerna har sparats."
"If the root directory of your site were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Create a new file, called <code>web.config</code> in the root directory of your site. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this code into the <code>web.config</code> file.","Om webbroten för din sida var <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">skrivbar</a> så skulle vi kunna genomföra det här automatiskt, men det är den tyvärr inte. Du måste manuellt ange följande regler i din <code>web.config</code>-fil. Skapa en ny fil i din webbrot som du döper till <code>web.config</code>, klicka sedan i fältet, tryck <kbd>CTRL + a</kbd> för att markera allt. Infoga sedan de kopierade reglerna i filen <code>web.config</code>."
"If you temporarily make your site&#8217;s root directory writable for us to generate the <code>web.config</code> file automatically, do not forget to revert the permissions after the file has been created.","Om du temporärt gör din webbrot skrivbar så kan WordPress att generera filen <code>web.config</code> automatiskt, glöm inte att återställa rättigheterna efter att filen har genererats."
"If your <code>.htaccess</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so these are the mod_rewrite rules you should have in your <code>.htaccess</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all.","Om WordPress hade <a href=\"http://wpsv.se/dokumentation/Installation:Att_ändra_skrivrättigheter\">skrivrättigheter</a> till din <code>.htaccess</code> skulle vi kunna genomföra det här automatiskt, men det är inte möjligt för tillfället. Det här är de mod_rewrite-regler som du borde ha i din <code>.htaccess</code>-fil. Klicka i fältet och tryck <kbd>CTRL + a</kbd> för att markera allt."
"Reading Settings","Läsinställningar"
"The <a href=\"http://codex.wordpress.org/Glossary#Character_set\">character encoding</a> of your site (UTF-8 is recommended)","<a href=\"http://codex.wordpress.org/Glossary#Character_set\">Teckenkodningen</a> för din webbplats (UTF-8 är rekommenderat)"
"This screen contains the settings that affect the display of your content.","Den här sidan innehåller de inställningar som påverkar visningen av ditt innehåll."
"You can choose what&#8217;s displayed on the front page of your site. It can be posts in reverse chronological order (classic blog), or a fixed/static page. To set a static home page, you first need to create two <a href=\"%s\">Pages</a>. One will become the front page, and the other will be where your posts are displayed.","Du kan välja vad som ska visas på startsidan av din webbplats. Det kan vara inlägg i omvänd kronologisk ordning (klassisk blogg) eller en statisk sida. För att ange en statisk startsida så behöver du första skapa två <a href=\"%s\">sidor</a>. En kommer att bli startsidan och den andra kommer att vara sidan som visar dina inlägg."
"You can also control the display of your content in RSS feeds, including the maximum numbers of posts to display and whether to show full text or a summary.","Du kan även kontrollera visningen av innehållet i dina RSS-flöden, inklusive maximalt antal inlägg att visa, om de ska visas fullständiga eller som utdrag."
"Site Visibility","Webbplatsens synlighet"
"Search Engine Visibility","Synlighet i sökmotorer"
"You can choose whether or not your site will be crawled by robots, ping services, and spiders. If you want those services to ignore your site, click the checkbox next to &#8220;Discourage search engines from indexing this site&#8221; and click the Save Changes button at the bottom of the screen. Note that your privacy is not complete; your site is still visible on the web.","Du kan välja om din webbplats ska sökas igenom av olika indexeringstjänster eller inte. Om du vill att dessa tjänster ska ignorera din webbplats, markera valet &#8221;Be sökmotorer att inte indexera denna webbplats&#8221; och klicka sedan på knappen Spara ändringar längst ner på sidan. Notera att detta inte gör din sida helt privat, den kan fortfarande besökas som vanligt och är med andra ord synlig som vanligt på Internet."
"When this setting is in effect, a reminder is shown in the Right Now box of the Dashboard that says, &#8220;Search Engines Discouraged,&#8221; to remind you that your site is not being crawled.","När denna inställning är aktiv så visas en påminnelse som lyder &#8221;Sökmotorer blockeras&#8221; i panelen Just nu på adminpanelens startsida,"
"<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Documentation on Reading Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Dokumentation för läsinställningar</a>"
"Encoding for pages and feeds","Teckenkodning för sidor och syndikering"
"A <a href=\"%s\">static page</a> (select below)","En <a href=\"%s\">statisk sida</a> (välj nedan)"
"Front page: %s","Startsida: %s"
"Posts page: %s","Inläggssida: %s"
"<strong>Warning:</strong> these pages should not be the same!","<strong>Varning:</strong> de här sidorna borde inte vara likadana!"
"Blog pages show at most","Inlägg per sida"
"posts","inlägg"
"Syndication feeds show the most recent","Syndikeringsflöden visar"
"items","poster"
"For each article in a feed, show","Inlägg i flödet visas som"
"Full text","Hel text"
"Summary","Sammanfattning"
"Allow search engines to index this site","Tillåt sökmotorer att indexera denna webbplatsen"
"Discourage search engines from indexing this site","Be sökmotorer att inte indexera denna webbplatsen"
"Note: Neither of these options blocks access to your site &mdash; it is up to search engines to honor your request.","Notera: Inget av dessa alternativ blockerar åtkomst till din webbplats - det är upp till sökmotorer att tillmötesgå din begäran."
"It is up to search engines to honor this request.","Det är upp till sökmotorerna att anamma denna begäran."
"Writing Settings","Skrivinställningar"
"You can submit content in several different ways; this screen holds the settings for all of them. The top section controls the editor within the dashboard, while the rest control external publishing methods. For more information on any of these methods, use the documentation links.","Du kan posta innehåll på flera olika sätt. Den här sidan innehåller inställningarna för alla dessa. Den övre sektionen kontrollerar redigeraren för dessa administrationssidor och resterande inställningar externa publiceringsmetoder. För mer information för dessa metoder, använd dokumentationslänkarna."
"Press This is a bookmarklet that makes it easy to blog about something you come across on the web. You can use it to just grab a link, or to post an excerpt. Press This will even allow you to choose from images included on the page and use them in your post. Just drag the Press This link on this screen to your bookmarks bar in your browser, and you&#8217;ll be on your way to easier content creation. Clicking on it while on another website opens a popup window with all these options.","Blogga det här är en snabbgenväg som gör det enkelt att blogga om något du stöter på på nätet. Du kan använda den för att bara hämta en länk eller posta ett utdrag. Blogga det här kommer även att tillåta dig att välja bland bilder som finns på sidan och använda dem i ditt inlägg. Dra bara Blogga det här länken på denna skärm till bokmärkesfältet i din webbläsare, och du kan lättare skapa innehåll. Att klicka på denna genväg när du befinner dig på en webbplats kommer att öppna en popup där du kan göra dina val."
"Post Via Email","Skriv inlägg via e-post"
"Post via email settings allow you to send your WordPress install an email with the content of your post. You must set up a secret e-mail account with POP3 access to use this, and any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret.","Denna funktion ger dig möjligheten att publicera inlägg genom att skicka e-post till din installation av WordPress. För att skriva inlägg i WordPress per e-post måste du ha satt upp en hemlig e-postadress med POP3-åtkomst. Alla e-postmeddelanden som kommer till denna adress publiceras, så det är mycket viktigt att hålla e-postadressen väldigt hemlig."
"Update Services","Uppdateringstjänster"
"If desired, WordPress will automatically alert various services of your new posts.","Om du vill så kan WordPress automatiskt skicka notifikationer till diverse tjänster när du postar nya inlägg."
"<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Documentation on Writing Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Dokumentation för skrivinställningar</a>"
"Formatting","Formatering"
"Convert emoticons like <code>:-)</code> and <code>:-P</code> to graphics on display","Konvertera <code>:-)</code> och <code>:-P</code> till bild-smileys."
"WordPress should correct invalidly nested XHTML automatically","WordPress skall automatiskt korrigera felaktig XHTML"
"Default Post Category","Förvald inläggskategori"
"Default Post Format","Inläggsformat standard"
"Default Link Category","Förvald länkkategori"
"Press This is a bookmarklet: a little app that runs in your browser and lets you grab bits of the web.","Blogga det här är en genväg: ett litet skript som körs i din webbläsare och låter dig klippa in bitar från webben."
"Use Press This to clip text, images and videos from any web page. Then edit and add more straight from Press This before you save or publish it in a post on your site.","Använd Blogga det här för att klippa in text, bilder och videoklipp från vilken webbplats som helst. Redigera sedan och lägg till mer innehåll direkt från Blogga det här innan du sparar eller publicerar inlägget på din webbplats."
"Drag-and-drop the following link to your bookmarks bar or right click it and add it to your favorites for a posting shortcut.","Dra-och-släpp följande länk till ditt bokmärkesfält eller högerklicka och lägg till den i dina favoriter för att skapa en genväg till inläggspostning."
"If your bookmarks toolbar is hidden: copy the code below, open your Bookmarks manager, create new bookmark, type Press This into the name field and paste the code into the URL field.","Om ditt bokmärkesfält är gömt: kopiera koden nedan, öppna bokmärkeshanteraren, skapa nytt bokmärke, skriv Blogga det här i namnfältet och klistra in koden i fältet URL."
"Post via e-mail","Skriv inlägg via e-post"
"To post to WordPress by e-mail you must set up a secret e-mail account with POP3 access. Any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret. Here are three random strings you could use: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>.","För att skriva inlägg i WordPress per e-post måste du ha satt upp en hemlig e-postadress med POP3-åtkomst. Alla e-postmeddelanden som kommer till denna adress publiceras, så det är mycket viktigt att hålla e-postadressen väldigt hemlig. Här är tre slumpmässiga strängar du kan använda: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>."
"Mail Server","E-postserver"
"Login Name","Användarnamn"
"Default Mail Category","Förvald e-postkategori"
"When you publish a new post, WordPress automatically notifies the following site update services. For more about this, see <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> on the Codex. Separate multiple service <abbr title=\"Universal Resource Locator\">URL</abbr>s with line breaks.","När du publicerar ett nytt inlägg meddelar WordPress automatiskt följande uppdateringstjänster för webbplatser om det. För mer information om detta, se <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> i Codex. Skriv en <abbr title=\"Universal Resource Locator\">URL</abbr> per rad."
"WordPress is not notifying any <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> because of your site&#8217;s <a href=\"%s\">visibility settings</a>.","WordPress kontaktar inga <a href=\"http://codex.wordpress.org/Update_Services\">uppdateringstjänster</a> på grund av din webbplats <a href=\"%s\">integritetsinställningar</a>."
"<strong>ERROR</strong>: options page not found.","<strong>FEL</strong>: Inställningssidan kunde inte hittas."
"You do not have sufficient permissions to modify unregistered settings for this site.","Du har inte tillräcklig behörighet för att hantera oregistrerade inställningar för den här webbplatsen."
"The <code>%s</code> setting is unregistered. Unregistered settings are deprecated. See http://codex.wordpress.org/Settings_API","Inställningen <code>%s</code> är oregistrerad. Oregistrerade inställningar har upphört. Se http://codex.wordpress.org/Settings_API"
"All Settings","Alla Inställningar"
"You do not have sufficient permissions to edit plugins for this site.","Du har inte tillräcklig behörighet för att redigera tillägg på den här webbplatsen."
"Edit Plugins","Redigera tillägg"
"There are no plugins installed on this site.","Det finns inga tillägg installerade på denna webbplats."
"No such file exists! Double check the name and try again.","Någon sådan fil existerar inte! Kontrollera namnet och försök på nytt."
"Files of this type are not editable.","Filer av denna typ är inte redigeringsbara."
"You can use the editor to make changes to any of your plugins&#8217; individual PHP files. Be aware that if you make changes, plugins updates will overwrite your customizations.","Du kan använda redigeraren för att göra ändringar i dina tilläggs individuella PHP-filer. Var medveten om att när du gör ändringar så kommer dessa att skrivas över om tillägget uppdateras."
