"New password","Nieuw wachtwoord"
"Visit author homepage","Bezoek homepagina van auteur"
"Anonymous","Anoniem"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC services zijn uitgeschakeld voor deze site."
"Incorrect username or password.","Ongeldige gebruikersnaam of wachtwoord."
"Software Name","Softwarenaam"
"Software Version","Softwareversie"
"Image default link type","Standaard link type voor afbeelding"
"Image default size","Standaard afbeeldingsformaat"
"Image default align","Standaard uitlijning afbeelding"
"Template","Sjabloon"
"Post Thumbnail","Berichtthumbnail"
"Time Zone","Tijdzone"
"Site Tagline","Beschrijving site "
"Date Format","Datumnotatie"
"Time Format","Tijdnotatie"
"Allow new users to sign up","Registratie nieuwe gebruikers toestaan"
"Thumbnail Width","Thumbnail breedte"
"Thumbnail Height","Thumbnail hoogte"
"Crop thumbnail to exact dimensions","Thumbnail bijsnijden naar exacte afmetingen"
"Medium size image width","Breedte gemiddelde afbeelding"
"Medium size image height","Hoogte gemiddelde afbeelding"
"Large size image width","Breedte grote afbeeldingen"
"Large size image height","Hoogte grote afbeelding"
"Allow people to post comments on new articles","Sta toe dat bezoekers kunnen reageren op nieuwe artikelen"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Linknotificaties toestaan van andere blogs (pingbacks en trackbacks)"
"Insufficient arguments passed to this XML-RPC method.","Onvoldoende argumenten gebruikt in deze XML-RPC methode."
"Invalid post type","Ongeldig berichttype"
"Invalid post ID.","Ongeldig bericht-ID."
"Sorry, you are not allowed to edit this post.","Helaas, je hebt geen toestemming om dit bericht te bewerken."
"The post type may not be changed.","De berichttype kan niet worden gewijzigd."
"Sorry, you are not allowed to post on this site.","Helaas, je hebt geen toestemming om berichten op deze site te plaatsen."
"Sorry, you are not allowed to create private posts in this post type","Helaas, je hebt geen toestemming om priveberichten te maken voor dit berichttype"
"Sorry, you are not allowed to publish posts in this post type","Helaas, je hebt onvoldoende rechten om dit type berichten te publiceren."
"Sorry, you are not allowed to create password protected posts in this post type","Helaas, je hebt geen toestemming om een beveiligde pagina te maken voor dit berichttype"
"You are not allowed to create posts as this user.","Je hebt geen toestemming om berichten aan te maken als deze gebruiker."
"Invalid author ID.","Ongeldige auteursID."
"Sorry, you cannot stick a private post.","Helaas, je kan een priv&#137;bericht niet sticky maken."
"Sorry, you are not allowed to stick this post.","Helaas, je hebt geen toestemming om dit bericht sticky te maken."
"Invalid attachment ID.","Ongeldig bijlage ID."
"Sorry, one of the given taxonomies is not supported by the post type.","Helaas, een van de geselecteerde taxonomie&#235;n wordt niet ondersteunt door dit type bericht."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Helaas, je hebt onvoldoende rechten om een term toe te voegen aan een van de gegeven taxonomies."
"Invalid term ID","Term-ID ongeldig"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Onduidelijke term gebruikt in een hi&#235;rarchische taxonomie. Graag een term ID gebruiken."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Helaas, je hebt geen rechten om een term toe te voegen aan een van de opgegeven taxonomie&#235;n."
"Sorry, your entry could not be posted. Something wrong happened.","Helaas, je bericht kan niet geplaatst worden. Er is iets misgegaan."
"There is a revision of this post that is more recent.","Er is een recentere revisie van dit bericht aanwezig."
"Sorry, you are not allowed to delete this post.","Helaas, je hebt onvoldoende rechten om dit bericht te verwijderen."
"The post cannot be deleted.","Het bericht kan niet worden verwijderd."
"Sorry, you cannot edit this post.","Helaas, je kunt dit bericht niet bewerken."
"The post type specified is not valid","Het gespecificeerd berichttype is ongeldig"
"Sorry, you are not allowed to edit posts in this post type","Helaas, je mag berichten met dit berichttype niet wijzigen"
"Invalid taxonomy","Ongeldige taxonomie"
"You are not allowed to create terms in this taxonomy.","Je hebt geen toestemming om termen aan te maken in deze taxonomie."
"The term name cannot be empty.","De termnaam kan niet leeg zijn."
"This taxonomy is not hierarchical.","Deze taxonomie is niet hi&#235;rarchisch."
"Parent term does not exist.","Hoofdterminologie bestaat niet."
"Sorry, your term could not be created. Something wrong happened.","Helaas, je term kon niet worden gemaakt. Er ging iets mis."
"You are not allowed to edit terms in this taxonomy.","Je hebt geen toestemming om de termen te wijzigen in deze taxonomie."
"This taxonomy is not hierarchical so you can't set a parent.","Deze taxonomie is niet hi&#235;rachisch waardoor je deze niet als hoofd kunt zetten."
"Sorry, editing the term failed.","Helaas, het wijzigen van deze term is niet gelukt."
"You are not allowed to delete terms in this taxonomy.","Helaas, je hebt geen toestemming om terminologie te verwijderen in deze taxonomie. "
"Sorry, deleting the term failed.","Helaas, verwijderen van de terminologie is mislukt."
"You are not allowed to assign terms in this taxonomy.","Helaas, je hebt geen toestemming om terminologie aan de taxonomie toe te voegen."
"Sorry, you cannot edit users.","Helaas, je kan geen gebruikers bewerken."
"Invalid user ID","Ongeldig gebruikers ID"
"Sorry, you cannot list users.","Helaas, niet mogelijk om gebruikers te bekijken in een lijst."
"The role specified is not valid","De opgegeven rol is ongeldig"
"Sorry, you cannot edit your profile.","Helaas, niet mogelijk om je profiel te bewerken."
"Sorry, the user cannot be updated.","Helaas, de gebruiker kan niet worden bijgewerkt."
"Sorry, you cannot edit this page.","Helaas, je kunt deze pagina niet bewerken."
"Sorry, no such page.","Helaas, pagina bestaat niet."
"Sorry, you cannot edit pages.","Helaas, je kunt geen pagina&#039;s bewerken."
"Sorry, you do not have the right to delete this page.","Helaas, je hebt geen rechten om deze pagina te verwijderen."
"Failed to delete the page.","Pagina verwijderen mislukt."
"Sorry, you do not have the right to edit this page.","Helaas, je hebt geen rechten om deze pagina te bewerken."
"Sorry, you cannot edit posts on this site.","Helaas, je kunt geen berichten bewerken op deze site."
"Sorry, you must be able to edit posts on this site in order to view tags.","Helaas, je moet toestemming hebben om berichten te bewerken om tags te bekijken."
"Sorry, you do not have the right to add a category.","Helaas, je hebt geen rechten om een categorie toe te voegen."
"Sorry, the new category failed.","Helaas, de nieuwe categorie is mislukt."
"Sorry, you do not have the right to delete a category.","Helaas, je hebt geen rechten om een categorie te verwijderen."
"Sorry, you must be able to edit posts to this site in order to view categories.","Helaas, je moet rechten hebben om berichten te bewerken voordat je de categorie&#235;n kan bekijken."
"You are not allowed to moderate comments on this site.","Je hebt geen toestemming om reacties te modereren op deze site."
"Invalid comment ID.","Ongeldig reactie-ID."
"Sorry, you cannot edit comments.","Helaas, je kunt geen reacties bewerken."
"Invalid comment status.","Ongeldige reactiestatus."
"Sorry, the comment could not be edited. Something wrong happened.","Helaas, de reactie kan niet worden bewerkt. Er is iets misgegaan."
"You must be registered to comment","Je moet geregisteerd zijn om een reactie te kunnen plaatsen"
"Comment author name and email are required","Naam en e-mailadres zijn verplicht bij het plaatsen van een reactie"
"A valid email address is required","Een geldig e-mailadres is noodzakelijk"
"You are not allowed access to details about this site.","Je hebt geen toestemming om de details van deze site te bekijken."
"You are not allowed access to details about comments.","Je hebt geen toestemming om details van reacties te tonen."
"You are not allowed to update options.","Je hebt geen toestemming om de opties te bewerken."
"You do not have permission to upload files.","Je hebt geen rechten om bestanden te uploaden."
"Sorry, you are not allowed to edit this post type.","Helaas, je hebt geen toestemming om dit bericht te bewerken."
"Invalid post ID","Ongeldig bericht ID"
"Sorry, you are not allowed to edit posts.","Helaas, je hebt onvoldoende rechten om berichten te bewerken."
"Sorry, revisions are disabled.","Helaas, revisies zijn uitgeschakeld."
"Sorry, you do not have access to user data on this site.","Helaas, je hebt geen toegang tot de gebruikersgegevens van deze site."
"Either there are no posts, or something went wrong.","Er zijn geen berichten of er is iets misgegaan."
"Sorry, that file cannot be edited.","Helaas, het bewerken van dit bestand is niet mogelijk."
"Sorry, no such post.","Helaas, bericht bestaat niet."
"Sorry, you do not have the right to edit this post.","Helaas, je hebt geen rechten om dit bericht te bewerken."
"Sorry, you do not have the right to publish this post.","Helaas, je hebt geen rechten om dit bericht te publiceren."
"For some strange yet very annoying reason, this post could not be edited.","Om een onbekende maar bijzonder irritante reden kan dit bericht niet worden bewerkt."
"Sorry, you do not have the right to delete this post.","Helaas, je hebt geen rechten om dit bericht te verwijderen."
"For some strange yet very annoying reason, this post could not be deleted.","Om een onbekende maar bijzonder irritante reden kan dit bericht niet worden verwijderd."
"Sorry, you are not allowed to publish pages on this site.","Helaas, je hebt geen toestemming om berichten te publiceren op deze site."
"Sorry, you are not allowed to publish posts on this site.","Helaas, je hebt geen toestemming om berichten op deze site te publiceren."
"Invalid post format","Ongeldige berichtsnotatie"
"You are not allowed to create pages as this user.","Je hebt geen toestemming om pagina&#39;s aan te maken als deze gebruiker."
"You are not allowed to change the post author as this user.","Je hebt geen rechten om de berichtauteur te wijzigen als deze gebruiker."
"You are not allowed to change the page author as this user.","Je hebt geen rechten om pagina-auteur te wijzigen als deze gebruiker."
"Sorry, you do not have the right to publish this page.","Helaas, je hebt geen rechten om deze pagina te publiceren."
"Sorry, your entry could not be edited. Something wrong happened.","Helaas, je bericht kan niet worden bewerkt. Er is iets misgegaan."
"Sorry, you must be able to edit posts on this site in order to view categories.","Helaas, je moet berichten kunnen bewerken om categorie&#235;n te bekijken."
"Could not write file %s (%s)","Kan bestand  %s (%s) niet beschrijven"
"Sorry, you can not edit this post.","Helaas, je kunt dit bericht niet bewerken."
"Sorry, you cannot publish this post.","Helaas, het is niet mogelijk om dit bericht te publiceren."
"Is there no link to us?","Is er geen link naar ons?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","De opgegeven doel-URL kan niet als doel worden gebruikt. Hij bestaat niet of is er geen pingback voor mogelijk voor deze URL."
"The source URL and the target URL cannot both point to the same resource.","De bron-URL en de doel-URL kunnen niet naar hetzelfde adres verwijzen."
"The pingback has already been registered.","De pingback is al geregistreerd."
"The source URL does not exist.","De bron-URL bestaat niet."
"We cannot find a title on that page.","We kunnen geen titel vinden op die pagina."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","De bron-URL bevat geen link naar de doel-URL en kan daarom niet als bron worden gebruikt."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback van %s to %s geregistreerd."
"The specified target URL does not exist.","De opgegeven doel-URL bestaat niet."
"%s Comments","%s reacties"
"No Comments","Reageren?"
"1 Comment","1 reactie"
"Comment","Reactie"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Gebruik <code>get_trackback_url()</code> als je niet wil dat de waarde wordt getoond."
"Comments Off","Reageren uitgeschakeld"
"Enter your password to view comments.","Voer je wachtwoord in om reacties te bekijken"
"Comment on %s","Reactie op %s"
"Reply","Reageren"
"Log in to Reply","Login om te reageren"
"Leave a Comment","Geef een reactie"
"Log in to leave a Comment","Inloggen om een reactie te geven"
"Click here to cancel reply.","Klik hier om je antwoord te annuleren."
"Leave a Reply","Geef een reactie"
"Leave a Reply to %s","Laat een reactie achter bij %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">zegt:</span>"
"Your comment is awaiting moderation.","Je reactie is in afwachting van moderatie."
"%s at %s","%s om %s"
"(Edit)","(bewerken)"
"Email","E-mail"
"Website","Site"
"Required fields are marked %s","Verplichte velden zijn gemarkeerd met %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Je moet <a href=\"%s\">inloggen</a> om een reactie te kunnen plaatsen."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Ingelogd als <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Dit account uitloggen\">Uitloggen?</a>"
"Your email address will not be published.","Het e-mailadres wordt niet gepubliceerd."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","De volgende <abbr title=\"HyperText Markup Language\">HTML</abbr> tags en attributen zijn toegestaan: %s"
"Cancel reply","Reactie annuleren"
"Post Comment","Reactie plaatsen"
"Unapproved","Geweigerd"
"Approved","Toegelaten"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Dubbele reactie ontdekt: het lijkt erop dat je dit al hebt gezegd!"
"You are posting comments too quickly. Slow down.","Je plaatst te snel reacties. Rustig aan."
"Could not update comment status","Kan de reactiestatus niet bijwerken"
"This argument has changed to an array to match the behavior of the other cron functions.","Dit argument is veranderd in een array om het in andere functies in de cron op te kunnen nemen."
"Once Hourly","Eenmaal per uur"
"Twice Daily","Tweemaal per dag"
"Once Daily","Eenmaal per dag"
"Your site&#8217;s WordPress Pages","Je website WordPress pagina&#39;s"
"Sort by:","Sorteren op:"
"Page title","Paginatitel"
"Page order","Paginavolgorde"
"Page ID","Pagina-ID"
"Exclude:","Uitsluiten:"
"Page IDs, separated by commas.","Pagina-ID&#39;s , gescheiden door komma&#39;s."
"Your blogroll","Je blogroll"
"Select Link Category:","Linkcategorie selecteren:"
"All Links","Alle links"
"Link title","Linktitel"
"Link rating","Linkwaardering"
"Link ID","Link Id"
"Random","Willekeurig"
"Show Link Image","Afbeeldingslink tonen"
"Show Link Name","Linknaam tonen"
"Show Link Description","Linkbeschrijving tonen"
"Show Link Rating","Linkwaardering tonen"
"Number of links to show:","Hoeveelheid links om te tonen:"
"A search form for your site","Een zoekformulier voor de site"
"A monthly archive of your site&#8217;s posts","Een maandelijks archief van je siteberichten"
"Archives","Archieven"
"Select Month","Maand selecteren"
"Display as dropdown","Als dropdown weergeven"
"Show post counts","Berichtaantal tonen"
"Log in/out, admin, feed and WordPress links","Inloggen/uitloggen, beheer-, feed- en WordPress links"
"Syndicate this site using RSS 2.0","Syndicate deze site met RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Berichten <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","De meest recente reacties op alle berichten in RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Reacties <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Powered by WordPress"
"A calendar of your site&#8217;s posts","Een kalender van je siteberichten"
"Calendar","Kalender"
"Arbitrary text or HTML","Willekeurige tekst of HTML"
"Automatically add paragraphs","Automatisch paragrafen toevoegen"
"A list or dropdown of categories","Een lijst of dropdown van categorie&#235;n"
"Select Category","Categorie selecteren"
"Show hierarchy","Hi&euml;rarchie tonen"
"The most recent posts on your site","De meest recente berichten op je site"
"Recent Posts","Meest recente berichten"
"Number of posts to show:","Aantal te tonen berichten:"
"Display post date?","Berichtdatum tonen?"
"The most recent comments","De laatste reacties"
"Recent Comments","Recente reacties"
"%s on %s","%s op %s"
"Number of comments to show:","Aantal te tonen reacties:"
"Entries from any RSS or Atom feed","Berichten van RSS- of Atom-feed"
"Unknown Feed","Onbekende RSS-invoer"
"Syndicate this content","Syndicate deze inhoud (RSS)"
"<strong>RSS Error</strong>: %s","<strong>RSS Fout:</strong> %s"
"An error has occurred, which probably means the feed is down. Try again later.","Er is een fout opgetreden, wat waarschijnlijk betekent dat de feed uit de lucht is. Probeer later opnieuw."
"Untitled","Zonder titel"
"RSS Error: %s","RSS Fout: %s"
"Enter the RSS feed URL here:","Voer de RSS-invoer URL hier in:"
"Give the feed a title (optional):","Geef de RSS-invoer een titel (optioneel):"
"How many items would you like to display?","Hoeveel items wil je tonen?"
"Display item content?","Iteminhoud tonen"
"Display item author if available?","Itemauteur tonen als deze beschikbaar is"
"Display item date?","Itemdatum tonen"
"Your most used tags in cloud format","Je meest gebruikte tags in wolknotatie"
"Tag Cloud","Tagwolk"
"Taxonomy:","Taxonomie:"
"Use this widget to add one of your custom menus as a widget.","Gebruik deze widget om &#233;&#233;n van je custom menu&#8217;s toe te voegen als een widget."
"Custom Menu","Aangepast menu"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Er zijn nog geen menu&#39;s aangemaakt. <a href=\"%s\">Maak er een aan</a>."
"Select Menu:","Menu selecteren:"
"new WordPress Loop","nieuwe WordPress loop"
"None","Geen"
"Last updated","Laatst bijgewerkt"
"Missing Attachment","Ontbrekende bijlage"
"First Post","Eerste bericht"
"Last Post","Laatste bericht"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Bestand &#8220;%s&#8221; bestaat niet?"
"The GD image library is not installed.","De GD afbeeldingenbibliotheek is niet ge&#239;nstalleerd."
"File &#8220;%s&#8221; is not an image.","Bestand &#8220;%s&#8221; is geen afbeelding."
"Comments on %s","Reacties bij %s"
"Comments for %s searching on %s","Reacties op %s zoeken naar %s"
"Comments for %s","Reacties voor %s"
"Comment on %s by %s","Reactie op %s door %s"
"By: %s","Door: %s"
"Comments on: %s","Reacties op: %s"
"Protected Comments: Please enter your password to view comments.","Beveiligde reacties: geef je wachtwoord om de reacties te bekijken."
"%s min","%s minuut"
"%s mins","%s minuten"
"%s hour","%s uur"
"%s hours","%s uren"
"%s day","%s dag"
"%s days","%s dagen"
"words","woorden"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Het ingevulde e-mailadres is ongeldig. Een geldig e-mailadres invoeren."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Het ingevulde WordPress adres is geen geldige URL. Voer een geldige URL in."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Het ingevulde siteadres is geen geldige URL. Voer een geldige URL in."
"The timezone you have entered is not valid. Please select a valid timezone.","De tijdzone die is ingegeven is niet geldig. Selecteer een geldige tijdzone."
", and",", en "
"and","en  "
"ERROR: %s is not a valid feed template.","FOUT: %s is geen geldig feed template."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","E&#233;n of meer database tabellen zijn niet beschikbaar. De database moet waarschijnlijk worden <a href=\"%s\">gerepareerd</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Kan map %s niet aanmaken. Is de bovenliggende map beschrijfbaar door de server?"
"Empty filename","Lege bestandsnaam"
"Invalid file type","Ongeldig bestandstype"
"Could not write file %s","Kan bestand %s niet opslaan"
"WordPress Failure Notice","WordPress mislukkingsbericht"
"You are attempting to log out of %s","Je probeert uit te loggen van %s"
"Do you really want to <a href='%s'>log out</a>?","Weet je zeker dat je wilt <a href='%s'>uitloggen</a>?"
"Please try again.","Opnieuw proberen."
"&laquo; Back","&laquo; Terug"
"WordPress &rsaquo; Error","WordPress &rsaquo; Fout"
"Database Error","Databasefoutmelding"
"Error establishing a database connection","Fout bij het maken van de databaseconnectie"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s is <strong>niet meer in gebruik</strong> sinds versie%s! Gebruik in plaats daarvan %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s is <strong>niet meer in gebruik</strong> sinds versie%s, geen alternatief beschikbaar."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s werd aangeroepen met een argument dat <strong>niet meer in gebruik</strong> is sinds versie %s2s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s werd aangeroepen met een argument dat <strong>niet meer in gebruik</strong> is sinds versie %s, geen alternatief beschikbaar."
"(This message was added in version %s.)","(Dit bericht is toegevoegd in versie %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Bezoek de <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> voor meer informatie."
"%s was called <strong>incorrectly</strong>. %s %s","%s had de <strong>verkeerde</strong> naam. %s%s"
"Select a city","Een plaats selecteren"
"Manual Offsets","Handmatige compensatie"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Scripts en styles zouden niet geregistreerd mogen worden of zouden niet uit de wachtrij mogen verdwijnen tot de %s, %s, of %s overeenkomen."
"Search for:","Zoeken naar:"
"Log in","Inloggen"
"Log out","Uitloggen"
"Username","Gebruikersnaam"
"Password","Wachtwoord"
"Remember Me","Deze gegevens onthouden"
"Log In","Inloggen"
"Register","Registreren"
"Site Admin","Sitebeheer"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","De <code>%s</code> instelling is niet meer in gebruik voor de <code>bloginfo()</code> functies."
"Use the <code>%s</code> option instead.","Gebruik in plaats daarvan deze <code>%s</code> instelling."
"Search Results %s %s","Zoekresultaten %s %s"
"Page not found","Pagina niet gevonden"
"View posts for %s %s","Berichten van %s %s bekijken"
"%s %s Comments Feed","%s %s reacties feed"
"%s %s %s Comments Feed","%s %s %s Reacties feed"
"%s %s %s Category Feed","%s %s %s Categorie Feed"
"%s %s Posts by %s Feed","%s %s berichten in %s Feed"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s zoekresultaten voor &#8220;%s&#8221;"
"&laquo; Previous","&laquo; Vorige"
"Next &raquo;","Volgende &raquo;"
"Blue","Blauw"
"Gray","Grijs"
"Do you want to use the WYSIWYG mode for this textarea?","Wil je de WYSIWYG-modus gebruiken voor dit tekstgebied?"
"Apply","Uitvoeren"
"Insert","Invoegen"
"Close","Sluiten"
"Browse","Bladeren"
"-- Not set --","Niet ingesteld"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopie&#235;ren/knippen/plakken is niet beschikbaar in Mozilla and Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Momenteel niet ondersteund door je brouwser, gebruik sneltoetsen."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","We hebben geconstateerd dat je popupblokkering een noodzakelijk venster heeft geblokkeerd. Je zult popupblokkering moeten uitschakelen voor deze site als je deze toepassing wilt gebruiken."
"ERROR: Invalid values entered, these are marked in red.","MISLUKT: Ongeldige waarden ingegeven, deze zijn in rood gemarkeerd."
"{#field} must be a number","{#field} moet een nummer zijn"
"{#field} must be a number greater than {#min}","{#field} moet een groter nummer zijn dan {#min}"
"{#field} must be a number or percentage","{#field} moet een nummer of percentage zijn"
"More colors","Meer kleuren"
"Black","Zwart"
"Burnt orange","Oranje"
"Dark olive","Donker olijfgroen"
"Dark green","Donkergroen"
"Dark azure","Donker azuurblauw"
"Navy Blue","Marineblauw"
"Very dark gray","Heel donkergrijs"
"Maroon","Kastanjebruin"
"Orange","Oranje"
"Olive","Olijf"
"Green","Groen"
"Grayish blue","Grijsblauw"
"Red","Rood"
"Yellow green","Geelgroen"
"Sea green","Zeegroen"
"Royal blue","Korenblauw"
"Purple","Paars"
"Medium gray","Lichtgrijs"
"Gold","Goud"
"Yellow","Geel"
"Lime","Limoen"
"Aqua","Zeeblauw"
"Sky blue","Hemelsblauw"
"Brown","Bruin"
"Silver","Zilver"
"Pink","Roze"
"Peach","Perzik"
"Light yellow","Lichtgeel"
"Pale green","Lichtgroen"
"Pale cyan","Lichtcyaan"
"Light sky blue","Lichthemelsblauw"
"Plum","Pruim"
"White","Wit"
"Alignment","Uitlijning"
"Full","Volledig"
"%sY-%sm-%d","%sj-%sF-%sY"
"%sH:%sM:%sS","%sH:%si:"
"Insert date","Datum invoegen"
"Insert time","Tijd invoegen"
"January","januari"
"February","februari"
"March","maart"
"April","april"
"May","mei"
"June","juni"
"July","juli"
"August","augustus"
"September","september"
"October","oktober"
"November","november"
"December","december"
"Jan_January_abbreviation","jan"
"Feb_February_abbreviation","feb"
"Mar_March_abbreviation","mrt"
"Apr_April_abbreviation","apr"
"May_May_abbreviation","mei"
"Jun_June_abbreviation","jun"
"Jul_July_abbreviation","jul"
"Aug_August_abbreviation","aug"
"Sep_September_abbreviation","sep"
"Oct_October_abbreviation","okt"
"Nov_November_abbreviation","nov"
"Dec_December_abbreviation","dec"
"Sunday","zondag"
"Monday","maandag"
"Tuesday","dinsdag"
"Wednesday","woensdag"
"Thursday","donderdag"
"Friday","vrijdag"
"Saturday","zaterdag"
"Sun","zo"
"Mon","ma"
"Tue","di"
"Wed","wo"
"Thu","do"
"Fri","vr"
"Sat","za"
"Print","Afdrukken"
"Preview","Voorbeeld"
"Direction left to right","Van links naar rechts"
"Direction right to left","Van rechts naar links"
"Insert new layer","Nieuwe laag invoegen"
"Move forward","Naar voren verplaatsen"
"Move backward","Teruggaan"
"Toggle absolute positioning","Absolute positionering aan/uit"
"New layer...","Nieuwe laag..."
"Cancel all changes","Alle wijzigingen annuleren"
"Insert non-breaking space character","Niet-afbreekbare spatie invoegen"
"Run spell checking","Spellingscontrole uitvoeren"
"ieSpell not detected. Do you want to install it now?","ieSpellingscontrole niet gevonden. Wil je het nu installeren?"
"Horizontal rule","Horizontale regel"
"Emotions","Emoties"
"Find","Vind"
"Find/Replace","Zoeken/vervangen"
"Insert/edit image","Afbeelding invoegen/bewerken"
"Insert/edit link","Link invoegen/bewerken"
"Citation","Citaat"
"Abbreviation","Afkorting"
"Acronym","Acroniem"
"Deletion","Verwijdering"
"Insertion","Invoeging"
"Insert/Edit Attributes","Attributen toevoegen/bewerken"
"Edit CSS Style","CSS Style bewerken"
"Paste as Plain Text","Plakken als platte tekst"
"Paste from Word","Plakken vanuit Word"
"Select All","Alle selecteren"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Plakken is nu in platte-tekst modus. Klik opnieuw om terug te schakelen naar de standaard plakmethode. Na het plakken zal de mode terugschakelen naar de standaard methode."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Plakken is nu in platte-tekst modus. Klik opnieuw om terug te schakelen naar de standaard plakmethode."
"Use CTRL+V on your keyboard to paste the text into the window.","Gebruik CTRL+V op je toetsenbord om de tektst in het venster te plakken."
"Keep linebreaks","Regelafbreking aanhouden"
"Inserts a new table","Nieuwe tabel invoegen"
"Insert row before","Rij boven invoegen"
"Insert row after","Rij onder invoegen"
"Delete row","Rij verwijderen"
"Insert column before","Kolom links invoegen"
"Insert column after","Kolom rechts invoegen"
"Remove column","Kolom verwijderen"
"Split merged table cells","Samengevoegde tabelcellen splitsen"
"Merge table cells","Tabelcellen samenvoegen"
"Table row properties","Tabelrij eigenschappen"
"Table cell properties","Tabelcel eigenschappen"
"Table properties","Tabel eigenschappen"
"Paste table row before","Tabelrij boven plakken"
"Paste table row after","Tabelrij onder plakken"
"Cut table row","Tabel rij knippen"
"Copy table row","Tabelrij kopi&euml;ren"
"Delete table","Tabel verwijderen"
"Row","Rij"
"Column","Kolom"
"Cell","Cel"
"The changes you made will be lost if you navigate away from this page.","De wijzigingen zullen verloren gaan als je deze pagina nu verlaat."
"Toggle fullscreen mode (Alt + Shift + G)","Wisselen volledig scherm aan/uit (Alt + Shift + G)"
"Insert / edit embedded media","Ingesloten media invoegen/bewerken"
"Edit embedded media","Ingesloten media bewerken"
"Document properties","Documenteigenschappen"
"Insert predefined template content","Vooraf bepaalde template inhoud invoegen"
"Visual control characters on/off.","Zichtbare controletekens aan/uit."
"Toggle spellchecker (Alt + Shift + N)","Wisselen spellingscontrole (Alt + Shift + N)"
"Spellchecker settings","Spellingscontrole-instellingen"
"Ignore word","Woord negeren"
"Ignore all","Alles negeren"
"Languages","Talen"
"Please wait...","Even wachten..."
"Suggestions","Suggesties"
"No suggestions","Geen suggesties"
"This is somewhat embarrassing, isn&rsquo;t it?","Helaas, hier ging iets mis."
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Het lijkt erop dat we niet kunnen vinden waar je naar zoekt. Misschien kun je er naar zoeken."
"Daily Archives: %s","Dagelijks archief: %s"
"Monthly Archives: %s","Maandelijks archief: %s"
"Yearly Archives: %s","Jaarlijks archief: %s"
"Author Archives: %s","Auteursarchief: %s"
"About %s","Over %s"
"Category Archives: %s","Categorie archief: %s"
"One thought on &ldquo;%s&rdquo;","Een gedachte over &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s gedachten over &ldquo;%s&rdquo;"
"Comment navigation","Reactienavigatie"
"&larr; Older Comments","&larr; Oudere reacties"
