"New password","Nytt passord"
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Ditt nettsted på <a href=\"%s\">%s</a> har blitt aktivert. Du kan nå logge inn på nettstedet med ditt brukernavn &laquo;%s$raquo;. Vennligst sjekk din e-post, %s, for å finne ditt passord og innloggingsinstruksjoner. Hvis du ikke mottar noen e-post, vennligst sjekk din mappe for søppelpost. Hvis du fortsatt ikke mottar noen e-post innen en time, kan du <a href=\"%s\">nullstille ditt passord</a>."
"An error occurred during the activation","En feil oppstod under aktivering"
"Username:","Brukernavn:"
"Password:","Passord:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Din konto er nå aktivert. <a href=\"%s\">Vis nettstedet</a> eller <a href=\"%s\">Logg inn</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Din konto er nå aktivert. <a href=\"%s\">Logg inn</a> eller gå tilbake til <a href=\"%s\">forsiden</a>."
"Sorry, comments are closed for this item.","Beklager, men det er ikke åpent for kommentarer."
"Sorry, you must be logged in to post a comment.","Beklager, du må være innlogget for å kunne kommentere."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>FEIL</strong>: vennligst fyll ut de nødvendige feltene (navn, e-post)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>FEIL</strong>: Vennligst skriv inn en gyldig e-postadresse."
"<strong>ERROR</strong>: please type a comment.","<strong>FEIL</strong>: vennligst skriv en kommentar."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s krever WordPress 3.0 eller nyere."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Vennligst <a href=\"%s\">oppgrader WordPress</a> til en gjeldende versjon, eller <a href=\"%s\">nedgrader til versjon 2.4 av Akismet-utvidelsen</a>."
"Comment History","Kommentarhistorikk"
"Settings","Innstillinger"
"Cheatin&#8217; uh?","Jukser vi?"
"Your key has been cleared.","Din nøkkel har blitt slettet."
"Your key has been verified. Happy blogging!","Din nøkkel har blitt verifisert. God blogging!"
"The key you entered is invalid. Please double-check it.","Nøkkelen du skrev inn er ikke gyldig. Vennligst kontroller den."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Nøkkelen du skrev inn kunne ikke verifiseres fordi tilkobling til akismet.com feilet. Vennligst kontroller konfigurasjon av tjeneren din."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Kunne ikke koble til akismet.com. Vennligst kontroller konfigurasjon av tjeneren din."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Vennligst skriv inn API nøkkel. (<a href=\"%s\" style=\"color:#fff\">Hent nøkkel.</a>)"
"This key is valid.","Denne nøkkelen er gyldig."
"This key is invalid.","Ugyldig nøkkel."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Nøkkelen under ble tidligere verifisert, men en tilkobling til akismet.com feilet nå. Vennligst kontroller konfigurasjon av tjeneren din."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Din WordPress hjem-URL %s er ugyldig. Fiks <a href=\"%s\">hjem-valget</a>."
"Options saved.","Innstillinger lagret."
"Akismet Configuration","Akismet innstillinger"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registrering vellykket!</strong> Sjekk e-posten for din Akismet API-nøkkel, og skriv den inn nedenfor."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","For mange vil <a href=\"%s\">Akismet</a> dramatisk redusere eller totalt eliminere useriøse kommentarer og tilbakesporinger som nettstedet mottar. Hvis en kommer feilaktig igjennom, merk den som \"useriøs\" på modereringssiden så Akismet lærer av feilene sine. Hvis du ikke har en API-nøkkel ennå, kan du få en på <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Akismet API-nøkkel"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Hva er dette?</a>"
"Why might my key be invalid?","Hvorfor kan min nøkkel være ugyldig?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Dette kan bety en av to ting. Enten at du kopierte feil nøkkel eller at utvidelsen ikke kunne nå frem til Akismet-verten. Det siste er ofte forårsaket av din nettvert, brannmur eller lignende."
"Auto-delete spam submitted on posts more than a month old.","Slett automatisk useriøse kommentarer som er skrevet til innlegg som er eldre enn en måned."
"Show the number of comments you've approved beside each comment author.","Vis antall kommentarer du har godkjent ved siden av hver kommentarforfatter."
"Update options &raquo;","Lagre endringene &raquo;"
"Server Connectivity","Server tilkoblingsstatus"
"Network functions are disabled.","Nettverksfunksjoner er deaktivert."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Din nettjener eller administrator har deaktivert PHP sine <code>fsockopen</code>- eller <code>gethostbynamel</code>-funksjoner. <strong>Akismet virker ikke før dette er fikset.</strong> Vennligst kontakt administratoren for tjeneren eller brannmuren din og oppgi <a href=\"%s\" target=\"_blank\">denne informasjonen om systemkrav for Akismet</a>."
"Unable to reach some Akismet servers.","Noen Akismet-servere kunne ikke nås."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Et nettverksproblem eller en brannmur blokkerer for noen forbindelser imellom nettserveren din og Akismet.com. Akismet virker men dette kan føre til problemer i perioder med mye nettverkstrafikk. Vennligst kontakt administrator for serveren din og oppgi <a href=\"%s\" target=\"_blank\">denne informasjonen om Akismet og brannmurer</a>."
"Unable to reach any Akismet servers.","Kunne ikke kommunisere med en eneste Akismet-server."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Et nettverksproblem eller en brannmur blokkerer for alle forbindelser imellom nettserveren din og Akismet.com. <strong>Akismet virker ikke før dette er fikset.</strong> Vennligst kontakt administrator for serveren din og oppgi <a href=\"%s\" target=\"_blank\">denne informasjonen om Akismet og brannmurer</a>."
"All Akismet servers are available.","Alle Akismet-tjenere er tilgjengelig."
"Akismet is working correctly.  All servers are accessible.","Akismet virker som den skal. Alle servere er tilgjengelige."
"Unable to find Akismet servers.","Kunne ikke finne Akismet-servere."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Et DNS-problem eller en brannmur blokkerer all tilgang imellom nettserveren din og Akismet.com. <strong>Akismet virker ikke før dette er fikset.</strong> Vennligst kontakt administrator for serveren din og oppgi <a href=\"%s\" target=\"_blank\">denne informasjonen om Akismet og brannmurer</a>."
"Akismet server","Akismet-server"
"Network Status","Nettverksstatus"
"Accessible","Tilgjengelig"
"Re-trying","Sjekker på nytt"
"Last checked %s ago.","Sist kontrollert for %s siden."
"Check network status &raquo;","Kontroller status for nettverk &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klikk her</a> for å bekrefte at <a href=\"%s\" target=\"_blank\">Akismet.com er oppe</a>."
"Spam","Useriøst"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> har beskyttet nettstedet ditt fra <a href=\"%s\">%s useriøse kommentarer</a>."
"Akismet is almost ready.","Akismet er nesten klar."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Du må <a href=\"%s\">skrive inn din Akismet API-nøkkel</a> for at dette skal fungere."
"Akismet has detected a problem.","Akismet har oppdaget et problem."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Noen kommentarer har ikke blitt sjekket for spam av Akismet ennå. De har midlertidig blitt holdt tilbake for moderering. Sjekk dine <a href=\"%s\">Akismet-innstillinger</a> og kontakt din netthotell-tilbyder hvis problemet vedvarer."
"Awaiting spam check","Avventer spam-sjekk"
"Flagged as spam by Akismet","Merket som useriøst av Akismet"
"Cleared by Akismet","Godkjent av Akismet"
"Flagged as spam by %s","Merket som useriøs av %s"
"Un-spammed by %s","Merket som ikke useriøs av %s"
"View comment history","Se kommentarhistorikk"
"History","Historikk"
"%s approved","%s godkjente"
"%s ago","%s siden"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> har beskyttet din side mot %s useriøs kommentar allerede."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> har beskyttet din side mot %s useriøse kommentarer allerede."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> blokkerer useriøse kommentarer til ditt nettsted."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Det er <a href=\"%s\">%s kommentar</a> i kø som er merket useriøs."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Det er <a href=\"%s\">%s kommentarer</a> i kø som er merket useriøse."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Det er ingenting i din <a href='%s'>useriøs-kø</a> i øyeblikket."
"Check for Spam","Se etter useriøse"
"%s reported this comment as not spam","%s rapporterte denne kommentaren som ikke useriøs"
"%s reported this comment as spam","%s rapporterte denne kommentaren som useriøs"
"%s changed the comment status to %s","%s endret status for kommentaren til %s"
"Akismet re-checked and caught this comment as spam","Akismet re-sjekket og fanget denne kommentaren som useriøs"
"Akismet re-checked and cleared this comment","Akismet re-sjekket og klarerte denne kommentaren"
"Akismet was unable to re-check this comment (response: %s)","Akismet klarte ikke å re-sjekke denne kommentaren (respons:%s)"
"Akismet Stats","Akismet statistikk"
"Akismet caught this comment as spam","Akismet fanget denne kommentaren som useriøs"
"Comment status was changed to %s","Status for kommentaren ble endret til %s"
"Akismet cleared this comment","Akismet godkjente denne kommentaren"
"Comment was caught by wp_blacklist_check","Kommentaren ble fanget opp av wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet var ikke i stand til å sjekke denne kommentaren (respons: %s), men vil automatisk prøve på nytt igjen senere."
"Akismet caught this comment as spam during an automatic retry.","Akismet fanget denne kommentaren som useriøs i løpet av en automatisk re-sjekk."
"Akismet cleared this comment during an automatic retry.","Akismet godkjente denne kommentaren ved en ny automatisk kontroll."
"Akismet Spam (%s)","Akismet useriøse (%s)"
"Akismet Spam","Akismet useriøse"
"You do not have sufficient permission to moderate comments.","Du har ikke nok rettigheter til å moderere kommentarer."
"%s comments recovered.","%s kommentarer gjenopprettet."
"All spam deleted.","Alle useriøse slettet."
"Caught Spam","Fanget useriøst"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet har samlet <strong>%s useriøse kommentarer</strong> for deg siden du installerte den."
"You have no spam currently in the queue. Must be your lucky day. :)","Du har ingen useriøse kommentarer i køen. Dette må være lykkedagen din. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Du kan slette alle useriøse kommentarer fra databasen din med et eneste klikk. Denne operasjonen kan ikke angres, så det kan hende at du bør kontrollere for å se at ingen ordentlige kommentarer har blitt merket som useriøse. Useriøse kommentarer slettes automatisk etter 15 dager, så det er ingen grunn til bekymring."
"There are currently %s comments identified as spam.","Det er nå %s kommentarer identifisert som useriøse."
"Delete all","Slett alle"
"Search","Søk"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Dette er de siste kommentarer Akismet har identifisert som useriøse. Merk kommentaren som \"ikke useriøs\" hvis du ser noe som ikke skulle vært her, så Akismet kan lære av sine feil. Useriøse kommentarer blir automatisk slettet etter 15 dager."
"All","Alle"
"Comments","Kommentarer"
"Search Spam &raquo;","Søk i useriøse &raquo;"
"&laquo; Previous Page","&laquo; Forrige side"
"Next Page &raquo;","Neste side &raquo;"
"Not Spam","Ikke useriøs"
"View Post","Vis innlegg"
"De-spam marked comments &raquo;","Gjør merkede kommentarer ikke-useriøse &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Kommentarer du fjerner fra «uønsket» vil bli sendt til Akismet som rettelser, slik at det kan lære og bli bedre."
"Recheck Queue for Spam","Se etter useriøse igjen"
"Akismet Widget","Aksimet widget"
"Display the number of spam comments Akismet has caught","Vis hvor mange useriøse kommentarer Akismet har fanget opp"
"Spam Blocked","Useriøse kommentarer blokkert"
"Title:","Tittel:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s useriøse kommentarer</strong> stoppet av <strong>Akismet</strong>"
"About WordPress","Om WordPress"
"Documentation","Dokumentasjon"
"Support Forums","Supportforum"
"Feedback","Tilbakemelding"
"Howdy, %s","Hei, %s"
"My Account","Min konto"
"Edit My Profile","Rediger min profil"
"Log Out","Logg ut"
"Network Admin: %s","Nettverksadmin: %s"
"Global Dashboard: %s","Globalt kontrollpanel: %s"
"Visit Site","Vis nettsted"
"Edit Site","Rediger nettsted"
"Dashboard","Kontrollpanel"
"My Sites","Mine nettsteder"
"Network Admin","Nettverksadmin"
"Sites","Nettsteder"
"Users","Brukere"
"Visit Network","Besøk nettverk"
"New Post","Nytt innlegg"
"Manage Comments","Håndter kommentarer"
"Shortlink","Kortlenke"
"User","Bruker"
"%s comment awaiting moderation","%s kommentar venter på moderering"
"%s comments awaiting moderation","%s kommentarer venter på moderering"
"Themes","Temaer"
"Customize","Tilpass"
"Widgets","Widgeter"
"Menus","Menyer"
"Background","Bakgrunn"
"Header","Sidetopp"
"XML error: %s at line %d","XML-feil: %s på linje %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Bruk <code>get_the_author()</code> i stedet hvis du ikke vil at verdien skal bli 'echoed'."
"Visit %s&#8217;s website","Besøk nettstedet til %s"
"Posts by %s","Innlegg av %s"
"Last updated: %s","Sist oppdatert: %s"
"Bookmarks","Bokmerker"
"Use <code>WP_User->ID</code> instead.","Bruk <code>WP_User->ID</code> isteden."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Bruk av brukernivåer i utvidelser og temaer er utgått. Bruk roller og rettigheter i stedet."
"View all posts in %s","Vis alle innlegg i %s"
"Uncategorized","Ukategorisert"
"No categories","Ingen kategorier"
"%s topic","%s innlegg"
"%s topics","%s innlegg"
"View all posts filed under %s","Vis alle innlegg arkivert under %s"
"Feed for all posts filed under %s","Nyhetsstrøm for alle innlegg arkivert under %s"
"Tags:","Stikkord: "
"A valid URL was not provided.","En gyldig URL ble ikke angitt"
"User has blocked requests through HTTP.","Bruker har blokkert for forespørseler igjennom HTTP."
"Destination directory for file streaming does not exist or is not writable.","Nedlastingsmappen for filer finnes ikke eller er ikke skrivbar."
"There are no HTTP transports available which can complete the requested request.","Det er ingen HTTP transportør tilgjengelig som kan fullføre den forespurte forespørselen."
"Could not open handle for fopen() to %s","Klarte ikke åpne peker for fopen() til %s"
"Too many redirects.","For mange redirigeringer."
"Malformed URL: %s","Feil sammensatt URL: %s"
"No server specified","Ingen server er oppgitt"
"no login ID submitted","ingen bruker-ID oppgitt"
"connection not established","tilkobling er ikke opprettet"
"No password submitted","Ingen passord oppgitt"
"Authentication failed","Autentisering feilet"
"No connection to server","Ingen tilkobling til serveren"
"No login ID submitted","Ingen bruker-ID oppgitt"
"No server banner","Ingen serveroverskrift"
"abort","avbryt"
"apop authentication failed","apop-autentisering feilet"
"Premature end of list","Listen ble avsluttet for tidlig"
"Empty command string","Tom kommandostreng"
"connection does not exist","tilkoblingen finnes ikke"
"No msg number submitted","Meldingsnummer ikke oppgitt"
"Command failed","Kommandoen feilet "
"The menu ID should not be empty.","Menyen ID skal ikke være tom."
"Skip to toolbar","Hopp til verktøylinje"
"Top navigation toolbar.","Øvre navigasjonsmeny."
"&mdash; Select &mdash;","&mdash; Velg &mdash;"
"Default","Standard"
"Hex Value","Heksadesimalverdi"
"Upload","Last opp"
"Remove","Fjern"
"No Image","Ikke noe bilde"
"Upload New","Last opp nytt"
"Uploaded","Opplastet"
"Remove Image","Fjern bilde"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Nettleseren på din enhet kan ikke brukes til å laste opp filer. Du kan kanskje bruke den <a href=\"http://wordpress.org/extend/mobile/\">tilhørende app-en for din enhet</a> isteden."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Dra-og-slipp en fil hit eller <a href=\"#\" class=\"upload\">velg en fil</a>."
"Select File","Velg fil"
"Background Image","Bakgrunnsbilde"
"Header Image","Toppbilde"
"Random Default Image","Tilfeldig standardbilde"
"Random Uploaded Image","Tilfeldig opplastet bilde"
"Site Title & Tagline","Nettstedets navn og slagord"
"Site Title","Nettstedstittel"
"Tagline","Slagord"
"Colors","Farger"
"Display Header Text","Vis tittelfelt"
"Header Text Color","Farge på topptekst"
"Background Color","Bakgrunnsfarge"
"Background Repeat","Gjenta bakgrunn"
"No Repeat","Ikke gjenta"
"Tile","Gjenta"
"Tile Horizontally","Gjenta horisontalt"
"Tile Vertically","Gjenta vertikalt"
"Background Position","Justering bakgrunn"
"Left","Venstre"
"Center","Senter"
"Right","Høyre"
"Background Attachment","Bakgrunnsvedlegg"
"Fixed","Fast"
"Scroll","Rull"
"Navigation","Navigasjon"
"Your theme supports %s menu. Select which menu you would like to use.","Temaet ditt støtter %s meny. Velg hvilken meny du vil bruke."
"Your theme supports %s menus. Select which menu appears in each location.","Temaet ditt støtter %s menyer. Velg hvilke menyer du vil bruke."
"You can edit your menu content on the Menus screen in the Appearance section.","Du kan redigere ditt menyinnhold i Meny-skjermen under menyseksjonen Utseende."
"Static Front Page","Statisk forside"
"Your theme supports a static front page.","Temaet ditt støtter en statisk forside."
"Front page displays","Forsidevisning"
"Your latest posts","Dine siste innlegg"
"A static page","En statisk side"
"Front page","Forside"
"Posts page","Side med innlegg"
"Text","Tekst"
"Visual","Visuell"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Engelsk=en,Dansk=da,Nederlandsk=nl,Finsk=fi,Fransk=fr,Tysk=de,Italiensk=it,Polsk=pl,Portugisisk=pt,Spansk=es,Svensk=sv"
"Update","Oppdater"
"Save","Lagre"
"Exit fullscreen","Avslutt fullskjermvisning"
"Bold (Ctrl + B)","Fet (Ctrl + B)"
"Italic (Ctrl + I)","Kursiv (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Usortert liste (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Sortert liste (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Blokksitat (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Sett inn / rediger bilde (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Sett inn / rediger lenke (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Opphev lenke (Alt + Shift + S)"
"Help (Alt + Shift + H)","Hjelp (Alt + Shift + H)"
"Updated.","Oppdatert."
"Saved.","Lagret."
"Enter title here","Skriv tittel her"
"Word count: %s","Antall ord: %s"
"Just write.","Distraksjonsfri modus."
"Y/m/d","d/m, Y"
"Enter the destination URL","Skriv inn URL-en"
"Title","Tittel"
"Open link in a new window/tab","Åpne lenken i nytt vindu / fane"
"Or link to existing content","Eller lag lenke til eksisterende innhold"
"No search term specified. Showing recent items.","Ingen søkeord spesifisert. Viser nye elementer."
"Add Link","Legg til lenke"
"Cancel","Avbryt"
"File doesn&#8217;t exist?","Filen eksisterer ikke?"
"File is not an image.","Filen er ikke et bilde."
"Could not read image size.","Kunne ikke lese bildestørrelse."
"Image resize failed.","Bildeskalering mislyktes."
"Could not calculate resized image dimensions","Kunne ikke regne ut det skalerte bildets dimensjoner"
"Image crop failed.","Bildebeskjærelse mislyktes."
"Image rotate failed.","Bilderotasjon mislyktes."
"Image flip failed.","Speiling av bilde mislyktes."
"Image Editor Save Failed","Lagring i bilderedigering mislyktes"
"Could not read image size","Klarte ikke å lese bildestørrelse"
"The theme directory does not exist.","Temamappen finnes ikke."
"Stylesheet is missing.","Stilsettet mangler."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","FEIL: Temamappen er enten tom eller finnes ikke. Kontroller installasjonen."
"Stylesheet is not readable.","Stilarket er ikke lesbart."
"Template is missing.","Malen mangler."
"The parent theme is missing. Please install the \"%s\" parent theme.","Foreldretemaet mangler. Vennligst installer foreldretemaet til \"%s\"."
"The \"%s\" theme is not a valid parent theme.","Temaet \"%s\" er ikke et gyldig foreldretema."
"Visit author homepage","Gå til forfatterens nettside"
"Anonymous","Anonym"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC-tjenester er deaktivert på dette nettstedet."
"Incorrect username or password.","Ugyldig brukernavn eller passord."
"Software Name","Programvare navn"
"Software Version","Programvare versjon"
"Site URL","Nettstedets URL"
"Home URL","Hjem-URL"
"Image default link type","Standard lenketype for bilder"
"Image default size","Standard bildestørrelse"
"Image default align","Standard justering for bilder"
"Template","Maldokument"
"Stylesheet","Stilark"
"Post Thumbnail","Miniatyrbilde"
"Time Zone","Tidssone"
"Site Tagline","Nettstedets slagord"
"Date Format","Datoformat"
"Time Format","Tidsformat"
"Allow new users to sign up","Tillat nye brukere å registrere seg"
"Thumbnail Width","Bredde på miniatyrbilde"
"Thumbnail Height","Høyde på miniatyrbilde"
"Crop thumbnail to exact dimensions","Beskjær miniatyrbilde til eksakte dimensjoner"
"Medium size image width","Bredde for mellomstore bilder"
"Medium size image height","Høyde for mellomstore bilder"
"Large size image width","Bredde for Store bilder"
"Large size image height","Høyde for store bilder"
"Allow people to post comments on new articles","Tillat andre å kommentere nye innlegg og sider."
"Allow link notifications from other blogs (pingbacks and trackbacks)","Tillat varsling av lenker fra andre blogger (tilbaketråkk og tilbakesporing)"
"Insufficient arguments passed to this XML-RPC method.","Manglende argumenter sendt for denne XML-RPC-metoden."
"Invalid post type","Ugyldig innleggstype"
"Invalid post ID.","Ugyldig innlegg-ID."
"Sorry, you are not allowed to edit this post.","Beklager, du har ikke tillatelse til å redigere dette innlegget."
"The post type may not be changed.","Innleggsformatet kan ikke endres."
"Sorry, you are not allowed to post on this site.","Beklager, du har ikke tillatelse til å publisere på dette nettstedet."
"Sorry, you are not allowed to create private posts in this post type","Beklager, du har ikke tillatelse til å lage private innlegg med denne innleggstypen"
"Sorry, you are not allowed to publish posts in this post type","Beklager, du har ikke tillatelse til å publisere denne typen innlegg"
"Sorry, you are not allowed to create password protected posts in this post type","Beklager, du har ikke tillatelse til å lage passordbeskyttet innlegg for dette innleggsformatet"
"You are not allowed to create posts as this user.","Du har ikke tillatelse til å opprette innlegg som denne brukeren."
"Invalid author ID.","Ugyldig forfatter-ID."
"Sorry, you cannot stick a private post.","Beklager, du kan ikke feste et privat innlegg på forsiden."
"Sorry, you are not allowed to stick this post.","Beklager, du har ikke tillatelse til å gjøre dette innlegget klebrig."
"Invalid attachment ID.","Ugyldig vedleggs-ID."
"Sorry, one of the given taxonomies is not supported by the post type.","Beklager, en av klassifiseringene støttes ikke av denne typen innlegg."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Beklager, du har ikke tillatelse til å opprette nøkkelord for denne klassifiseringen."
"Invalid term ID","Ugyldig ID"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Tvetydig navn på definisjon brukt i hierarkisk klassifisering. Bruk ID for nøkkelord i stedet."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Beklager, du har ikke tillatelse til å opprette nøkkelord til en av disse klassifiseringene."
"Sorry, your entry could not be posted. Something wrong happened.","Beklager, ditt innlegg kunne ikke publiseres. En feil oppstod."
"There is a revision of this post that is more recent.","Det er en versjon av dette innlegget som er nyere."
"Sorry, you are not allowed to delete this post.","Beklager, du har ikke tillatelse til å slette dette innlegget."
"The post cannot be deleted.","Dette innlegget kan ikke slettes."
"Sorry, you cannot edit this post.","Beklager, du kan ikke redigere dette innlegget."
"The post type specified is not valid","Den spesifiserte innleggstypen er ikke gyldig"
"Sorry, you are not allowed to edit posts in this post type","Beklager, du har ikke tillatelse til å redigere innlegg av denne typen"
"Invalid taxonomy","Ugyldig klassifisering"
"You are not allowed to create terms in this taxonomy.","Du har ikke adgang til å lage kriterier for denne klassifiseringen."
"The term name cannot be empty.","Kriterienavnet kan ikke være tomt."
"This taxonomy is not hierarchical.","Denne klassifiseringen er ikke hierarkisk."
"Parent term does not exist.","Forelderkategori finnes ikke."
"Sorry, your term could not be created. Something wrong happened.","Beklager, klarte ikke å sette kriteriet. Noe er galt."
"You are not allowed to edit terms in this taxonomy.","Du har ikke adgang til å redigere kriterier for denne klassifiseringen."
"This taxonomy is not hierarchical so you can't set a parent.","Klassifiseringen er ikke hierarkisk, slik at du kan opprette en forelder."
"Sorry, editing the term failed.","Beklager, redigering av definisjon feilet."
"You are not allowed to delete terms in this taxonomy.","Du har ikke adgang til å slette definisjoner for denne taksonomien."
"Sorry, deleting the term failed.","Beklager, sletting av definisjon feilet."
"You are not allowed to assign terms in this taxonomy.","Du har ikke adgang til å tilordne definsjoner for denne klassifiseringen."
"Sorry, you cannot edit users.","Beklager, du kan ikke redigere brukere."
"Invalid user ID","Ugyldig bruker-ID"
"Sorry, you cannot list users.","Beklager, du kan ikke liste opp brukere."
"The role specified is not valid","Den spesifiserte rollen er ikke gyldig"
"Sorry, you cannot edit your profile.","Beklager, du kan ikke redigere din profil."
"Sorry, the user cannot be updated.","Beklager, brukeren kan ikke oppdateres."
"Sorry, you cannot edit this page.","Beklager, du kan ikke redigere denne siden."
"Sorry, no such page.","Beklager, ingen sånn side."
"Sorry, you cannot edit pages.","Beklager, du kan ikke redigere sider."
"Sorry, you do not have the right to delete this page.","Beklager, du har ikke lov til å slette siden."
"Failed to delete the page.","Kunne ikke slette siden."
"Sorry, you do not have the right to edit this page.","Beklager, du har ikke lov til å redigere denne siden."
"Sorry, you cannot edit posts on this site.","Beklager, du kan ikke redigere innlegg på dette nettstedet."
"Sorry, you must be able to edit posts on this site in order to view tags.","Beklager, du må kunne redigere innlegg på dette nettstedet for å se stikkordene."
"Sorry, you do not have the right to add a category.","Beklager, du har ikke lov til å legge til en kategori."
"Sorry, the new category failed.","Beklager, den nye kategorien feilet."
"Sorry, you do not have the right to delete a category.","Beklager, du har ikke lov til å slette en kategori."
"Sorry, you must be able to edit posts to this site in order to view categories.","Beklager, du må kunne redigere innlegg på dette nettstedet for å se kategoriene."
"You are not allowed to moderate comments on this site.","Du har ikke tillatelse til å moderere kommentarer på dette nettstedet."
