"New password","Nuova password"
"Olive","Verde oliva"
"Green","Verde"
"Teal","Anatra"
"Grayish blue","Grigio blu"
"Red","Rosso"
"Amber","Ambra"
"Yellow green","Giallo verde"
"Sea green","Verde mare"
"Turquoise","Turchese"
"Royal blue","Royal blu"
"Purple","Viola"
"Medium gray","Grigio medio"
"Gold","Oro"
"Yellow","Giallo"
"Lime","Giallo lime"
"Sky blue","Blu cielo"
"Brown","Marrone"
"Silver","Argento"
"Pink","Rosa"
"Peach","Pesca"
"Light yellow","Giallo chiaro"
"Pale green","Verde chiaro"
"Pale cyan","Ciano pallido"
"Light sky blue","Blu cielo chiaro"
"Plum","Prugna"
"White","Bianco"
"Alignment","Allineamento"
"Full","Completo"
"Insert date","Inserisci data"
"Insert time","Inserisci ora"
"January","gennaio"
"February","febbraio"
"March","marzo"
"April","aprile"
"May","maggio"
"June","giugno"
"July","luglio"
"August","agosto"
"September","settembre"
"October","ottobre"
"November","novembre"
"December","dicembre"
"Jan_January_abbreviation","gen"
"Feb_February_abbreviation","feb"
"Mar_March_abbreviation","mar"
"Apr_April_abbreviation","apr"
"May_May_abbreviation","mag"
"Jun_June_abbreviation","giu"
"Jul_July_abbreviation","lug"
"Aug_August_abbreviation","ago"
"Sep_September_abbreviation","set"
"Oct_October_abbreviation","ott"
"Nov_November_abbreviation","nov"
"Dec_December_abbreviation","dic"
"Sunday","domenica"
"Monday","lunedì"
"Tuesday","martedì"
"Wednesday","mercoledì"
"Thursday","giovedì"
"Friday","venerdì"
"Saturday","sabato"
"Sun","dom"
"Mon","lun"
"Tue","mar"
"Wed","mer"
"Thu","gio"
"Fri","ven"
"Sat","sab"
"Print","Stampa"
"Preview","Anteprima"
"Direction left to right","Direzione da sinistra a destra"
"Direction right to left","Direzione da destra a sinistra"
"Insert new layer","Inserisci nuovo livello"
"Move forward","Sposta in avanti"
"Move backward","Muovi dietro"
"Toggle absolute positioning","Attiva/Disattiva posizionamento assoluto"
"New layer...","Nuovo livello..."
"Cancel all changes","Annulla tutte le modifiche"
"Insert non-breaking space character","Inserire un carattere di spazio non divisibile"
"Run spell checking","Esegui controllo ortografico"
"ieSpell not detected. Do you want to install it now?","ieSpell non presente. Si desidera installarlo ora?"
"Horizontal rule","Righello orizzontale"
"Emotions","Emozioni"
"Find","Trova"
"Find/Replace","Trova/Sostituisci"
"Insert/edit image","Inserisci/Modifica immagine"
"Insert/edit link","Inserisci/Modifica link"
"Citation","Citazione"
"Abbreviation","Abbreviazione"
"Acronym","Acronimo"
"Deletion","Cancellazione"
"Insertion","Inserimento"
"Insert/Edit Attributes","Inserisci/Modifica attributi"
"Edit CSS Style","Modifica stile CSS"
"Paste as Plain Text","Incolla come Testo Puro"
"Paste from Word","Incolla da Word"
"Select All","Seleziona tutto"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Incolla è ora in modalità testo. Fare di nuovo clic per passare alla modalità incolla normale. Dopo aver incollato qualcosa si tornerà alla modalità incolla normale."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","La funzione Incolla è ora in modalità testo. Fare di nuovo clic per passare alla modalità incolla normale."
"Use CTRL+V on your keyboard to paste the text into the window.","Utilizza CTRL+V da tastiera per incollare il testo nella finestra."
"Keep linebreaks","Mantieni interruzioni di riga"
"Inserts a new table","Inserisci nuova tabella"
"Insert row before","Inserisci una riga prima"
"Insert row after","Inserisci una riga dopo"
"Delete row","Cancella riga"
"Insert column before","Inserisci una colonna prima"
"Insert column after","Inserisci una colonna dopo"
"Remove column","Rimuovi colonna"
"Split merged table cells","Separa le celle unite nella tabella"
"Merge table cells","Unisci celle tabella"
"Table row properties","Proprietà riga tabella"
"Table cell properties","Proprietà cella tabella"
"Table properties","Proprietà tabella"
"Paste table row before","Incolla riga tabella prima"
"Paste table row after","Incolla riga tabella dopo"
"Cut table row","Taglia riga tabella"
"Copy table row","Proprietà cella tabella"
"Delete table","Cancella tabella"
"Row","Riga"
"Column","Colonna"
"Cell","Cella"
"The changes you made will be lost if you navigate away from this page.","Se si abbandona questa pagina i cambiamenti effettuati verranno persi ."
"Toggle fullscreen mode (Alt + Shift + G)","Attiva/Disattiva la modalità a schermo intero (Alt + Shift + G)"
"Insert / edit embedded media","Inserisci/modifica media incorporati"
"Edit embedded media","Modifica media incorporati"
"Document properties","Proprietà documento"
"Insert predefined template content","Inserisci contenuto da template predefinito"
"Visual control characters on/off.","Caratteri di controllo visuali on/off."
"Toggle spellchecker (Alt + Shift + N)","Attiva/Disattiva il correttore ortografico (Alt + Maiusc + N)"
"Spellchecker settings","Impostazioni correttore ortografico"
"Ignore word","Ignora parola"
"Ignore all","Ignora tutto"
"Languages","Lingue"
"Please wait...","Attendi..."
"Suggestions","Suggerimenti"
"No suggestions","Nessun suggerimento"
"This is somewhat embarrassing, isn&rsquo;t it?","Questo è leggermente imbarazzante, non è vero?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Sembra impossibile trovare quello che stavi cercando. Forse una ricerca specifica potrebbe aiutarti."
"Daily Archives: %s","Archivi giornalieri: %s"
"Monthly Archives: %s","Archivio mensile:%s"
"Yearly Archives: %s","Archivi annuali: %s"
"Author Archives: %s","Archivio dell'autore: %s"
"About %s","Informazioni su %s"
"Category Archives: %s","Archivio della categoria: %s"
"One thought on &ldquo;%s&rdquo;","Un pensiero su  &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s pensieri su &ldquo;%s&rdquo;"
"Comment navigation","Navigazione commenti"
"&larr; Older Comments","&larr; Commenti meno recenti"
"Newer Comments &rarr;","Commenti più recenti &rarr;"
"Permalink to %s","Permalink a %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Continua a leggere <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Lascia una risposta"
"1 Reply","1 Replica"
"%s Replies","%s Repliche"
"Nothing Found","Nessun risultato"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Ci spiace, ma non è stato trovato alcun risultato. Forse una ricerca potrebbe aiutarti a trovare un articolo correlato."
"Featured post","Articolo in evidenza"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Visualizza tutti gli articoli di %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Piattaforma semantica di editoria personale "
"Proudly powered by %s","Utilizza %s"
"Primary Menu","Menu principale"
"Page %s","Pagina %s"
"Main Sidebar","Barra laterale principale"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Appare negli articoli e nelle pagine ad eccezione del template della Pagina principale che ha i propri widget"
"First Front Page Widget Area","Prima area widget pagina iniziale"
"Appears when using the optional Front Page template with a page set as Static Front Page","Sembra che tu stia usando il template di Pagina iniziale opzionale con una pagina impostata come Pagina statica inziale"
"Second Front Page Widget Area","Seconda area widget pagina iniziale"
"Post navigation","Navigazione articolo"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Articoli più vecchi"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Articoli più recenti <span class=\"meta-nav\">&rarr;</span>"
"Post author","Autore articolo"
"View all posts by %s","Visualizza tutti gli articoli di %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Questo articolo è stato pubblicato in %s e taggato come %s il %s<span class=\"by-author\"> da %s</span>"
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Questo articolo è stato pubblicato in %s il %s<span class=\"by-author\"> da %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Questo articolo &egrave; stato pubblicato il %s<span class=\"by-author\"> da %s</span>."
"Skip to content","Vai al contenuto"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Pubblicato </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> alle <a href=\"%s\" title=\"Link all'immagine a grandezza naturale\">%s &times; %s</a> in <a href=\"%s\" title=\"Torna a %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Precedente"
"Next &rarr;","Successivo &rarr;"
"No posts to display","Nessun articolo da visualizzare"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Pronti per la pubblicazione del primo articolo? <a href=\"%s\">Iniziare da qui</a>."
"Search Results for: %s","Risultati della ricerca di: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Siamo spiacenti ma non è disponibile alcun elemento corrispondente ai criteri di ricerca inseriti. Riprovare con parole chiave diverse."
"Tag Archives: %s","Archivio tag: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Il tema di WordPress per il 2012 è un tema adattabile che viene visualizzato perfettamente su ogni device. Le sue funzionalità includono un template per la pagina iniziale con widget dedicati, un sistema per la scelta del font da utilizzare, stili per i formati degli articoli sia negli indici che nelle viste singole ed un template di pagina opzionale senza barra laterale. Rendilo tuo con un menu personalizzato ed una immagine per la testa e per lo sfondo."
"the WordPress team","il team di WordPress"
"Front Page Template","Template della pagina inziale"
"Invalid user ID.","ID utente non valido."
"Embeds","Incorporamenti"
"Uploading Files","Caricamento file"
"Store uploads in this folder","Memorizza gli upload in questa cartella"
"Default is <code>wp-content/uploads</code>","Valore predefinito <code>wp-content/uploads</code>"
"Full URL path to files","Percorso URL completa ai file"
"Configuring this is optional. By default, it should be blank.","Questa configurazione è opzionale. Di base dovrebbe essere vuota."
"Organize my uploads into month- and year-based folders","Organizza gli upload in cartelle sulla base di mese e anno"
"Permalink Settings","Impostazioni permalink"
"Permalinks are the permanent URLs to your individual pages and blog posts, as well as your category and tag archives. A permalink is the web address used to link to your content. The URL to each post should be permanent, and never change &#8212; hence the name permalink.","I permalink sono le URL permanenti alle singole pagine e agli articoli del blog, così come alle pagine archivio per categorie e tag. Un permalink è un indirizzo utilizzato per collegarsi univocamente al contenuto. La URL di ciascun articolo deve essere permanente, non può quindi cambiare mai - da cui il nome \"permalink\"."
"This screen allows you to choose your default permalink structure. You can choose from common settings or create custom URL structures.","Questa pagina permette di scegliere la propria struttura di permalink predefinita. È possibile scegliere tra le impostazioni predefiniti o creare strutture di URL personalizzate."
"Common Settings","Impostazioni comuni"
"Many people choose to use &#8220;pretty permalinks,&#8221; URLs that contain useful information such as the post title rather than generic post ID numbers. You can choose from any of the permalink formats under Common Settings, or can craft your own if you select Custom Structure.","Molte persone scelgono di utilizzare le URL con &#8220;permalink,&#8221; che contengono informazioni utili quali il titolo dell'articolo, al posto di un generico numero di ID. &Egrave; possibile scegliere uno qualsiasi dei formati di permalink disponibili sotto Impostazioni generali oppure creare la propria struttura selezionando Struttura personalizzata."
"If you pick an option other than Default, your general URL path with structure tags, terms surrounded by <code>%s</code>, will also appear in the custom structure field and your path can be further modified there.","Se si seleziona una impostazione diversa da quella Predefinita, il path della URL generale apparirà con i termini ed i tag racchiusi da <code>%s</code> nel campo Struttura personalizzata che potrà essere ulteriormente modificato."
"When you assign multiple categories or tags to a post, only one can show up in the permalink: the lowest numbered category. This applies if your custom structure includes <code>%scategory%s</code> or <code>%stag%s</code>.","Quando vengono assegnate più categorie o tag ad un articolo, solo una può essere visualizzata nel permalink: la categoria con l'ID più basso. Questo si applica se la struttura personalizzata include <code>%scategory%s</code> o <code>%stag%s</code>."
"Custom Structures","Strutture personalizzate"
"The Optional fields let you customize the &#8220;category&#8221; and &#8220;tag&#8221; base names that will appear in archive URLs. For example, the page listing all posts in the &#8220;Uncategorized&#8221; category could be <code>/topics/uncategorized</code> instead of <code>/category/uncategorized</code>.","Le impostazioni aggiuntive permettono di personalizzare le strutture dei permalink delle &#8220;categorie&#8221; e dei  &#8220;tag&#8221; utilizzando degli argomenti come base che appariranno negli indirizzi nell'archivio. Per esempio la pagina che visualizza tutti gli articoli nella categoria &#8220;senza categoria&#8221; potrebbe essere <code>/topics/senza-categoria</code> invece di  <code>/categoria/senza-categoria</code>."
"<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Documentation on Permalinks Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\"> Documentazione sulle Impostazioni dei permalink</a> (in inglese) "
"<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Documentation on Using Permalinks</a>","<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Documentazione sull'uso dei Permalink</a> (in inglese)"
"You should update your web.config now.","Si consiglia di aggiornare il web.config ora."
"Permalink structure updated. Remove write access on web.config file now!","Struttura dei permalink aggiornata. Rimuovere i permessi di scrittura al file web.config!"
"Permalink structure updated.","Struttura dei permalink aggiornata."
"You should update your .htaccess now.","Ora dovresti aggiornare il tuo file .htaccess."
"By default WordPress uses web <abbr title=\"Universal Resource Locator\">URL</abbr>s which have question marks and lots of numbers in them, however WordPress offers you the ability to create a custom URL structure for your permalinks and archives. This can improve the aesthetics, usability, and forward-compatibility of your links. A <a href=\"http://codex.wordpress.org/Using_Permalinks\">number of tags are available</a>, and here are some examples to get you started.","Di base WordPress utilizza degli <abbr title=\"Universal Resource Locator\">URL</abbr> web con all'interno punti di domanda e molti numeri, tuttavia WordPress offre la possibilità di creare una struttura personalizzata per gli URL dei permalink e degli archivi. Ciò migliora l'estetica, l'usabilità e la compatibilità dei propri link. Sono disponibili un <a href=\"http://codex.wordpress.org/Using_Permalinks\">certo numero di tag</a> e qui di seguito vi sono alcuni esempi da cui partire."
"Day and name","Data e nome"
"sample-post","articolo d'esempio"
"Month and name","Mese e nome"
"Numeric","Numerico"
"Post name","Nome articolo"
"Custom Structure","Struttura personalizzata"
"Optional","Impostazioni aggiuntive (facoltative)"
"If you like, you may enter custom structures for your category and tag <abbr title=\"Universal Resource Locator\">URL</abbr>s here. For example, using <code>topics</code> as your category base would make your category links like <code>http://example.org/%stopics/uncategorized/</code>. If you leave these blank the defaults will be used.","Se lo si desidera, qui è possibile inserire una struttura personalizzata per le <abbr title=\"Universal Resource Locator\">URL</abbr> di categorie e tag. Ad esempio utilizzando <code>argomenti</code> come base per le categorie si otterranno link di categoria del tipo <code>http://example.org/%sargomenti/senza-categoria/</code>. Se si lasciano queste voci in bianco verranno usati i valori predefiniti."
"Category base","Base delle categorie"
"Tag base","Base dei tag"
"If your <code>web.config</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this rule inside of the <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> element in <code>web.config</code> file.","Se il file <code>.htaccess</code> fosse <a href=\"http://codex.wordpress.org/Make_a_Directory_Writable\">scrivibile</a> potremmo aggiornarlo automaticamente, ma poiché non lo è queste sono le regole di riscrittura url che si dovranno inserire manualmente nel file <code>web.config</code>. Fare clic su questo campo e premere <kbd>CTRL + a</kbd> per selezionarle tutte. Quindi inserire queste regole nell'elemento <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> del file <code>web.config</code>."
"If you temporarily make your <code>web.config</code> file writable for us to generate rewrite rules automatically, do not forget to revert the permissions after rule has been saved.","Se si rende il file <code>web.config</code> temporaneamente scrivibile affinché sia possibile generare le regole di riscrittura in maniera automatica, non dimenticarsi di ripristinare i permessi una volta che le regole sono state salvate."
"If the root directory of your site were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Create a new file, called <code>web.config</code> in the root directory of your site. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this code into the <code>web.config</code> file.","Se la directory di root del proprio sito fosse <a href=\"http://codex.wordpress.org/Make_a_Directory_Writable\">scrivibile</a> potremmo farlo automaticamente, ma poiché non lo è queste sono le regole di riscrittura url che si dovranno inserire manualmente nel file <code>web.config</code>. Creare un nuovo file, denominato <code>web.config</code> nella directory di root del proprio sito. Fare clic su questo campo e premere <kbd>CTRL + a</kbd> per selezionarle tutte. Quindi inserire questo codice nel file <code>web.config</code>."
"If you temporarily make your site&#8217;s root directory writable for us to generate the <code>web.config</code> file automatically, do not forget to revert the permissions after the file has been created.","Se si rende la directory di root del proprio sito scrivibile per poter generare automaticamente il file <code>web.config</code>, non dimenticarsi di ripristinare i permessi una volta che il file è stato creato."
"If your <code>.htaccess</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so these are the mod_rewrite rules you should have in your <code>.htaccess</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all.","Se il tuo file <code>.htaccess</code> fosse <a href=\"http://codex.wordpress.org/Make_a_Directory_Writable\">scrivibile</a> potremmo aggiornarlo automaticamente, ma poiché non lo è queste sono le regole di mod_rewrite che si dovranno inserire nel file <code>.htaccess</code> manualmente. Fare clic su questo campo e premere <kbd>CTRL + a</kbd> per selezionarle tutte."
"Reading Settings","Impostazioni lettura"
"The <a href=\"http://codex.wordpress.org/Glossary#Character_set\">character encoding</a> of your site (UTF-8 is recommended)","La <a href=\"http://codex.wordpress.org/Glossary#Character_set\">codifica dei caratteri</a> del tuo sito (è raccomandato il formato UTF-8)"
"This screen contains the settings that affect the display of your content.","Questa schermata contiene le impostazioni che riguardano la visualizzazione del contenuto."
"You can choose what&#8217;s displayed on the front page of your site. It can be posts in reverse chronological order (classic blog), or a fixed/static page. To set a static home page, you first need to create two <a href=\"%s\">Pages</a>. One will become the front page, and the other will be where your posts are displayed.","È possibile decidere cosa deve essere visualizzato nella pagina principale del sito. Possono essere articoli in ordine cronologico inverso (il classico blog) o una pagina statica/fissa. Per impostare una pagina iniziale statica, per prima cosa è necessario creare due <a href=\"%s\">Pagine</a>. Una diventerà la pagina iniziale, l'altra sarà quella dove saranno visualizzati gli articoli."
"You can also control the display of your content in RSS feeds, including the maximum numbers of posts to display and whether to show full text or a summary.","Puoi anche controllare la visualizzazione del contenuto nei feed RSS feeds che permette di indicare il numero massimo di articoli da visualizzare e se mostrare tutto il testo o solo un riassunto."
"Site Visibility","Visibilità del sito"
"Search Engine Visibility","Visibilità ai motori di ricerca"
"You can choose whether or not your site will be crawled by robots, ping services, and spiders. If you want those services to ignore your site, click the checkbox next to &#8220;Discourage search engines from indexing this site&#8221; and click the Save Changes button at the bottom of the screen. Note that your privacy is not complete; your site is still visible on the web.","Puoi scegliere se permettere o meno la navigazione del tuo sito da parte dei robot, dei servizi di ping e dagli spider. Se desideri che questi servizi ignorino il tuo sito fai clic sulal casella di spunta accanto a &#8220;Scoraggiare i motori di ricerca dall'indicizzare questo sito&#8221; e fai clic sul pulsante Salva modifiche alla base della schermata. Si noti che la privacy non è assoluta, il tuo sito è ancora visibile sul web."
"When this setting is in effect, a reminder is shown in the Right Now box of the Dashboard that says, &#8220;Search Engines Discouraged,&#8221; to remind you that your site is not being crawled.","Quando queste impostazioni sono attive, un promemoria appare nel riquadro Stato attuale sulla Bacheca con la scritta &#8220;Motori di ricerca disabilitati,&#8221; per ricordarti che il tuo sito non viene indicizzato."
"<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Documentation on Reading Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Documentazione sulle Impostazioni di lettura</a> (in inglese)"
"Encoding for pages and feeds","Codifica delle pagine e dei feed"
"A <a href=\"%s\">static page</a> (select below)","Una <a href=\"%s\">pagina statica</a> (selezionata qui sotto)"
"Front page: %s","Pagina iniziale: %s"
"Posts page: %s","Pagina articoli: %s"
"<strong>Warning:</strong> these pages should not be the same!","<strong>Attenzione:</strong> queste pagine non possono essere identiche!"
"Blog pages show at most","Le pagine del blog visualizzano al massimo"
"posts","articoli più recenti"
"Syndication feeds show the most recent","I feed visualizzano"
"items","elementi"
"For each article in a feed, show","Per ciascun articolo in un feed, mostra:"
"Full text","Tutto il testo"
"Summary","Riassunto"
"Allow search engines to index this site","Permetti ai motori di ricerca di indicizzare questo sito"
"Discourage search engines from indexing this site","Scoraggia i motori di ricerca ad effettuare l'indicizzazione di questo sito"
"Note: Neither of these options blocks access to your site &mdash; it is up to search engines to honor your request.","Nota: Nessuna di queste opzioni blocca l'accesso al sito - spetta ai motori di ricerca onorare la richiesta."
"It is up to search engines to honor this request.","&Egrave; compito dei motori di ricerca onorare o meno questa richiesta."
"Writing Settings","Impostazioni scrittura"
"You can submit content in several different ways; this screen holds the settings for all of them. The top section controls the editor within the dashboard, while the rest control external publishing methods. For more information on any of these methods, use the documentation links.","&Egrave; possibile inviare i contenuti con vari metodi. Questa schermata contiene le impostazioni per tutte le metodologie disponibili. La sezione iniziale controlla l'editor disponibili nella bacheca, mentre il resto controlla i metodi di pubblicazione esterni. Per ulteriori informazioni su ciascuno di questi metodi utilizzare i link di documentazione."
"Press This is a bookmarklet that makes it easy to blog about something you come across on the web. You can use it to just grab a link, or to post an excerpt. Press This will even allow you to choose from images included on the page and use them in your post. Just drag the Press This link on this screen to your bookmarks bar in your browser, and you&#8217;ll be on your way to easier content creation. Clicking on it while on another website opens a popup window with all these options.","Pubblicalo è un bookmarklet che permettere di pubblicare con facilità qualsiasi cosa si trovi sul web. &Egrave; possibile utilizzarlo solo per prendere un link, o per pubblicare un riassunto. Pubblicalo permette anche di scegliere un'immagine inclusa sulla pagina da utilizzare nell'articolo. Basta trascinare il link Pubblicalo presente in questa schermata sulla barra dei preferiti del browser e si potrà facilmente creare nuovi contenuti. Facendo click su di esso mentre ci si trova su un altro sito, farà aprire una finestra popup con tutte queste opzioni."
"Post Via Email","Pubblica tramite e-mail"
"Post via email settings allow you to send your WordPress install an email with the content of your post. You must set up a secret e-mail account with POP3 access to use this, and any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret.","La impostazioni per la pubblicazione tramite email permettono di inviare alla propria installazione di WordPress una mail contenente l'articolo. Si deve impostare una casella mail segreta con accesso POP3 da utilizzare per questo scopo, ogni mail ricevuta a questo indirizzo verrà pubblicata, quindi è una buona idea mantenere questo indirizzo veramente segreto."
"Update Services","Servizi di aggiornamento"
"If desired, WordPress will automatically alert various services of your new posts.","Se lo si desidera, WordPress automaticamente allerta i vari servizi quando vi sono nuovi articoli."
"<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Documentation on Writing Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Documentazione sulle Impostazioni di scrittura</a> (in inglese)"
"Formatting","Formattazione"
"Convert emoticons like <code>:-)</code> and <code>:-P</code> to graphics on display","Convertire a video gli emoticon tipo <code>:-)</code> o <code>:-P</code> in simboli grafici."
"WordPress should correct invalidly nested XHTML automatically","WordPress correggerà automaticamente il codice XHTML non correttamente annidato"
"Default Post Category","Categoria predefinita articoli"
"Default Post Format","Formato articolo predefinito"
"Default Link Category","Categoria predefinita link"
"Press This is a bookmarklet: a little app that runs in your browser and lets you grab bits of the web.","\"Pubblicalo\" è un bookmarklet: una piccola applicazione che funziona col proprio browser e permette di catturare pezzetti del web."
"Use Press This to clip text, images and videos from any web page. Then edit and add more straight from Press This before you save or publish it in a post on your site.","Utilizzare Pubblicalo per ritagliare testi, immagini e video da qualsiasi pagina web. Quindi modificare ed aggiungere altro materiale con Pubblicalo prima di salvarlo o pubblicarlo in un articolo del proprio sito."
"Drag-and-drop the following link to your bookmarks bar or right click it and add it to your favorites for a posting shortcut.","Trascinare-e-rilasciare il seguente link sulla propria barra dei segnalibri o fare un clic destro per aggiungerlo ai propri preferiti per avere una scorciatoia per la pubblicazione di articoli."
"If your bookmarks toolbar is hidden: copy the code below, open your Bookmarks manager, create new bookmark, type Press This into the name field and paste the code into the URL field.","Se la barra dei segnalibri è nascosta: copiare il codice sottostante, aprire il gestore dei segnalibri, creare nuovo segnalibro, scrivere Press This nel campo nome ee incollare il codice nel campo URL."
"Post via e-mail","Articoli via e-mail"
"To post to WordPress by e-mail you must set up a secret e-mail account with POP3 access. Any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret. Here are three random strings you could use: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>.","Per pubblicare su WordPress tramite e-mail occorre creare un account e-mail segreto con accesso POP3. Qualsiasi mail ricevuta da questo indirizzo verrà pubblicata, quindi è una buona idea mantenere questo indirizzo veramente segreto. Ecco tre stringhe casuali da utilizzare come indiizzo: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>."
"Mail Server","Server di posta"
"Port","Porta"
"Login Name","Nome Login:"
"Default Mail Category","Categoria standard per e-mail"
"When you publish a new post, WordPress automatically notifies the following site update services. For more about this, see <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> on the Codex. Separate multiple service <abbr title=\"Universal Resource Locator\">URL</abbr>s with line breaks.","Quando si pubblica un nuovo articolo WordPress notifica automaticamente i seguenti servizi di aggiornamento siti. Per ulteriori informazioni su questa opzione consultare la pagina <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> sul Codex. Separare le <abbr title=\"Universal Resource Locator\">URL</abbr> dei vari servizi con un ritorno a capo."
"WordPress is not notifying any <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> because of your site&#8217;s <a href=\"%s\">visibility settings</a>.","WordPress non sta notificando alcun  <a href=\"http://codex.wordpress.org/Update_Services\"> Servizio di aggiornamento</a> a causa delle <a href=\"%s\">impostazioni di visibilità</a> del tuo sito."
"<strong>ERROR</strong>: options page not found.","<strong>ERRORE</strong>: pagina delle opzioni non trovata."
"You do not have sufficient permissions to modify unregistered settings for this site.","Non si dispone di permessi sufficienti per modificare i link di questo sito."
"The <code>%s</code> setting is unregistered. Unregistered settings are deprecated. See http://codex.wordpress.org/Settings_API","L'impostazione<code>%s</code> non è registrata. le impostazioni non registrate sono deprecate. Controlla a http://codex.wordpress.org/Settings_API"
"All Settings","Tutte le opzioni"
"You do not have sufficient permissions to edit plugins for this site.","Non si dispone di permessi sufficienti per modificare i plugin di questo sito."
"Edit Plugins","Modifica plugin"
"There are no plugins installed on this site.","Non vi sono plugin installati per questo sito."
"No such file exists! Double check the name and try again.","Il file non esiste! Verificare il nome e riprovare."
"Files of this type are not editable.","I file di questo tipo non sono modificabili."
"You can use the editor to make changes to any of your plugins&#8217; individual PHP files. Be aware that if you make changes, plugins updates will overwrite your customizations.","&Egrave; possibile utilizzare l'editor per modificare ogni file php di ogni plugin. Ogni modifica effettuata ai file dei plugin verrà eliminata con l'aggiornamento automatico dei plugin."
"Choose a plugin to edit from the menu in the upper right and click the Select button. Click once on any file name to load it in the editor, and make your changes. Don&#8217;t forget to save your changes (Update File) when you&#8217;re finished.","Scegliere un plugin da modificare dal menu in alto a destra e cliccare sul pulsante di selezione. Cliccare una sola volta sul nome del file da modificare per caricarlo nell'editor. Terminate le modifiche, ricordarsi di salvare le modifiche. (Aggiorna file)"
"The Documentation menu below the editor lists the PHP functions recognized in the plugin file. Clicking Lookup takes you to a web page about that particular function.","Il menu Documentazione sotto l'editor elenca le funzioni PHP riconosciute nel file del plugin. Cliccando si otterrà una pagina web che spiega la funzione scelta."
