"New password","Nytt passord"
"New Link Category Name","Namn på den nye lenkekategorien"
"Taxonomies cannot exceed 32 characters in length","Grupperingar kan ikkje ha meir enn 32 teikn"
"Tags","Merkelappar"
"Categories","Kategoriar"
"Tag","Merkelapp"
"Category","Kategori"
"Search Tags","Søk i merkelappar"
"Search Categories","Søk i kategoriar"
"Popular Tags","Populære merkelappar"
"All Tags","Alle merkelappane"
"All Categories","Alle kategoriane"
"Parent Category","Foreldrekategori"
"Parent Category:","Foreldrekategori:"
"Edit Tag","Endra merkelapp"
"Edit Category","Endra kategori"
"View Tag","Sjå på merkelappen"
"View Category","Sjå på kategorien"
"Update Tag","Oppdater merkelapp"
"Update Category","Oppdater kategori"
"Add New Tag","Legg til ny merkelapp"
"Add New Category","Legg til ny kategori"
"New Tag Name","Namn på ny merkelapp"
"New Category Name","Namn på ny kategori"
"Separate tags with commas","Skil merkelappar med komma"
"Add or remove tags","Legg til eller fjern merkelappar"
"Choose from the most used tags","Vel mellom dei mest brukte merkelappane"
"Empty Term","Tomt omgrep"
"A name is required for this term","Omgrepet må ha eit namn"
"A term with the name provided already exists with this parent.","Dette namnet finst alt i denne gruppa."
"Could not insert term into the database","Klarte ikkje setja inn omgrepet i databasen"
"A term with the name provided already exists.","Dette omgrepsnamnet er brukt frå før."
"Could not insert term relationship into the database","Greidde ikkje setja termslektskapen inn i databasen"
"The slug &#8220;%s&#8221; is already in use by another term","Kortadressa «%s» er alt i bruk av eit anna omgrep"
"Invalid object ID","Ugyldig objekt-ID"
"Theme without %s","Bunad utan %s"
"Please include a %s template in your theme.","Ta med ein %s-mal i bunaden din."
"%s - Comments on %s","%s – innspel til %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr lang=\"en\" xml:lang=\"en\" title=\"Really Simple Syndication\">RSS</abbr>-nyheitsstraum med innspel til dette innlegget."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","Adresse for tilbaketråkk til innlegget: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","av %s – %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Ingen innspel enno."
"Leave a comment","Legg att eit innspel"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Automatiske linjeskift og avsnitt, e-postadressa vert aldri vist og følgjande <acronym title=\"Hypertext Markup Language\">HTML</acronym> godteken: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Logga inn som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Logg ut herifrå\">Logg ut &raquo;</a>"
"E-mail","E-post"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","Adresse"
"Your Comment","Innspelet ditt"
"Say It!","Sei det!"
"Sorry, the comment form is closed at this time.","Innlegget er stengt for nye innspel."
"Close this window.","Lukk vindauget."
"Sorry, no posts matched your criteria.","Fann ingen innlegg i samsvar med søket ditt."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Driven med <a href=\"%s\" title=\"Drive av WordPress – eit toppmoderne personleg publiseringsverktøy\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Innlegget er passordverna. Skriv inn passordet for å sjå innspel."
"One Response to %s","Eitt svar til %s"
"%s Responses to %s","%s svar til %s"
"Comments are closed.","Det er ikkje høve til å kommentera dette innlegget."
"Logged in as <a href=\"%s\">%s</a>.","Logga inn som <a href=\"%s\">%s</a>."
"Log out of this account","Logg ut frå kontoen"
"Log out &raquo;","Logg ut &raquo;"
"(required)","(påkravd)"
"Mail (will not be published)","E-post (vert ikkje publisert)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Du kan bruka desse elementa: <code>%s</code>"
"Submit Comment","Send innspel"
"%s is proudly powered by %s","%s er glad for å bruka %s"
"%s and %s.","%s og %s."
"Entries (RSS)","Innlegg (RSS)"
"Comments (RSS)","Innspel (RSS)"
"%d queries. %s seconds.","%d førespurnader. %s sekund."
"You are currently browsing the archives for the %s category.","No ser du på arkiva for «%s»-kategorien."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","No ser du på <a href=\"%s/\">%s</a>-bloggarkiva frå %s."
"l, F jS, Y","D j. F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","No ser du på <a href=\"%s/\">%s</a>-bloggarkiva frå %s."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","No ser du på <a href=\"%s/\">%s</a>-bloggarkiva frå %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Du søkte gjennom <a href=\"%s/\">%s</a>-bloggarkiva etter <strong>%s</strong>. Viss du ikkje finn noko nyttig i desse søkjeresultata, kan du prøva ei av desse lenkjene."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","No ser du på <a href=\"%s/\">%s</a>-arkiva."
"This page validates as XHTML 1.0 Transitional","Denne sida er gyldig XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Gyldig <abbr lang=\"en\" xml:lang=\"en\" title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML-vennenettverk"
"%d WordPress Update","%d WordPress-oppdatering"
"%d Plugin Update","%d innstikkoppdatering"
"%d Plugin Updates","%d innstikkoppdateringar"
"%d Theme Update","%d bunadoppdatering"
"%d Theme Updates","%d bunadoppdateringar"
"<strong>ERROR</strong>: The username field is empty.","<strong>Feil</strong>: Brukarnamnfeltet er tomt."
"<strong>ERROR</strong>: The password field is empty.","<strong>Feil</strong>: Passordfeltet er tomt."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>Feil</strong>: Ugyldig brukarnamn. <a href=\"%s\" title=\"Gløymt passord\">Har du gløymt passordet ditt</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>Feil</strong>: Kontoen er merkt som utsendar av søppel."
"Site Suspended.","Nettstaden er teken ned."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEIL</strong>: Passordet du skreiv inn for brukarnamnet <strong>%s</strong> er feil. <a href=\"%s\" title=\"Gløymte passord\">Har du gløymt passordet ditt?</a>?"
"Please log in again.","Logg inn att."
"Cannot create a user with an empty login name.","Kan ikkje oppretta ein brukar utan brukarnamn."
"There are no options for this widget.","Det finst ingen val for dette småprogrammet."
"Sidebar %d","Sidemeny %d"
"Sidebar","Sidemeny"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Greier ikkje velja databasen</h1>\n<p>Me greidde å kopla til databasetenaren. Det tyder at brukarnamnet og passordet ditt er i orden. Me greidde likevel ikkje å velja <code>%s</code>-databasen.</p>\n<ul>\n<li>Er du sikker på at databasen finst?</li>\n<li>Har databasebrukaren <code>%s</code> løyve til å bruka databasen <code>%s</code>?</li>\n<li>På nokre system har databasenamnet eit prefiks, til vanleg brukarnamnet ditt, slik at namnet blir <code>brukarnamn_%s</code>. Kan det vera problemet?</li>\n</ul>\n<p>Viss du ikkje veit korleis du lagar ein database, bør du <strong>kontakta netverten din</strong>. Går alt anna gale, kan du spørja om hjelp på <a href=\"http://wordpress.org/support/\">WordPress-foruma</a> (engelsk).</p>"
"WordPress database error %s for query %s made by %s","Databasefeil %s for spørjinga %s gjord av %s"
"WordPress database error %s for query %s","Databasefeil %s for spørjinga %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Feil med databasetilkopling</h1>\n<p>Dette kjem anten av at brukarnamnet og passordet i <code>wp-config.php</code>-fila er feil, eller at me ikkje får kontakt med databasetenaren på <code>%s</code>. Dette kan vera fordi databasetenaren til leverandøren er nede.</p>\n<ul>\n\t<li>Er du sikker på at du har rett brukarnamn og passord?</li>\n\t<li>Er du sikker på at du har skrive rett tenarnamn?</li>\n\t<li>Er du sikker på at databasetenaren køyrer?</li>\n</ul>\n<p>Viss du ikkje er sikker på kva desse omgrepa tyder, bør du ta kontakt med leverandøren din. Om du framleis treng hjelp, kan du alltids vitja <a href=\"http://norskwp.no/forum/\">brukarstøtteforumet på norsk</a> eller <a href=\"http://wordpress.org/support/\">engelsk</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>Feil</strong>: WordPress %s krev MySQL %s eller seinare"
"Links for %s","Lenkjer for %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Du har inga <code>wp-config.php</code>-fil. Me treng henne før me kan halda fram."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Treng du meir hjelp? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Sjå her</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Du kan laga ei <code>wp-config.php</code>-fil med nettlesaren din, men det verkar ikkje på alle tenarar. Det tryggaste er å laga fila manuelt."
"Create a Configuration File","Lag ei oppsettsfil"
"Powered by WordPress","Er driven med WordPress"
"Are you lost?","Gått deg vill?"
"&larr; Back to %s","← Tilbake til %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>Feil</strong>: Skriv inn eit brukarnamn eller ei e-postadresse."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>Feil</strong>: Det finst ingen brukarar med denne e-postadressa."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>Feil</strong>: Ugyldig brukarnamn eller e-postadresse."
"Password reset is not allowed for this user","Har ikkje løyve til å nullstilla passordet til denne brukaren"
"Someone requested that the password be reset for the following account:","Nokon ba om at passordet for denne kontoen skulle nullstillast:"
"If this was a mistake, just ignore this email and nothing will happen.","Viss dette er feil, kan du berre sjå bort frå denne eposten, og ingenting vil skje."
"To reset your password, visit the following address:","Gå til denne adressa for å nullstilla passordet ditt:"
"[%s] Password Reset","[%s] Nullstill passord"
"The e-mail could not be sent.","Klarte ikkje senda e-postmeldinga."
"Possible reason: your host may have disabled the mail() function...","Mogleg forklaring: mail()-funksjonen kan vera skrudd av på maskina …"
"Invalid key","Ugyldig nøkkel"
"<strong>ERROR</strong>: Please enter a username.","<strong>Feil</strong>: Du må velja eit brukarnamn."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>FEIL</strong>: Dette brukarnamnet er ugyldig fordi det inneheld teikn som ikkje er godtekne. Skriv inn eit gyldig brukarnamn."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>FEIL</strong>: Dette brukarnamnet er allereie teke i bruk. Vel eit anna."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>Feil</strong>: Skriv inn e-postadressa di."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>Feil</strong>: E-postadressa er ikkje rett."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>Feil</strong>: E-postadressa er allereie registrert. Vel ei anna."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>Feil</strong>: Klarte ikkje registrera deg … Ta kontakt med <a href=\"mailto:%s\">nettansvarleg</a>."
"Sorry, that key does not appear to be valid.","Nøkkelen er ugyldig."
"Lost Password","Gløymt passord"
"Please enter your username or email address. You will receive a link to create a new password via email.","Skriv inn brukarnamnet eller epostadressa di. Då får du ein epost med ei lenkje for å laga eit nytt passord."
"Username or E-mail:","Brukarnamn eller e-postadresse:"
"Get New Password","Hent nytt passord"
"The passwords do not match.","Passorda stemmer ikkje overeins."
"Password Reset","Passordet er nullstilt"
"Your password has been reset.","Passordet ditt er nullstilt."
"Reset Password","Nullstill passordet"
"Enter your new password below.","Skriv inn det nye passordet ditt under."
"Activation Key Required","Krev stadfestingslykjel"
"Activation Key:","Aktiveringslykjel:"
"Activate","Slå på"
"Your account is now active!","No er brukarkontoen din stadfesta!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Brukarkontoen din er klargjort. No kan du <a href=\"%s\">logga inn</a> på nettstaden med brukarnamnet ditt, &#8220;%s&#8221;. Sjekk epost-innboksen din på %s for passord og framgangsmåte for å logga inn. Viss du ikkje får nokon epost, bør du sjekka søpel- eller spam-mappa di. Viss du framleis ikkje har fått noko innan ein time, kan du prøva å <a href=\"%s\">nullstilla passordet ditt</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Nettstaden din på <a href=\"%s\">%s</a> er klargjort. No kan du logga inn på nettstaden med brukarnamnet ditt, &#8220;%s&#8221;. Sjekk epost-innboksen din på %s for passord og framgangsmåte for å logga inn. Viss du ikkje får nokon epost, bør du sjekka søpel- eller spam-mappa di. Viss du framleis ikkje har fått noko innan ein time, kan du prøva å <a href=\"%s\">nullstilla passordet ditt</a>."
"An error occurred during the activation","Noko gjekk gale med stadfestinga"
"Username:","Brukarnamn:"
"Password:","Passord:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Kontoen din er no aktiv. <a href=\"%s\">Sjå på nettstaden din</a> eller <a href=\"%s\">logg inn</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Brukarkontoen din er no aktiv. <a href=\"%s\">Logg inn</a> eller gå tilbake til <a href=\"%s\">heimesida</a>."
"Sorry, comments are closed for this item.","Innspel er diverre ikkje opne for dette innlegget."
"Sorry, you must be logged in to post a comment.","Du må nok vere innlogga for å kunne gje innspel."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>FEIL</strong>: skriv inn dei obligatoriske opplysningane (namn og epost)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>FEIL</strong>: skriv inn ei gyldig epostadresse."
"<strong>ERROR</strong>: please type a comment.","<strong>FEIL</strong>: tast inn eit innspel."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s krev WordPress 3.0 eller nyare."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Ver god å <a href=\"%s\">oppgradera WordPress</a> til siste utgåva, eller <a href=\"%s\">nedgrader Akismet-innstikket til versjon 2.4</a>."
"Comment History","Innspelhistorikk"
"Settings","Innstillingar"
"Cheatin&#8217; uh?","Juksar me?"
"Your key has been cleared.","Nykelen din er sletta."
"Your key has been verified. Happy blogging!","Nykelen din er godkjent. God blogging!"
"The key you entered is invalid. Please double-check it.","Nykelen din er ikkje godkjent. Sjekk om du har rett nykel."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Nykelen din kunne ikkje verte godkjent av di me kunne ikkje kople oss til akismet.com. Sjekk tenarinnstillingane dine."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Kunne ikkje kople til Akismet-tenaren. Sjekk tenarinnstillingane dine."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Skriv inn ein API-nykel. (<a href=\"%s\" style=\"color:#fff\">Skaff deg ein nykel.</a>)"
"This key is valid.","Dette er ein gyldig nykel."
"This key is invalid.","Denne lykjelen er ugyldig."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Nykelen under vart tidlegare godkjent men me kan ikkje kople til akismet.com no. Sjekk tenarinnstillingane dine."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","WordPress-heimadressa %s er ugyldig.  Du må retta opp <a href=\"%s\">heim-innstillinga</a>."
"Options saved.","Val lagra."
"Akismet Configuration","Akismet-oppsett"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Sette opp kontoen!</strong> Sjekk eposten din for å sjå om du har fått Akismet API-lykjelen, og skriv han inn under."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","<a href=\"%s\">Akismet</a> hjelper dei fleste med å få mindre bloggsøpel, og kan ofte fjerna det heilt. Viss det likevel skulle råka til at ei søpel-lenkje eller eit innspel slepper gjennom nettet, kan du berre merka innspelet som \"søpel\" på styringspanelet. Akismet lærer av feila sine. Viss du ikkje har ein API-lykjel, kan du få ein på <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","API-lykjel for Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Kva er dette?</a>"
"Why might my key be invalid?","Kvifor kan nykelen min vere ugyldig?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Dette kan tyda ein av to ting. Anten har du kopiert nykelen feil, eller så kan ikkje innstikket kople seg til Akismet-tenarane. Det siste har ofte med vevtenaren din og brannmurar å gjere."
"Auto-delete spam submitted on posts more than a month old.","Autoslett søpelinnspel til innlegg som er eldre enn ein månad."
"Show the number of comments you've approved beside each comment author.","Vis kor mange innspel du har godkjent ved sidan av kvar skribent."
"Update options &raquo;","Oppdater val &raquo;"
"Server Connectivity","Tenarkoplingar"
"Network functions are disabled.","Nettverksfunksjonane er slegne av."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Nettverten eller tenarstyraren din har slege av <code>fsockopen</code> eller <code>gethostbynamel</code>-funksjonane.  <strong>Akismet fungerer ikkje før dette er ordna.</strong>  Ta kontakt med nettverten eller brannmurstyraren din, og gje dei <a href=\"%s\" target=\"_blank\">desse opplysningane om systemkrava åt Akismet.</a>."
"Unable to reach some Akismet servers.","Fekk ikkje kontakt med nokre av Akismet-tenarane"
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Det er eit nettverks- eller brannmurproblem som stoppar tilkoplingar frå vevtenaren din til Akismet.com. Akismet verkar, men dette kan føra til problem når nettverket er treigt. Ver god å ta kontakt med nettverten eller brannmuradministratoren og gje dei <a href=\"%s\" target=\"_blank\">denne informasjonen om Akismet og brannmurar</a>."
"Unable to reach any Akismet servers.","Greidde ikkje kontakta Akismet-tenarane."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Eit nettverks- eller brannmurproblem stoppar alle tilkoplingar frå vevtenaren din til Akismet.com. <strong>Akiskmet verkar ikkje før dette er ordna.</strong> Ver god å kontakta nettverten eller brannmuradministratoren din, og gje dei <a href=\"%s\" target=\"_blank\">denne informasjonen om Akismet og brannmurar</a>."
"All Akismet servers are available.","Alle Akismet-tenarane er tilgjengelege."
"Akismet is working correctly.  All servers are accessible.","Akismet verkar. Alle tenarane er tilgjengelege."
"Unable to find Akismet servers.","Fann ingen Akismet-tenarar."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Eit DNS-problem eller ein brannmur stoppar all tilgang frå vevtenaren din til Akismet.com. <strong>Akismet verkar ikkje før dette er ordna.</strong> Kontakt nettverten eller brannmuradministratoren din, og gje dei <a href=\"%s\" target=\"_blank\">denne informasjonen om Akismet og brannmurar</a>."
"Akismet server","Akismet-tenar"
"Network Status","Nettverksstatus"
"Accessible","Tilgjengeleg"
"Re-trying","Prøver på nytt"
"Last checked %s ago.","Vart sist sjekka for %s sidan."
"Check network status &raquo;","Nettverksstatus &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klikk her</a> for å stadfesta at <a href=\"%s\" target=\"_blank\">Akismet.com er oppe</a>."
"Spam","Søppelnettstad"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> har verna sida di frå <a href=\"%s\">%s søppelinnspel</a>."
"Akismet is almost ready.","Akismet er nesten klar."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Du må <a href=\"%s\">skriva inn API-lykjelen for Akismet</a> for at det skal verka."
"Akismet has detected a problem.","Akismet har oppdaga eit problem."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Nokre innspel er ikkje sjekka for søpelinnhald av Akismet enno. Dei ligg i kø til så lenge. Sjekk <a href=\"%s\">Akismet-oppsettet ditt</a> og kontakt nettansvarleg viss problemet varar ved."
"Awaiting spam check","Ventar på søpelsjekk"
"Flagged as spam by Akismet","Akismet sa at dette var søpel"
"Cleared by Akismet","Godkjent av Akismet"
"Flagged as spam by %s","Merka som søpelinnspel av %s"
"Un-spammed by %s","%s sa at det ikkje er søpel"
"View comment history","Sjå på innspelhistorikken"
"History","Historikk"
"%s approved","%s godkjende"
"%s ago","%s sidan"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> har allereie verna nettstaden din frå %s søppelinnspel. "
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> har allereie verna nettstaden din frå %s søppelinnspel. "
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> hindrar søpelinnspel på bloggen din."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Det er <a href=\"%s\">%s innspel</a> i søppelkøen nett no."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Det er <a href=\"%s\">%s innspel</a> i søppelkøen nett no."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Det er ingenting i <a href='%s'>søpelkøen</a> nett no."
"Check for Spam","Sjekk for søppel"
"%s reported this comment as not spam","%s sa at dette innspelet ikkje var søpel"
"%s reported this comment as spam","%s sa at dette innspelet er søpel"
"%s changed the comment status to %s","%s endra innspelet til %s"
"Akismet re-checked and caught this comment as spam","Akismet sjekka på nytt, og fann ut at dette innspelet var søpel"
"Akismet re-checked and cleared this comment","Akismet sjekka på nytt, og reinvaska dette innspelet"
"Akismet was unable to re-check this comment (response: %s)","Akismet greidde ikkje sjekka dette innspelet på nytt (innspel: %s)"
"Akismet Stats","Statistikk for Akismet"
"Akismet caught this comment as spam","Akismet sa at dette innspelet er søpel"
"Comment status was changed to %s","Innspelet vart endra til %s"
"Akismet cleared this comment","Akismet reinvaska dette innspelet"
"Comment was caught by wp_blacklist_check","Innspelet vart fanga opp av wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet greidde ikkje sjekka dette innspelet (svar: %s), prøver omatt seinare."
"Akismet caught this comment as spam during an automatic retry.","Akismet fann ut at dette innspelet var søpel etter å ha prøvd omatt."
"Akismet cleared this comment during an automatic retry.","Akismet reinvaska dette innspelet etter å ha prøvd omatt."
"Akismet Spam (%s)","Akismet søppelinnspel (%s)"
"Akismet Spam","Akismet søppelinnspel"
"You do not have sufficient permission to moderate comments.","Du har ikkje tilgang til å moderere innspel."
"%s comments recovered.","%s innspel gjenoppretta."
"All spam deleted.","Alle søppelinnspela vart fjerna."
"Caught Spam","Oppfanga søppelinnspel"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet har fanga opp <strong>%s søppelinnspel</strong> for deg sidan du installerte det."
"You have no spam currently in the queue. Must be your lucky day. :)","Du har ingen søppelinnspel i køen. Din heldiggris. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Du kan slette alle søppelinnspela frå databasen din med eit einaste klikk. Denne handlinga kan du ikkje angre, så pass på at det berre er søppel som er fanga opp. Søppelinnspel vert automatisk fjerna etter 15 dagar, så det er ingen grunn til å engste seg."
"There are currently %s comments identified as spam.","Det er for tida %s innspel merka som søppel."
"Delete all","Slett alle"
"Search","Søk"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Dette er dei seinaste innspela markerte som søppel av Akismet. Viss du ser nokre feil kan du enkelt og greit merkje innspelet som \"ikkje søppel\" og så vil Akismet lære av det. Viss du ynskjer å gjenopprette eit innspel frå søppelkassa berre vel du innspelet og klikkar Ikkje søppel. Etter 15 dagar ryddar me ut søpla for deg."
"All","Alle"
"Comments","Innspel"
"Search Spam &raquo;","Søk i søppelet &raquo;"
"&laquo; Previous Page","&laquo; Førre side"
"Next Page &raquo;","Neste side &raquo;"
"Not Spam","Ikkje søpel"
"View Post","Sjå innlegg"
"De-spam marked comments &raquo;","Gjenopprett innspel merka som søppel &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Innspel du gjenopprettar vil verte sendt til Akismet som tabbar, slik at programmet kan lære av det og verte betre."
"Recheck Queue for Spam","Sjekk køen for søppel"
"Akismet Widget","Akismet-småprogram"
"Display the number of spam comments Akismet has caught","Vis kor mange søpelinnspel Akismet har fanga opp"
"Spam Blocked","Søpelet er blokkert"
"Title:","Tittel:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s søpelinnspel</strong> stoppa av <strong>Akismet</strong>"
"About WordPress","Om WordPress"
"http://wordpress.org/","http://nn.wordpress.org/"
"Documentation","Dokumentasjon"
"Support Forums","Hjelpeforum"
"Feedback","Tilbakemeldingar"
"Howdy, %s","Hei sann, %s"
"My Account","Kontoen min"
"Edit My Profile","Endra brukarprofilen min"
"Log Out","Logg ut"
