"New password","Nueva contraseña"
"Image <span class=\"count\">(%s)</span>","Imagen <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Imágenes <span class=\"count\">(%s)</span>"
"Manage Audio","Administrar audio"
"Audio <span class=\"count\">(%s)</span>","Audios <span class=\"count\">(%s)</span>"
"Video","Vídeo"
"Manage Video","Administrar vídeo"
"Video <span class=\"count\">(%s)</span>","Vídeos <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Pasar un número entero de entradas es obsoleto. Pasa una matriz de argumentos en su lugar."
"Content, title, and excerpt are empty.","Contenido, título y extracto están vacios."
"Whoops, the provided date is invalid.","¡Vaya! la fecha que has dado no es válida."
"Could not update post in the database","No ha sido posible actualizar la entrada en la base de datos"
"Could not insert post into the database","No ha sido posible insertar la entrada en la base de datos"
"The page template is invalid.","La plantilla de la página no es válida."
"Content","Contenido"
"Excerpt","Extracto"
"Cannot create a revision of a revision","No se puede crear una revisión de una revisión"
"You do not have permission to preview drafts.","No tienes autorización para previsualizar borradores."
"Standard","Estándar"
"Aside","Minientrada"
"Gallery","Galería"
"Link","Enlace"
"Image","Imagen"
"Status","Estado"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Las etiquetas de las consultas condicionales no funcionan antes de ejecutar la consulta. Haciéndolo antes, siempre devuelven falso."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" está obsoleto. Utilice \"ignore_sticky_posts\" en su lugar."
"This file no longer needs to be included.","Ya no es necesario incluir este archivo."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Estás a punto de borrar permanentemente los elementos seleccionados. \n  'Aceptar' para borrar, 'Cancelar' para salir."
"Enter a word to look up:","Introduce una palabra a buscar:"
"Dictionary lookup","Buscar en el diccionario"
"lookup","buscar"
"Close all open tags","Cerrar todas las etiquetas abiertas"
"close tags","cerrar etiquetas"
"Enter the URL","Introduce la URL"
"Enter the URL of the image","Introduce la URL de la imagen"
"Enter a description of the image","Introduce una descripción de la imagen"
"fullscreen","pantalla completa"
"Toggle fullscreen mode","Cambiar a modo pantalla completa"
"text direction","Dirección del texto"
"Toggle Editor Text Direction","Cambiar la dirección del editor de texto"
"You do not have permission to do that.","No tienes autorización para hacer eso."
"An unidentified error has occurred.","Ha ocurrido un error no identificado."
"Dismiss","Omitir"
"Next &gt;","Siguiente &gt;"
"&lt; Prev","&lt; Anterior"
"of","de"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Esta función requiere de frames insertados. Tienes los iframes desactivados o tu navegador no los soporta."
"not configured","sin configurar"
"You have attempted to queue too many files.","Has intentado poner en cola demasiados archivos."
"%s exceeds the maximum upload size for this site.","El tamaño del archivo %s excede el tamaño permitido en este sitio."
"This file is empty. Please try another.","Este archivo está vacio. Por favor, prueba con otro."
"This file type is not allowed. Please try another.","Este tipo de archivo no está permitido. Por favor, prueba con otro."
"This file is not an image. Please try another.","Este archivo no es una imagen. Por favor, prueba con otro."
"Memory exceeded. Please try another smaller file.","Memoria excedida. Por favor, prueba con otro archivo más pequeño."
"This is larger than the maximum size. Please try another.","Supera el tamaño permitido. Por favor, prueba con otro."
"An error occurred in the upload. Please try again later.","Ha habido un error en la subida. Por favor inténtalo más tarde."
"There was a configuration error. Please contact the server administrator.","Ha habido un problema con la configuración. Por favor, contacta con el  administrador del servidor."
"You may only upload 1 file.","Sólo puedes subir 1 archivo."
"HTTP error.","Error HTTP."
"Upload failed.","Falló la subida."
"Please try uploading this file with the %sbrowser uploader%s.","Por favor, intenta subir este archivo a través del %snavegador%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s excede el tamaño máximo de subida de la herramienta de subida múltiple de archivos del navegador."
"IO error.","Error de entrada/salida."
"Security error.","Error de seguridad."
"File canceled.","Archivo cancelado."
"Upload stopped.","Subida detenida."
"Crunching&hellip;","Calculando&hellip;"
"moved to the trash.","movidos a la papelera."
"&#8220;%s&#8221; has failed to upload.","Ha habido un error al subir &#8220;%s&#8221;"
"Strength indicator","Seguridad de la contraseña"
"Very weak","Muy débil"
"Weak","Débil"
"Strong","Fuerte"
"Mismatch","No coinciden"
"(no title)","(sin título)"
"No matches found.","No se han encontrado coincidencias."
"Save &amp; Activate","Guardar y activar"
"Save &amp; Publish","Guardar y publicar"
"Saved","Guardado"
"Add","Añadir"
"Separate multiple categories with commas.","Separa múltiples categorías con comas."
"Approve and Reply","Aprobar y responder"
"OK","Aceptar"
"Publish on:","Publicar el:"
"Schedule for:","Programar para el:"
"Published on:","Publicada el:"
"Show more comments","Mostrar más comentarios"
"No more comments found.","No hay más comentarios."
"Publish","Publicar"
"Schedule","Programar"
"Save as Pending","Guardar como pendiente"
"Save Draft","Guardar borrador"
"Public","Público"
"Public, Sticky","Pública, destacada"
"Password Protected","Protegida con contraseña"
"Privately Published","Publicada como privada"
"Submitted on:","Enviado el:"
"Error while saving the changes.","Error al guardar los cambios."
"Remove From Bulk Edit","Borrar desde la edición en bloque"
"Plugin Information:","Información del plugin:"
"Are you sure you want to install this plugin?","¿Estás seguro de querer instalar este plugin?"
"Select Color","Elige un color"
"Current Color","Color actual"
"Could not load the preview image. Please reload the page and try again.","No se puede cargar la previsualización de la imagen. Por favor, recarga la página y prueba de nuevo."
"Use as featured image","Usar como imagen destacada"
"Saving...","Guardando..."
"Could not set that as the thumbnail image. Try a different attachment.","No se pudo establecer como imagen de miniatura. Prueba con otro adjunto."
"Done","Hecho"
"No results found.","Sin resultados."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Estás a punto de eliminar permanentemente este menú. \n'Cancelar' para parar, 'OK' para eliminar."
"Saving Draft&#8230;","Guardando borrador&#8230;"
"Navigation Menus","Menús de navegación"
"Navigation Menu","Menú de Navegación"
"Link Categories","Categorías de enlaces"
"Link Category","Categoría de enlaces"
"Search Link Categories","Buscar categorías de enlaces"
"All Link Categories","Todas las categorías de enlaces"
"Edit Link Category","Editar categoría del enlace"
"Update Link Category","Actualizar categoría de enlaces"
"Add New Link Category","Añadir nueva categoría de enlaces"
"New Link Category Name","Nuevo nombre de categoría de enlaces"
"Taxonomies cannot exceed 32 characters in length","Las taxonomías no pueden tener más de 32 caracteres."
"Tags","Etiquetas"
"Categories","Categorías"
"Tag","Etiqueta"
"Category","Categoría"
"Search Tags","Buscar etiquetas"
"Search Categories","Buscar categorías"
"Popular Tags","Etiquetas populares"
"All Tags","Todas las etiquetas"
"All Categories","Todas las categorías"
"Parent Category","Categoría superior"
"Parent Category:","Categoría superior:"
"Edit Tag","Editar etiqueta"
"Edit Category","Editar Categoría"
"View Tag","Ver etiqueta"
"View Category","Ver categoría"
"Update Tag","Etiqueta actualizada"
"Update Category","Actualizar categoría"
"Add New Tag","Añadir nueva etiqueta"
"Add New Category","Añadir nueva categoría"
"New Tag Name","Nombre de la nueva etiqueta"
"New Category Name","Nombre de la nueva categoría"
"Separate tags with commas","Separa las etiquetas con comas."
"Add or remove tags","Añadir o quitar etiquetas"
"Choose from the most used tags","Elige entre las etiquetas más utilizadas"
"Empty Term","Término vacío"
"A name is required for this term","Este término necesita un nombre."
"A term with the name provided already exists with this parent.","Un término con el nombre dado ya existe en este nivel."
"Could not insert term into the database","No ha sido posible insertar el término en la base de datos."
"A term with the name provided already exists.","Ya existe un término igual al facilitado."
"Could not insert term relationship into the database","No se ha podido insertar la relación entre términos en la base de datos"
"The slug &#8220;%s&#8221; is already in use by another term","El slug &#8220;%s&#8221; lo está utilizando ya otro término."
"Invalid object ID","El ID del objeto no es válido"
"Theme without %s","Tema sin %s"
"Please include a %s template in your theme.","Por favor, incluye la plantilla %s en tu tema"
"%s - Comments on %s","%s - Comentarios en %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> feed para los comentarios de esta entrada."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","La <abbr title=\"Universal Resource Locator\">URL</abbr> para realizar un  TrackBack a esta entrada es: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","por %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Aún no hay comentarios."
"Leave a comment","Deja un comentario"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Las líneas y párrafos saltan automáticamente, nunca se mostrarán los correos electrónicos. <acronym title=\"Hypertext Markup Language\">HTML</acronym>permitido: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Identificado como <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Salir de esta cuenta\">Salir &raquo;</a>"
"E-mail","Correo electrónico"
"Your Comment","Tu comentario"
"Say It!","Enviar"
"Sorry, the comment form is closed at this time.","Lo siento, el formulario de comentarios está cerrado en este momento."
"Close this window.","Cerrar esta ventana."
"Sorry, no posts matched your criteria.","Lo siento, no hay nada que se ajuste a lo que buscas."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Gestionado con <a href=\"%s\" title=\"Gestionado con WordPress, una avanzada plataforma semántica de publicación personal\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Esta entrada está protegida. Para verla, escribe la contraseña:"
"One Response to %s","Una Respuesta a %s"
"%s Responses to %s","%s Respuestas a %s"
"Comments are closed.","Los comentarios están cerrados."
"Logged in as <a href=\"%s\">%s</a>.","Identificado como <a href=\"%s\">%s</a>."
"Log out of this account","Salir de esta cuenta"
"Log out &raquo;","Salir &raquo;"
"(required)","(requerido)"
"Mail (will not be published)","Correo electrónico (no será publicado)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Puedes usar estas etiquetas: <code>%s</code>"
"Submit Comment","Enviar comentario"
"%s is proudly powered by %s","%s funciona gracias a %s"
"%s and %s.","%s y %s."
"Entries (RSS)","Artículos (RSS)"
"Comments (RSS)","Comentarios (RSS)"
"%d queries. %s seconds.","%d consultas. %s segundos."
"You are currently browsing the archives for the %s category.","Actualmente estás navegando por el archivo de la categoría %s"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Actualmente estás navegando por el archivo del sitio <a href=\"%s/\">%s</a> del día %s."
"l, F jS, Y","j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Actualmente estás viendo el archivo del sitio <a href=\"%s/\">%s</a> de %s."
"F, Y","j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Actualmente estás viendo el archivo del sitio <a href=\"%s/\">%s</a> del año %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Has buscado en el archivo del sitio <a href=\"%s/\">%s</a> el término <strong>&#8216;%s&#8217;</strong>. Si no te es posible encontrar nada en los resultados, puedes probar uno de estos enlaces."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Estás navegando por el archivo de  <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Esta página valida como XHTML 1.0 transicional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Valida <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","Red de amigos de XHTML"
"%d WordPress Update","%d Actualización WordPress"
"%d Plugin Update","%d Actualización plugin"
"%d Plugin Updates","%d Actualizaciones plugins"
"%d Theme Update","%d Actualización tema"
"%d Theme Updates","%d Actualizaciones temas"
"<strong>ERROR</strong>: The username field is empty.","<strong>ERROR</strong>: El campo Nombre de usuario está vacío."
"<strong>ERROR</strong>: The password field is empty.","<strong>ERROR</strong>: El campo contraseña está vacío."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERROR</strong>: El usuario es incorrecto. ¿<a href=\"%s\" title=\"Contraseña perdida u olvidada\">La has olvidado</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>ERROR</strong>: Tu cuenta ha sido marcada como spammer."
"Site Suspended.","Sitio suspendido."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERROR</strong>: La contraseña que introdujo para el usuario  <strong>%s</strong> no es correcta. <a href=\"%s\" title=\"Contraseña perdida y encontrada\">Has perdido tu contraseña</a>?"
"Please log in again.","Por favor, accede de nuevo."
"Cannot create a user with an empty login name.","No se puede crear un usuario con el nombre de identificación vacio."
"There are no options for this widget.","No hay opciones para este widget."
"Sidebar %d","Barra lateral %d"
"Sidebar","Barra lateral"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>No se pudo elegir base de datos</h1>\n<p>Hemos podido conectar con el servidor de la bases de datos (lo que significa que tu nombre de usuario y la contraseña están correctos) pero no se pudo elegir la base de datos <code>%s</code>.</p>\n<ul>\n<li>¿Estás seguro que existe?</li>\n<li>¿El usuario <code>%s</code> tiene permiso para utilizar la base de datos <code>%s1$</code>?</li>\n<li>En algunos sistemas el nombre de la base de datos es el prefijo con el nombre de usuario, que sería como <code>username_%s</code>. ¿Podría ser ésto el problema?</li>\n</ul>\n<p>Si no sabes cómo configurar una base de datos debes ponerte en contacto con el <strong>administrador de su hosting</strong>. Si todo lo demás falla puedes encontrar ayuda en los <a href=\"http://es.forums.wordpress.org/\">Foros de Soporte de WordPress</a>.</p>"
"WordPress database error %s for query %s made by %s","Error %s de la base de datos de WordPress para la consulta %s realizada por %s"
"WordPress database error %s for query %s","Error %s de la base de datos de WordPress para la consulta %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Error de conexión con la base de datos</h1>\n<p>Esto puede deberse a que los datos de usuario y contraseña de tu <code>wp-config.php</code> son incorrectos o a que no es posible contactar con el servidor de base de datos en <code>%s</code>, lo que podría significar que el servidor de bases de datos de tu host está inactivo.</p>\n<ul>\n\t<li>¿Estás seguro de que el nombre de usuario y la contraseña son correctos?</li>\n\t<li>¿Estás seguro de que el nombre del host es correcto?</li>\n\t<li>¿Estás seguro de que el servidor de bases de datos está activo?</li>\n</ul>\n<p>Si no tienes muy claro lo que significan los términos anteriores, ponte en contacto con tu proveedor de alojamiento. Si necesitas más ayuda, puedes visitar los <a href='http://es.forums.wordpress.org/'>Foros de ayuda de WordPress</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>ERROR</strong>: WordPress %s necesita MySQL %s o superior."
"Links for %s","Enlaces para %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Parece que el archivo <code>wp-config.php</code> no existe. Lo necesito antes de que podamos empezar."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","¿Necesitas más ayuda? <a href='http://codex.wordpress.org/Editing_wp-config.php'>La tenemos</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Puedes crear un archivo <code>wp-config.php</code> a través de la interface web pero esto no funciona para todos las configuraciones de servidores. La manera más segura es la de crear manualmente el archivo."
"Create a Configuration File","Crear un archivo de configuración"
"Powered by WordPress","Funciona gracias a WordPress"
"Are you lost?","¿Te has perdido?"
"&larr; Back to %s","&laquo; Volver a %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>ERROR</strong>: escribe un nombre de usuario o correo electrónico."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>ERROR</strong>: no hay ningún usuario registrado con esa dirección de correo electrónico."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>ERROR</strong>: el nombre de usuario o el correo electrónico no son correctos."
"Password reset is not allowed for this user","El restablecimiento de contraseña no está permitido para este usuario"
"Someone requested that the password be reset for the following account:","Alguien ha solicitado que sea restaurada la contraseña de la siguiente cuenta:"
"If this was a mistake, just ignore this email and nothing will happen.","Si ha sido un error, ignora este correo y no pasará nada."
"To reset your password, visit the following address:","Para restaurar la contraseña, visita la siguiente dirección:"
"[%s] Password Reset","[%s] Restablecer contraseña"
"The e-mail could not be sent.","No se pudo enviar el correo electrónico"
"Possible reason: your host may have disabled the mail() function...","Posible razón: el servidor puede tener deshabilitada la función mail()..."
"Invalid key","Clave no válida."
"<strong>ERROR</strong>: Please enter a username.","<strong>ERROR</strong>: Por favor, introduce un nombre de usuario."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>ERROR</strong>: Este nombre de usuario no es válido, ya que usa caracteres no permitidos. Por favor, introduce un nombre de usuario válido."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>ERROR</strong>: Este usuario ya está registrado. Por favor elige otro."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>ERROR</strong>: Por favor, escribe tu correo electrónico."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>ERROR</strong>: La dirección de correo electrónico no es correcta."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>ERROR</strong>: Esa dirección de correo electrónico ya está registrada. Por favor, elige otra."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>ERROR</strong>: No es posible registrarte... por favor, ponte en contacto con el <a href=\"mailto:%s\">administrador</a>"
"Sorry, that key does not appear to be valid.","Disculpa, la contraseña no es válida."
"Lost Password","Contraseña perdida"
"Please enter your username or email address. You will receive a link to create a new password via email.","Por favor, escribe tu nombre de usuario o tu correo electrónico. Recibirás un enlace para crear la contraseña nueva por correo electrónico."
"Username or E-mail:","Nombre de usuario o correo electrónico:"
"Get New Password","Obtener una contraseña nueva"
"The passwords do not match.","Las contraseñas no coinciden."
"Password Reset","Contraseña restaurada"
"Your password has been reset.","Tu contraseña ha sido restaurada."
"Reset Password","Restaurar contraseña"
"Enter your new password below.","Introduce tu nueva contraseña abajo."
"Activation Key Required","Requiere clave de activación"
"Activation Key:","Clave de activación:"
"Activate","Activar"
"Your account is now active!","¡Tu cuenta ahora está activada!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Tu cuenta ha sido activada. Ahora puedes <a href=\"%s\">acceder</a> al sitio usando el usuario  &#8220;%s&#8221; que has elegido. Por favor, revisa tu correo electrónico para conocer %s la contraseña y las instrucciones de acceso. Si no recibes el correo, por favor revisa la carpeta de correo basura y en la de spam. Si en una hora no recibes el correo, puedes <a href=\"%s\">reiniciar tu contraseña</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Tu sitio en <a href=\"%s\">%s</a> está activo. Puedes entrar en tu sitio usando el usuario  &#8220;%s&#8221;. Por favor, comprueba en tu correo electrónico %s la contraseña y las instrucciones de acceso. Si no recibes el correo mira en la papelera o en la carpeta de spam. Si no recibes el correo en una hora puedes <a href=\"%s\">reiniciar tu contraseña</a>."
"An error occurred during the activation","Ha habido un error en la activación"
"Username:","Nombre de usuario:"
"Password:","Contraseña:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Tu cuenta se ha activado. <a href=\"%s\">Visualiza tu sitio</a> o <a href=\"%s\">Accede</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Tu cuenta se ha activado. <a href=\"%s\">Accede</a> o vuelve a la <a href=\"%s\">página de inicio</a>."
"Sorry, comments are closed for this item.","Disculpa, los comentarios están cerrados."
"Sorry, you must be logged in to post a comment.","Disculpa, debes identificarte para escribir un comentario."
"<strong>ERROR</strong>: please fill the required fields (name, email).","Error: por favor, completa los campos requeridos (nombre, correo electrónico)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ERROR</strong>: Por favor, introduce un correo electrónico válido."
"<strong>ERROR</strong>: please type a comment.","<strong>ERROR</strong>: Por favor, introduce un comentario."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s necesita WordPress 3.0 o superior para funcionar."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Por favor, <a href=\"%s\">actualiza WordPress</a> a la versión actual, o <a href=\"%s\">vuelve a la version 2.4 el plugin de Akismet</a>"
"Comment History","Historial de comentarios"
"Settings","Ajustes"
"Cheatin&#8217; uh?","¡Haciendo trampas! ¿eh?"
"Your key has been cleared.","Tu clave ha sido eliminada."
"Your key has been verified. Happy blogging!","Tu clave ha sido verificada. ¡Disfruta tu sitio!"
"The key you entered is invalid. Please double-check it.","La clave que has introducido no es válida. Por favor compruébala."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","La clave que has introducido no se ha podido verificar porque no se ha podido realizar la conexión con akismet.com. Por favor, comprueba la configuración de tu servidor."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Hubo un problema al conectar con el servidor de Akismet. Por favor, comprueba la configuración de tu servidor."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Por favor introduce una clave de API. (<a href=\"%s\" style=\"color:#fff\">Consigue tu clave.</a>)"
"This key is valid.","La clave es válida."
"This key is invalid.","Esta clave no es válida."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","La clave mostrada fue validada anteriormente pero no se puede realizar una conexión con akismet.com en este momento. Por favor, comprueba la configuración de tu servidor."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","La URL de la página de inicio de tu WordPress %s no es válida. Por favor, arregla <a href=\"%s\">la opción de página de inicio</a>."
"Options saved.","Opciones guardadas."
"Akismet Configuration","Configuración de Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>¡Regístro completado!</strong> Por favor, consulta en tu correo electrónico tu clave de API de Akismet y añádela debajo."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","En la mayoría de los casos, <a href=\"%s\">Akismet</a> reduce enormemente (o incluso elimina) el spam en los comentarios y trackbacks de tu sitio. Si se cuela alguno simplemente debes marcar como spam en la pantalla de moderación y Akismet aprenderá de sus errores. SI todavía no tienes una clave de API puedes obtener una en <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Clave de API de Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">¿Qué es eso?</a>"
"Why might my key be invalid?","¿Por qué no es válida mi clave?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Esto puede significar una de estas dos cosas: que has copiado mal la clave o que el plugin no es capaz de encontrar los servidores de Akismet, que a menudo suele ocurrir por un problema con tu alojamiento web con los cortafuegos o algo similar."
"Auto-delete spam submitted on posts more than a month old.","Autoborrado de spam realizado para entradas con más de un mes de antiguedad."
"Show the number of comments you've approved beside each comment author.","Mostrar el número de comentarios que has aprobado junto al autor de cada comentario."
"Update options &raquo;","Actualizar opciones &raquo;"
"Server Connectivity","Conectividad del servidor"
"Network functions are disabled.","Las funciones de red están desactivadas."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Tu servidor tiene desactivada la función <code>fsockopen</code> o la función <code>gethostbynamel</code> de PHP. <strong>Akismet no puede funcionar correctamente si esto está desactivado.</strong> Por favor, ponte en contacto con tu proveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre los requisitos de Akismet</a>."
"Unable to reach some Akismet servers.","No se puede acceder a ningún servidor de Akismet."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema en la red o en el firewall está bloqueando algunas conexiones de su servidor web para Akismet.com. Akismet está funcionando pero esto te puede causar problemas cuando la red esté saturada. Por favor, ponte en contacto con tuproveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre este problema</a>."
"Unable to reach any Akismet servers.","No se puede acceder a ningún servidor de Akismet."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema en la red o en el firewall está bloqueando algunas conexiones de tu servidor web para Akismet.com. <strong>Akismet no está funcionando correctamente.</strong> Por favor, ponte en contacto con tu proveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre este problema</a>."
"All Akismet servers are available.","Todos los servidores Akismet están disponibles."
"Akismet is working correctly.  All servers are accessible.","Akismet está funcionando correctamente. Se puede acceder a todos los servidores."
"Unable to find Akismet servers.","No se pudieron encontrar los servidores de Akismet."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema de DNS o en el firewall impide el acceso de su servidor a Akismet.com. <strong>Akismet no puede funcionar correctamente con este problema.</strong> Por favor, ponte en contacto con tu proveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre este problema</a>."
"Akismet server","Servidor Akismet"
"Network Status","Estado de la red"
"Accessible","Accesible"
"Re-trying","Intentándolo de nuevo"
"Last checked %s ago.","Última consulta hace %s."
"Check network status &raquo;","Comprueba el estado de la red &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Haz click aquí</a> para confirmar que <a href=\"%s\" target=\"_blank\">Akismet.com está funcionando</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> ha protegido tu sitio de <a href=\"%s\">%s comentarios de spam</a>."
"Akismet is almost ready.","Akismet casi está preparado."
