"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Podczas pracy z edytorem korzystać można z podstawowych skrótów klawiaturowych, takich jak w innych edytorach tekstu, na przykład: Shift+Enter wstawia nową linię, Ctrl+C kopiuje, Ctrl+X wycina, Ctrl+Z cofa ostatnie zmiany, Ctrl+Y wprowadza cofnięte zmiany ponownie, Ctrl+A zaznacza wszystko itd. (jeżeli korzystasz z Maca, zamiast klawisza Ctrl użyj klawisza Command). Lista wszystkich skrótów dostępna jest w karcie &#8222;Skróty klawiaturowe&#8221;."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Jeśli nie podoba Ci się sposób działania edytora wizualnego możesz go wyłączyć, korzystając z podmenu &#8222;Twój profil&#8221; znajdującego się w menu &#8222;Użytkownicy&#8221; panelu administracyjnego."
"Advanced Rich Editing","Zaawansowane użytkowanie edytora wizualnego"
"Images and Attachments","Obrazki i załączniki"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Na pasku narzędzi edytora znajduje się przycisk, pozwalający na wstawianie obrazków, które znajdują się już gdzieś w Internecie. Jeżeli posiadasz adres URL takiego obrazka, kliknij ten przycisk i wprowadź adres w oknie, które zostanie wyświetlone."
"HTML in the Rich Editor","Kod HTML w edytorze wizualnym"
"Pasting in the Rich Editor","Wklejanie do edytora wizualnego"
"Writing at Full Speed","Pisanie na pełnych obrotach"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Zamiast sięgać po mysz, by kliknąć przycisk na pasku narzędzi, możesz skorzystać z poniższych klawiszy dostępu. W Windowsie i Linuksie kombinacja to Ctrl + litera. Na Macintoshu używane są klawisze Command + litera."
"Letter","Litera"
"Action","Działanie"
"Select all","Zaznacz wszystko"
"The following shortcuts use different access keys: Alt + Shift + letter.","Poniższe skróty opierają się na innych klawiszach dostępu: Alt + Shift + litera."
"Check Spelling","Sprawdź pisownię"
"Justify Text","Wyjustuj tekst"
"Insert link","Wstaw odnośnik"
"Remove link","Usuń odnośnik"
"Insert Page Break tag","Wstaw znak nowej strony"
"Got Moxie?","Masz Moxie?"
"Comments Feed","Kanał z komentarzami"
"Previous Post","Poprzedni wpis"
"Next Post","Następny wpis"
"Last Post","Ostatni wpis"
"Newer Comments &raquo;","Nowsze komentarze &raquo;"
"&laquo; Older Comments","&laquo; Starsze komentarze"
"S_Sunday_initial","N"
"M_Monday_initial","P"
"T_Tuesday_initial","W"
"W_Wednesday_initial","Ś"
"T_Thursday_initial","C"
"F_Friday_initial","P"
"S_Saturday_initial","S"
"number_format_thousands_sep"," "
"Could not read image size","Nie można było odczytać rozmiaru obrazka"
"That user does not exist.","Takie konto nie istnieje."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Nie możesz zarejestrować się przy użyciu tego adresu e-mail &mdash; zaobserwowaliśmy problemy z dostarczaniem wiadomości pod adresy z tej domeny. Proszę użyć konta na innym serwerze."
"Sorry, usernames must have letters too!","Przepraszamy, nazwy użytkowników muszą składać się także z liter!"
"Sorry, that email address is not allowed!","Przepraszamy, użycie tego adresu e-mail jest niedozwolone!"
"Sorry, that username already exists!","Przepraszamy, istnieje już konto używające takiej nazwy!"
"Sorry, that email address is already used!","Przepraszamy, ten adres e-mail jest już używany!"
"That username is currently reserved but may be available in a couple of days.","Ta nazwa użytkownika jest w tej chwili zajęta, ale być może zostanie zwolniona w ciągu następnych kilku dni."
"username and email used","używane już nazwa użytkownika i hasło"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Ten adres e-mail został już użyty. Proszę sprawdzić, czy doszedł już na niego e-mail aktywacyjny. Jeśli niczego nie zrobisz, użycie tego adresu będzie znów możliwe za kilka dni."
"Invalid activation key.","Nieprawidłowy klucz aktywacyjny."
"Could not create user","Nie można było utworzyć konta dla użytkownika"
"That username is already activated.","Ta nazwa użytkownika została już aktywowana."
"New User Registration: %s","Rejestracja nowego użytkownika: %s"
"New %s User: %s","Nowy użytkownik sieci %s: %s"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Drogi Użytkowniku,\n\nTwoje nowe konto zostało ustawione.\n\nMożesz zalogować się przy użyciu następujących danych:\nNazwa użytkownika: USERNAME\nHasło: PASSWORD\nLOGINLINK\n\nDzIęki!\n\n--Zespół SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Ten użytkownik zdecydować się usunąć swoje konto, więc opublikowane przez niego treści nie są już dostępne."
"Database tables are missing.","Brak tabel w bazie danych."
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>BŁĄD</strong>: Nieprawidłowa nazwa użytkownika lub hasło."
"Author : %s (IP: %s , %s)","Autor     : %s (IP: %s , %s)"
"E-mail : %s","E-mail    : %s"
"URL    : %s","Adres URL : %s"
"Comment:","Komentarz: "
"You can see all comments on this post here:","Wszystkie komentarze do tego wpisu możesz zobaczyć tutaj: "
"[%s] Comment: \"%s\"","[%s] Komentarz: \"%s\""
"Website: %s (IP: %s , %s)","Witryna internetowa: %s (IP: %s , %s)"
"Excerpt:","Wypis: "
"You can see all trackbacks on this post here:","Możesz zobaczyć wszystkie trackbacki do tego wpisu tutaj: "
"You can see all pingbacks on this post here:","Możesz zobaczyć wszystkie pingbacki do tego wpisu tutaj: "
"Trash it: %s","Przenieś do kosza: %s"
"Delete it: %s","Usuń: %s"
"Spam it: %s","Oznacz jako spam: %s"
"Website : %s (IP: %s , %s)","Witryna internetowa : %s (IP: %s , %s)"
"Trackback excerpt:","Wypis z trackbacku: "
"Pingback excerpt:","Wypis z pingbacku: "
"Approve it: %s","Zatwierdź: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Na zatwierdzenie oczekuje w sumie %s komentarz. Proszę odwiedzić ekran moderacji:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Na zatwierdzenie oczekują w sumie %s komentarze. Proszę odwiedzić ekran moderacji:"
"[%s] Please moderate: \"%s\"","[%s] Prośba o moderację: \"%s\""
"Password Lost and Changed for user: %s","Hasło utracone i zmienione, użytkownik: %s"
"[%s] Password Lost/Changed","[%s] Utracone/zmienione hasło"
"Username: %s","Nazwa użytkownika: %s"
"[%s] New User Registration","[%s] Rejestracja nowego użytkownika"
"Password: %s","Hasło: %s"
"[%s] Your username and password","[%s] Twoja nazwa użytkownika i hasło"
"Protected: %s","Zabezpieczony: %s"
"Private: %s","Prywatny: %s"
"There is no excerpt because this is a protected post.","Brak wypisu, ponieważ wpis jest zabezpieczony hasłem."
"Next page","Następna strona"
"Previous page","Poprzednia strona"
"Home","Strona główna"
"This post is password protected. To view it please enter your password below:","Ten wpis jest zabezpieczony hasłem. Aby go zobaczyć, proszę wprowadzić swoje hasło poniżej:"
"j F, Y @ G:i","j F Y \\o H:i"
"%s [Autosave]","%s [zapisana automatycznie]"
"%s [Current Revision]","%s [aktualna wersja]"
"%s by %s","%s, autor: %s"
"Compare Revisions","Porównaj wersje"
"Revision","Wersja"
"Published","Opublikowano"
"Published <span class=\"count\">(%s)</span>","Opublikowane <span class=\"count\">(%s)</span>"
"Scheduled","Zaplanowano"
"Scheduled <span class=\"count\">(%s)</span>","Zaplanowane <span class=\"count\">(%s)</span>"
"Draft","Szkic"
"Draft <span class=\"count\">(%s)</span>","Szkice <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Szkice <span class=\"count\">(%s)</span>"
"Pending","oczekujący"
"Pending <span class=\"count\">(%s)</span>","Oczekujące na przegląd <span class=\"count\">(%s)</span>"
"Private","Prywatne"
"Private <span class=\"count\">(%s)</span>","Prywatne <span class=\"count\">(%s)</span>"
"Trash","Kosz"
"Trash <span class=\"count\">(%s)</span>","Kosz <span class=\"count\">(%s)</span>"
"Content, title, and excerpt are empty.","Pola treść, tytuł i wypis są puste."
"Could not update post in the database","Nie można było zaktualizować wpisu w bazie danych"
"Could not insert post into the database","Nie można było wstawić wpisu do bazy danych"
"The page template is invalid.","Szablon strony jest nieprawidłowy."
"Cannot create a revision of a revision","Nie można utworzyć alternatywnej wersji alternatywnej wersji"
"You do not have permission to preview drafts.","Nie posiadasz uprawnienia do podglądu szkiców."
"Cannot create a user with an empty login name.","Nie można utworzyć konta bez nazwy."
"An error has occurred, which probably means the feed is down. Try again later.","Wystąpił błąd, co prawdopodobnie oznacza, że kanał nie działa. Spróbuj ponownie później."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Zamierzasz usunąć zaznaczone pozycje na zawsze.\n  Kliknij 'Anuluj', aby anulować tę operację, lub 'OK', aby ją sfinalizować."
"Enter a word to look up:","Wprowadź słowo, które chcesz wyszukać:"
"Dictionary lookup","Wyszukiwanie w słowniku"
"lookup","szukaj"
"Close all open tags","Zamknij wszystkie otwarte tagi"
"close tags","zamknij tagi"
"Enter the URL","Wprowadź adres URL"
"Enter the URL of the image","Wprowadź adres URL obrazka"
"Enter a description of the image","Wprowadź opis obrazka"
"You do not have permission to do that.","Nie posiadasz uprawnienia do wykonania tej operacji."
"An unidentified error has occurred.","Wystąpił niezidentyfikowany błąd."
"Next &gt;","Następne &raquo;"
"&lt; Prev","&laquo; Poprzednie"
"of","z"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Ta funkcja wymaga użycia ramek inline. Obsługa iframe'ów jest w Twojej przeglądarce wyłączona lub nie są one przez nią obsługiwane."
"not configured","nie skonfigurowano"
"You have attempted to queue too many files.","Próbowano dodać do kolejki zbyt wiele plików."
"This file is empty. Please try another.","Ten plik jest pusty. Proszę spróbować wysłać inny."
"This file type is not allowed. Please try another.","Wysyłanie plików tego typu nie jest dozwolone. Proszę spróbować wysłać inny plik."
"An error occurred in the upload. Please try again later.","Wystąpił błąd podczas wysyłania pliku na serwer. Proszę spróbować ponownie później."
"There was a configuration error. Please contact the server administrator.","W konfiguracji znajduje się błąd. Proszę skontaktować się z administratorem serwera."
"You may only upload 1 file.","Możesz wysłać tylko jeden plik."
"HTTP error.","Błąd HTTP."
"Upload failed.","Wysyłanie nie powiodło się."
"IO error.","Błąd wejścia/wyjścia."
"Security error.","Błąd zabezpieczeń."
"Upload stopped.","Wysyłanie zostało zatrzymane."
"Crunching&hellip;","Dzielenie&hellip;"
"moved to the trash.","został przeniesiony do kosza."
"Separate multiple categories with commas.","Oddziel kolejne kategorie przecinkami."
"Medium","Średni"
"Publish on:","Opublikuj:"
"Schedule for:","Zaplanuj na:"
"Published on:","Opublikowany:"
"Show more comments","Pokaż więcej komentarzy"
"No more comments found.","Nie znaleziono więcej komentarzy."
"Password Protected","Zabezpieczony hasłem"
"Submitted on:","Wysłany:"
"Error while saving the changes.","Błąd zapisu zmian."
"Remove From Bulk Edit","Nie poddawaj masowej edycji"
"Plugin Information:","Informacje o wtyczce:"
"Saving...","Zapisywanie..."
"Could not set that as the thumbnail image. Try a different attachment.","Nie można było ustawić tego pliku jako miniatury. Proszę spróbować użyć innego załącznika."
"Saving Draft&#8230;","Zapisywanie szkicu&#8230;"
"Empty Term","Brak terminu"
"Invalid term ID","Nieprawidłowy identyfikator terminu"
"A name is required for this term","Wymagane jest wprowadzenie nazwy dla tego terminu"
"Could not insert term into the database","Nie można było dodać pozycji do bazy danych"
"The slug &#8220;%s&#8221; is already in use by another term","Uproszczona nazwa &#8222;%s&#8221; jest już używana przez inny element"
"Invalid object ID","Nieprawidłowy identyfikator elementu"
"Template is missing.","Brak szablonu."
"The parent theme is missing. Please install the \"%s\" parent theme.","Brak motywu nadrzędnego. Proszę zainstalować motyw nadrzędny pt. &#8222;%s&#8221;."
"Stylesheet is missing.","Brak arkusza stylów."
"<strong>ERROR</strong>: The username field is empty.","<strong>BŁĄD</strong>: Pole &#8222;Nazwa użytkownika&#8221; jest puste."
"<strong>ERROR</strong>: The password field is empty.","<strong>BŁĄD</strong>: Pole &#8222;Hasło&#8221; jest puste."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>BŁĄD</strong>: Nieprawidłowa nazwa użytkownika. <a href=\"%s\" title=\"Hasło utracone i znalezione\">Nie pamiętasz swojego hasła</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>BŁĄD</strong>: Twoje konto zostało oznaczone jako konto spamera."
"Please log in again.","Proszę zalogować się ponownie."
"Sidebar %d","Panel boczny nr %d"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>BŁĄD</strong>: WordPress %s wymaga MySQL-a w wersji %s lub nowszej"
"Powered by WordPress","Oparte na WordPressie"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>BŁĄD</strong>: Wprowadź nazwę użytkownika lub adres e-mail."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>BŁĄÐ</strong>: Brak zarejestrowanego użytkownika o wprowadzonym adresie e-mail."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>BŁĄD</strong>: Nieprawidłowa nazwa użytkownika lub e-mail."
"Password reset is not allowed for this user","Generowanie nowego hasła do tego konta użytkownika jest niedozwolone"
"[%s] Password Reset","[%s] Ustawianie nowego hasła"
"The e-mail could not be sent.","E-mail nie mógł zostać wysłany."
"Possible reason: your host may have disabled the mail() function...","Możliwa przyczyna: administrator Twojego serwera wyłączył funkcję mail()..."
"Invalid key","Nieprawidłowy klucz"
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>BŁĄD</strong>: Proszę wprowadzić swój adres e-mail."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>BŁĄD</strong>: Wprowadzony adres e-mail nie jest prawidłowy."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>BŁĄD</strong>: Rejestracja nie mogła zostać przeprowadzona... proszę skontaktować się z <a href=\"mailto:%s\">webmasterem</a>!"
"Sorry, that key does not appear to be valid.","Przepraszamy, ten klucz nie wydaje się być prawidłowy."
"Lost Password","Utracone hasło"
"Username or E-mail:","Nazwa użytkownika lub e-mail:"
"Get New Password","Zdobądź nowe hasło"
"Are you lost?","Potrzebujesz pomocy?"
"&larr; Back to %s","&larr; Powrót do witryny &#8222;%s&#8221;"
"Registration Form","Formularz rejestracyjny"
"Register For This Site","Zarejestruj się na tej witrynie"
"A password will be e-mailed to you.","Hasło zostanie wysłane e-mailem."
"Password Lost and Found","Hasło utracone i znalezione"
"Lost your password?","Nie pamiętasz hasła?"
"You have logged in successfully.","Zalogowano się pomyślnie."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>BŁĄD</strong>: Ciasteczka są blokowane lub nieobsługiwane przez Twoją przeglądarkę. Musisz <a href='http://www.google.com/cookies.html'>włączyć obsługę ciasteczek</a>, by móc używać WordPressa."
"You are now logged out.","Wylogowano się."
"User registration is currently not allowed.","Rejestracja użytkowników jest obecnie niedozwolona."
"Check your e-mail for the confirmation link.","Odnośnik potwierdzający został wysłany e-mailem."
"Check your e-mail for your new password.","Nowe hasło zostało wysłane e-mailem."
"Registration complete. Please check your e-mail.","Rejestracja została ukończona. Proszę sprawdzić e-maila."
"Your session has expired. Please log-in again.","Twoja sesja wygasła. Proszę zalogować się ponownie."
"Slow down cowboy, no need to check for new mails so often!","Zwolnij trochę, kowboju, nie ma potrzeby sprawdzać czy są nowe wiadomości tak często!"
"There doesn&#8217;t seem to be any new mail.","Wygląda na to, że nie ma żadnych nowych wiadomości."
"Author is %s","Autorem jest %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Tytuł publikacji:</strong> %s"
"Oops: %s","Ups: %s"
"Privacy:","Prywatność:"
"(Must be at least 4 characters, letters and numbers only.)","(Musi składać się z co najmniej 4 znaków; wyłącznie liter i cyfr)."
"Email&nbsp;Address:","Adres&nbsp;e-mail:"
"There was a problem, please correct the form below and try again.","Wystąpił problem. Proszę poprawić dane wprowadzone do pól poniższego formularza i spróbować ponownie."
"Get your own %s account in seconds","Załóż swoje własne konto w sieci %s w ciągu kilku sekund"
"Just a username, please.","Proszę tylko wprowadzić o nazwę użytkownika."
"Next","Dalej"
"%s is your new username","%s jest Twoją nową nazwą użytkownika"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Zanim zaczniesz używać swojej nowej nazwy użytkownika, <strong>konieczna jest jej aktywacja</strong>."
"If you do not activate your username within two days, you will have to sign up again.","Jeśli nie aktywujesz swojej nazwy użytkownika w ciągu dwóch dni, konieczne będzie dokonanie ponownej rejestracji."
"Signup","Zarejestruj się"
"Still waiting for your email?","Nadal czekasz na e-maila?"
"Registration has been disabled.","Możliwość rejestracji została wyłączona."
"User registration has been disabled.","Możliwość rejestracji kont została wyłączona."
"Help","Pomoc"
"Black","Czarny"
"Brown","Brązowy"
"Green","Zielony"
"Orange","Pomarańczowy"
"Pink","Różowy"
"Purple","Fioletowy"
"Red","Czerwony"
"Silver","Srebrny"
"White","Biały"
"Yellow","Żółty"
"Width","Szerokość"
"About","Informacje"
"<strong>ERROR</strong>: Please enter a username.","<strong>BŁĄD</strong>: Proszę wprowadzić nazwę użytkownika."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>BŁĄD</strong>: Ten adres e-mail jest już zarejestrowany, proszę skorzystać z innego."
"There are no options for this widget.","Ten widget nie posiada opcji."
"Strength indicator","Siłomierz"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Wskazówka: Twoje hasło powinno składać się z co najmniej siedmiu znaków. Aby było ono silniejsze, możesz skorzystać z wielkich i małych liter, cyfr i symboli, takich jak !, \", ?, $, %s, ^, &amp; czy )."
"Very weak","Bardzo słabe"
"Weak","Słabe"
"Strong","Silne"
"Edit Category","Edytuj kategorię"
"Edit Link","Edytuj odnośnik"
"Enabled","Włączone"
"Allow people to post comments on new articles","Zezwól na komentowanie nowych artykułów"
"Date Format","Format daty"
"Time Format","Format godziny"
"Height","Wysokość"
"Default","Domyślny"
"Plugin","Wtyczkę"
"Insert Image","Wstaw obrazek"
"Visual","Wizualny"
"Title:","Tytuł:"
"Separate tags with commas","Oddziel kolejne tagi przecinkami"
"Select All","Zaznacz wszystko"
"(required)","(wymagane)"
"Website","Witryna internetowa"
"Widgets","Widgety"
"Sorry, your entry could not be posted. Something wrong happened.","Przepraszamy, Twój wpis nie mógł zostać dodany. Coś poszło nie tak."
"Sorry, you do not have the right to edit this post.","Przepraszamy, nie posiadasz uprawnienia do edycji tego wpisu."
"For some strange yet very annoying reason, this post could not be edited.","Z jakiegoś dziwnego, lecz bardzo irytującego powodu ten wpis nie mógł zostać zmodyfikowany."
"Sorry, you do not have the right to delete this post.","Przepraszamy, nie posiadasz uprawnienia do usunięcia tego wpisu."
"For some strange yet very annoying reason, this post could not be deleted.","Z jakiegoś dziwnego, lecz bardzo irytującego powodu ten wpis nie mógł zostać usunięty."
"Sorry, comments are closed for this item.","Przepraszamy, tego artykułu nie można komentować."
"Sorry, you must be logged in to post a comment.","Przepraszamy, musisz się zalogować, aby móc napisać komentarz."
"Akismet Configuration","Konfiguracja Akismeta"
"Your key has been cleared.","Twój klucz został wyczyszczony."
"Your key has been verified. Happy blogging!","Twój klucz został pomyślnie zweryfikowany. Miłego blogowania!"
"The key you entered is invalid. Please double-check it.","Wprowadzony klucz jest nieprawidłowy. Proszę sprawdzić go dwukrotnie."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Wprowadzony klucz nie mógł zostać zweryfikowany, ponieważ nie można było połączyć się z akismet.com. Proszę sprawdzić konfigurację serwera."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Nie udało się połączyć się z serwerem Akismeta. Proszę sprawdzić konfigurację serwera."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Proszę wprowadzić klucz API. (<a href=\"%s\" style=\"color:#fff\">Zdobądź swój klucz.</a>)"
"This key is valid.","Ten klucz jest prawidłowy."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Poniższy klucz został już wcześniej zweryfikowany, ale połączenie z akismet.com nie może zostać w tej chwili ustanowione. Proszę sprawdzić konfigurację serwera."
"Why might my key be invalid?","Dlaczego mój klucz może być nieprawidłowy?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Przyczyny tego problemu mogą być dwie - możliwe, że klucz został nieprawidłowo skopiowany lub wtyczka nie może połączyć się z serwerami Akismeta, co często powodowane jest ustawieniami zapór sieciowych na serwerach WWW."
"Update options &raquo;","Zaktualizuj opcje &raquo;"
"Server Connectivity","Łączność z serwerem"
"Unable to reach some Akismet servers.","Nie można było połączyć się z niektórymi serwerami Akismeta."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Problem z połączeniem sieciowym lub zaporą ogniową blokuje pewne połączenia z Twojego serwera WWW do serwera Akismet.com.  Akismet pracuje, ale taki stan rzeczy może powodować problemy w czasie przeciążenia sieci.  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o Akismecie i zaporach ogniowych</a>."
"Unable to reach any Akismet servers.","Nie udało się połączyć z żadnymi serwerami Akismeta."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Problem z połączeniem sieciowym lub zaporą ogniową blokuje wszystkie połączenia z Twojego serwera WWW do serwera Akismet.com.  <strong>Akismet nie może pracować prawidłowo, dopóki nie zostanie to naprawione.</strong>  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o Akismecie i zaporach ogniowych</a>."
"All Akismet servers are available.","Wszystkie serwery Akismeta są osiągalne."
"Akismet is working correctly.  All servers are accessible.","Akismet pracuje prawidłowo.  Wszystkie serwery są osiągalne."
"Network functions are disabled.","Funkcja sieci jest wyłączona."
"Unable to find Akismet servers.","Nie udało się znaleźć serwerów Akismeta."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Problem z serwerami DNS lub zaporą ogniową blokuje wszelkie połączenia z Twojego serwera do serwera Akismet.com.  <strong>Akismet nie może pracować prawidlowo, dopóki nie zostanie to zmienione.</strong>  Proszę skontaktować się z administratorem serwera WWW lub zapory ogniowej i przekazać mu <a href=\"%s\" target=\"_blank\">te informacje o Akismecie i zaporach ogniowych</a>."
"Akismet server","Serwer Akismeta"
"Network Status","Stan połączenia sieciowego"
"Last checked %s ago.","Ostatnio sprawdzono %s temu."
"Check network status &raquo;","Sprawdź stan połączenia sieciowego &raquo;"
"Akismet Stats","Statystyki Akismeta"
"Akismet is almost ready.","Akismet jest już prawie gotów."
"Akismet has detected a problem.","Akismet wykrył problem."
"Akismet Spam (%s)","Oznaczone jako spam przez Akismeta (%s)"
"Akismet Spam","Oznaczone jako spam przez Akismeta"
"You do not have sufficient permission to moderate comments.","Nie posiadasz wystarczających uprawnień, by moderować komentarze."
"%s comments recovered.","%s komentarzy zostało przywróconych."
"All spam deleted.","Cały spam został usunięty."
"Caught Spam","Przechwycony spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet przechwycił dla Ciebie <strong>%s komentarzy będących spamem</strong> od czasu, kiedy zainstalowano go po raz pierwszy."
"You have no spam currently in the queue. Must be your lucky day. :)","Obecnie w kolejce nie znajdują się żadne komentarze będące spamem. To musi być Twój szczęśliwy dzień. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Możesz usunąć cały spam ze swojej bazy danych za pomocą jednego kliknięcia. Ta operacja nie może zostać cofnięta, więc rozważ sprawdzenie, czy poddane jej nie zostaną jakieś komentarze, które nie są spamem. Nie przejmuj się &mdash; spam jest automatycznie usuwany po 15 dniach."
"There are currently %s comments identified as spam.","%s komentarzy zostało zidentyfikowanych jako spam."
"Delete all","Usuń wszystkie"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Oto najnowsze komentarze zidentyfikowane przez Akismeta jako spam. Jeżeli dostrzeżesz błędnie zidentyfikowane komentarze, po prostu wycofaj oznaczenie ich jako spam, a Akismet nauczy się na błędach i przywróci komentarze. Po 15 dniach sami wyniesiemy za Ciebie śmieci."
"All","Wszystkie"
"Search Spam &raquo;","Szukaj spamu &raquo;"
"&laquo; Previous Page","&laquo; Poprzednia strona"
"Next Page &raquo;","Następna strona &raquo;"
"De-spam marked comments &raquo;","Cofnij oznaczenie zaznaczonych komentarzy jako spam &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentarze, którym wycofasz oznaczenie jako spam zostaną przekazane do Akismeta jako błędy, aby mógł on się na nich nauczyć i poprawić."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> ochronił Twoją witrynę przed <a href=\"%s\">%s komentarzami będącymi spamem</a>."
"Recheck Queue for Spam","Przeszukaj kolejkę w poszukiwaniu spamu ponownie"
"Check for Spam","Szukaj spamu"
"Comments on %s","Komentarze do %s"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Ta strona jest oparta na WordPressie &mdash; nowoczesnej, semantycznej, osobistej platformie publikacyjnej."
"Enter your password to view comments.","Wprowadź swoje hasło, aby zobaczyć komentarze."
"No Comments","Brak komentarzy"
"1 Comment","1 komentarz"
"%s Comments","%s komentarzy"
"Edit This","Edytuj"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Musisz się <a href=\"%s\">zalogować</a>, aby móc dodać komentarz."
"Tags:","Tagi: "
"(more...)","(więcej...)"
"Pages:","Strony:"
"The latest comments to all posts in RSS","Najnowsze komentarze do wszystkich wpisów dostępne poprzez kanał RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kanał <abbr title=\"Really Simple Syndication\">RSS</abbr> z komentarzami"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">pisze:</span>"
"Your comment is awaiting moderation.","Twój komentarz oczekuje na moderację."
"%s at %s","%s o %s"
"(Edit)","(Edytuj)"
"View all posts in %s","Zobacz wszystkie wpisy z kategorii &#8222;%s&#8221;"
"XML error: %s at line %d","Błąd XML: %s w %d. linii"
"Visit %s&#8217;s website","Odwiedź witrynę internetową osoby podpisującej się &#8222;%s&#8221;"
"Posts by %s","Wpisy, których autorem jest %s"
"Last updated: %s","Ostatnia aktualizacja: %s"
"Bookmarks","Zakładki"
