"New password","Nové heslo"
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","Parametr \"caller_get_posts\" již není nadále podporován. Použijte místo něj raději \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Tento soubor už není třeba nadále používat."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Chystáte se nenávratně smazat vybrané položky.\n  Akci můžete zastavit kliknutím na 'Storno' nebo potvrdit pomocí 'OK'."
"Enter a word to look up:","Zadejte hledané slovo:"
"Dictionary lookup","Zkontrolovat slovo ve slovníku"
"lookup","kontrola"
"Close all open tags","Uzavřít všechny otevřené značky"
"close tags","uzavřít značky"
"Enter the URL","Vložit URL"
"Enter the URL of the image","Vložit URL obrázku"
"Enter a description of the image","Vložit popis obrázku"
"fullscreen","celá obrazovka"
"Toggle fullscreen mode","Přepnout na celou obrazovku"
"text direction","směr textu"
"Toggle Editor Text Direction","Přepnout směr textu v editoru"
"You do not have permission to do that.","Nemáte dostatečné oprávnění pro tuto činnost."
"An unidentified error has occurred.","Došlo k nějaké blíže neidentifikované chybě."
"Dismiss","Zavřít"
"Next &gt;","Následující &gt;"
"&lt; Prev","&lt; Předchozí"
"of","z celkem"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Tato funkce WordPressu vyžaduje použití vnitřních rámů (iframe), které však patrně nemáte povoleny nebo je váš prohlížeč vůbec nepodporuje."
"not configured","nenastaveno"
"You have attempted to queue too many files.","Pokusili jste se zařadit do fronty příliš mnoho souborů."
"%s exceeds the maximum upload size for this site.","Soubor %s překročil maximální povolenou velikost nahrávaného souboru na tomto webu."
"This file is empty. Please try another.","Soubor je prázdný. Zkuste prosím nějaký jiný."
"This file type is not allowed. Please try another.","Tento typ souboru není povolen. Zkuste prosím jiný."
"This file is not an image. Please try another.","Tento soubor není obrázek. Zkuste prosím nějaký jiný."
"Memory exceeded. Please try another smaller file.","Nedostatek paměti. Zkuste prosím nahrát nějaký menší soubor."
"This is larger than the maximum size. Please try another.","Soubor je větší než maximální povolená velikost nahrávaného souboru. Zkuste prosím nějaký jiný."
"An error occurred in the upload. Please try again later.","Při nahrávání došlo k chybě. Zkuste to prosím později."
"There was a configuration error. Please contact the server administrator.","Došlo k chybě v nastavení serveru! Kontaktujte prosím administrátora vašeho serveru."
"You may only upload 1 file.","Můžete nahrávat pouze jeden soubor."
"HTTP error.","HTTP chyba."
"Upload failed.","Nahrávání selhalo."
"Please try uploading this file with the %sbrowser uploader%s.","Zkuste prosím tento soubor nahrát prostřednictvím %sjednoduchého nahrávání pomocí prohlížeče%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","Při použití funkce pro hromadné nahrávání několika souborů najednou překročil soubor %s maximální povolenou velikost nahrávaného souboru, která je definována aktuálně používaným prohlížečem."
"IO error.","IO chyba."
"Security error.","Bezpečnostní chyba."
"File canceled.","Soubor byl zrušen."
"Upload stopped.","Nahrávání bylo zastaveno."
"Crunching&hellip;","Probíhá zpracování&hellip;"
"moved to the trash.","byl přesunut do koše."
"&#8220;%s&#8221; has failed to upload.","Soubor &#8222;%s&#8220; se nepodařilo nahrát."
"Strength indicator","Indikátor síly hesla"
"Very weak","Příliš slabé"
"Weak","Slabé"
"Strong","Silné"
"Mismatch","Nesouhlasí"
"(no title)","(bez názvu)"
"No matches found.","Nebylo nic nalezeno."
"Save &amp; Activate","Uložit &amp; Aktivovat šablonu"
"Save &amp; Publish","Uložit &amp; Publikovat úpravy"
"Saved","Uloženo"
"Add",""
"Separate multiple categories with commas.","Více rubrik oddělte čárkami."
"Approve and Reply","Schválit a odpovědět"
"Publish on:","Publikovat:"
"Schedule for:","Naplánováno na:"
"Published on:","Publikováno:"
"Show more comments","Zobrazit další komentáře"
"No more comments found.","Nebyly nalezeny žádné další komentáře."
"Publish","Publikovat"
"Schedule","Naplánovat"
"Save as Pending","Uložit do fronty na schválení"
"Save Draft","Uložit koncept"
"Public","Veřejné"
"Public, Sticky","Veřejný, zvýrazněný"
"Password Protected","Chráněno heslem"
"Privately Published","Publikován jako soukromý"
"Submitted on:","Uloženo:"
"Error while saving the changes.","Během ukládání změn se objevila nečekaná chyba."
"Remove From Bulk Edit","Odebrat z hromadných úprav"
"Plugin Information:","Informace o pluginu:"
"Are you sure you want to install this plugin?","Opravdu chcete nainstalovat tento plugin?"
"Select Color","Zvolit barvu"
"Current Color","Aktuální barva"
"Could not load the preview image. Please reload the page and try again.","Nepodařilo se načíst náhled obrázku. Obnovte prosím tuto stránku a zkuste to znovu."
"Use as featured image","Použít jako náhledový obrázek"
"Saving...","Ukládám..."
"Could not set that as the thumbnail image. Try a different attachment.","Nepodařilo se nastavit tento soubor jako náhledový obrázek. Zkuste to prosím s jiným souborem."
"Done","Hotovo"
"No results found.","Nebylo nic nalezeno."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Chystáte se nenávratně smazat vybrané menu.\n  Akci můžete zastavit kliknutím na 'Storno' nebo potvrdit pomocí 'OK'."
"Saving Draft&#8230;","Ukládání konceptu&#8230;"
"Navigation Menus","Navigační menu"
"Navigation Menu","Navigační menu"
"Link Categories","Rubriky odkazů"
"Link Category","Rubrika odkazů"
"Search Link Categories","Hledat rubriky odkazů"
"All Link Categories","Všechny rubriky odkazů"
"Edit Link Category","Upravit rubriku odkazů"
"Update Link Category","Aktualizovat rubriku odkazů"
"Add New Link Category","Vytvořit novou rubriku odkazů"
"New Link Category Name","Název nové rubriky odkazů"
"Taxonomies cannot exceed 32 characters in length","Název vlastních taxonomií nemůže být delší než 32 znaků."
"Tags","štítky"
"Categories","rubriky"
"Tag","štítek"
"Category","rubriku"
"Search Tags","Hledat štítky"
"Search Categories","Hledat rubriky"
"Popular Tags","Oblíbené štítky"
"All Tags","Všechny štítky"
"All Categories","Všechny rubriky"
"Parent Category","Nadřazená rubrika"
"Parent Category:","Nadřazená rubrika:"
"Edit Tag","Upravit štítek"
"Edit Category","Upravit rubriku"
"View Tag","Zobrazit štítek"
"View Category","Zobrazit rubriku"
"Update Tag","Aktualizovat štítek"
"Update Category","Aktualizovat rubriku"
"Add New Tag","Vytvořit nový štítek"
"Add New Category","Vytvořit novou rubriku"
"New Tag Name","Název nového štítku"
"New Category Name","Název nové rubriky"
"Separate tags with commas","Více štítků oddělte čárkami."
"Add or remove tags","Přidat nebo odebrat štítky"
"Choose from the most used tags","Vyberte si z nejpoužívanějších štítků"
"Empty Term","Prázdný název"
"A name is required for this term","Název je vyžadován"
"A term with the name provided already exists with this parent.","Zadaný název již na této hierarchické úrovni existuje."
"Could not insert term into the database","Uložení do databáze se nezdařilo."
"A term with the name provided already exists.","Zadaný název již existuje."
"Could not insert term relationship into the database","Napojení zvolené položky taxonomie k příslušnému obsahu se nepodařilo uložit do databáze."
"The slug &#8220;%s&#8221; is already in use by another term","Tento název v URL &#8222;%s&#8220; je již používán pro jiný výraz."
"Invalid object ID","Neplatné ID objektu"
"Theme without %s","Šablona bez souboru %s"
"Please include a %s template in your theme.","Používejte prosím soubor %s ve vaší šabloně."
"%s - Comments on %s","%s - Komentáře k %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> komentářů k tomuto příspěvku."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr> adresa pro trackbacky odkazující přímo na tento text: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","vložil %s &#8211; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Zatím nemáte žádné komentáře."
"Leave a comment","Napsat komentář"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Nové řádky a odstavce jsou zalamovány automaticky, emailová adresa nebude v žádném případě zveřejněna. Povoleny jsou ještě tyto <acronym title=\"HyperText Markup Language\">HTML</acronym> značky: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Jste přihlášeni jako <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odhlásit se z tohoto účtu\">Odhlásit se &raquo;</a>"
"E-mail","Email"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Uniform Resource Locator\">URL</abbr>"
"Your Comment","Komentář"
"Say It!","Odeslat!"
"Sorry, the comment form is closed at this time.","Komentáře bohužel nejsou v současné době povoleny."
"Close this window.","Zavřít okno."
"Sorry, no posts matched your criteria.","Nebyl nalezen žádný příspěvek, který by odpovídal vašemu požadavku."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Vytvořeno pomocí <a href=\"%s\" title=\"Používáme WordPress, nejmodernější sémantický osobní redakční systém\"><strong>WordPressu</strong></a>"
"This post is password protected. Enter the password to view comments.","Tento příspěvek je chráněn heslem. Abyste si mohli prohlížet příslušné komentáře, musíte nejdříve zadat heslo."
"One Response to %s","Jedna reakce na %s"
"%s Responses to %s","%s reakce na %s"
"Comments are closed.","Komentáře nejsou povoleny."
"Logged in as <a href=\"%s\">%s</a>.","Jste přihlášeni jako <a href=\"%s\">%s</a>."
"Log out of this account","Odhlásit se z tohoto účtu"
"Log out &raquo;","Odhlásit se &raquo;"
"(required)","(vyžadováno)"
"Mail (will not be published)","Email (nebude zveřejněn)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Můžete použít následující značky: <code>%s</code>"
"Submit Comment","Odeslat komentář"
"%s is proudly powered by %s","Na webu %s používáme redakční systém %s"
"Entries (RSS)","RSS"
"Comments (RSS)","RSS komentářů"
"%d queries. %s seconds.","%d dotazů. %s sekund."
"You are currently browsing the archives for the %s category.","Právě prohlížíte výpis archivu rubriky %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a> pro den %s."
"l, F jS, Y","j. F Y (l)"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a> pro měsíc %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a> pro rok %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Prohledávali jste archiv webu <a href=\"%s/\">%s</a> s dotazem na klíčové slovo <strong>&#8222;%s&#8220;</strong>. Pokud jste však ve výsledcích vyhledávání na této stránce neobjevili potřebné informace, můžete ještě vyzkoušet některý z těchto odkazů."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Tato stránka je validní podle specifikace XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Validní <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML Friends Network je síť přátel tvořená prostřednictvím XHTML (konkrétně atributů odkazů)"
"%d WordPress Update","%d aktualizace WordPressu"
"%d Plugin Update","%d aktualizace pluginu"
"%d Plugin Updates","%d aktualizace pluginů"
"%d Theme Update","%d aktualizace šablony"
"%d Theme Updates","%d aktualizace šablon"
"<strong>ERROR</strong>: The username field is empty.","<strong>Chyba</strong>: Nebylo zadáno uživatelské jméno."
"<strong>ERROR</strong>: The password field is empty.","<strong>Chyba</strong>: Nebylo zadáno heslo."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>CHYBA</strong>: Nesprávné heslo. <a href=\"%s\" title=\"Zapomenuté a obnovené heslo\">Zapomněli jste své heslo</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>CHYBA</strong>: Váš účet byl pozastaven, protože jste označen jako spammer."
"Site Suspended.","Web byl pozastaven."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>CHYBA</strong>: Zadané heslo k uživatelskému jménu <strong>%s</strong> není správné. <a href=\"%s\" title=\"Zapomenuté a obnovené heslo\">Zapomněli jste své heslo</a>?"
"Please log in again.","Přihlaste se prosím znovu."
"Cannot create a user with an empty login name.","Nemůžete vytvořit nového uživatele, pokud nezadáte jeho uživatelské jméno."
"AIM","AIM (AOL Instant Messenger)"
"There are no options for this widget.","Pro tento widget není k dispozici žádné nastavení."
"Sidebar %d","Postranní panel %d"
"Sidebar","Postranní panel"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Databáze nebyla nalezena</h1>\n<p>Podařilo se sice připojit k databázovému serveru (což znamená, že jste zadali správné přihlašovací jméno a heslo), ale není bohužel možné zvolit databázi <code>%s</code>.</p>\n<ul>\n<li>Jste si opravdu jisti, že databáze s tímto názvem existuje?</li>\n<li>Má uživatel <code>%s</code> oprávnění používat databázi <code>%s</code>?</li>\n<li>V některých případech může mít název databáze automatickou předponu ve tvaru vašeho uživatelského jména, tedy např. <code>uživatelskéjméno_%s</code>. Nejedná se o tento problém?</li>\n</ul>\n<p>Pokud nevíte jak databázi vytvořit či zprovoznit, měli byste <strong>kontaktovat svého poskytovatele hostingových služeb</strong>. V případě jiných problémů zkuste nalézt řešení na oficiálním <a href=\"http://wordpress.org/support/\">fóru podpory WordPressu</a> (anglicky).</p>"
"WordPress database error %s for query %s made by %s","Chyba databáze WordPressu %s u dotazu %s, který vytvořil %s"
"WordPress database error %s for query %s","Chyba databáze ve WordPressu %s u dotazu %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Během připojování k databázovému serveru došlo k chybě</h1>\n<p>To může znamenat, že uživatelské jméno nebo heslo ve vašem souboru <code>wp-config.php</code> je nesprávné, nebo není možné navázat spojení s databázovým serverem <code>%s</code>, což by mohlo být způsobeno také tím, že váš databázový server u poskytovatele hostingu je mimo provoz.</p>\n<ul>\n\t<li>Jste si opravdu jisti, že používáte správné uživatelské jméno a heslo?</li>\n\t<li>Jste si opravdu jisti, že jste zadali správnou adresu databázového serveru?</li>\n\t<li>Jste si opravdu jisti, že tento databázový server v pořádku funguje?</li>\n</ul>\n<p>Pokud si nejste jisti, co tyto otázky přesně znamenají, nebo jak vyplnit patřičné údaje, měli byste kontaktovat svého poskytovatele hostingových služeb. Pokud potřebujete další pomoc, můžete vždy navštívit <a href='http://wordpress.org/support/'>Fórum podpory WordPressu</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>CHYBA</strong>: WordPress %s vyžaduje alespoň MySQL %s"
"Links for %s","Odkazy z webu %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Soubor <code>wp-config.php</code> bohužel nebyl nalezen. Pravděpodobně ještě nebyl ani vytvořen, což je však nezbytnou podmínkou pro zahájení instalace WordPressu."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Potřebujete poradit? Prozkoumejte prosím nejdříve následující návod: <a href='http://codex.wordpress.org/Editing_wp-config.php'>Konfigurační soubor wp-config.php a jeho úpravy</a> (anglicky)."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Soubor <code>wp-config.php</code> můžete zkusit vytvořit přímo pomocí jednoduchého webového rozhraní, ale tento automatický způsob nemusí bohužel fungovat na každém hostingovém serveru. Nejspolehlivějším způsobem je tedy ruční vytvoření tohoto souboru."
"Create a Configuration File","Vytvořit konfigurační soubor"
"Powered by WordPress","Používáme WordPress"
"Are you lost?","Nevíte co dělat dál?"
"&larr; Back to %s","&larr; Zpět na %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>CHYBA</strong>: Zadejte své uživatelské jméno nebo emailovou adresu."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>CHYBA</strong>: Uživatel s tímto emailem tu není zaregistrován."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>CHYBA</strong>: Špatné uživatelské jméno nebo email."
"Password reset is not allowed for this user","Nemáte dostatečné oprávnění pro vytvoření nového hesla"
"Someone requested that the password be reset for the following account:","Někdo požádal o vytvoření nového hesla pro následující účet:"
"If this was a mistake, just ignore this email and nothing will happen.","Pokud šlo pouze o nějaký omyl, nemusíte už tomuto emailu věnovat další pozornost a nic se nestane."
"To reset your password, visit the following address:","Možnost vytvoření nového hesla získáte kliknutím na následující odkaz:"
"[%s] Password Reset","[%s] Vytvoření nového hesla"
"The e-mail could not be sent.","Email nemohl být odeslán."
"Possible reason: your host may have disabled the mail() function...","Možná příčina: Váš poskytovatel hostingu nemá povolenou funkci mail()..."
"Invalid key","Špatný klíč"
"<strong>ERROR</strong>: Please enter a username.","<strong>CHYBA</strong>: Zadejte prosím uživatelské jméno."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>CHYBA</strong>: Uživatelské jméno není platné, protože obsahuje nepovolené znaky. Zadejte prosím správné uživatelské jméno."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>CHYBA</strong>: Zvolené uživatelské jméno je na tomto webu již registrováno, zadejte prosím nějaké jiné."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>CHYBA</strong>: Zadejte prosím svoji emailovou adresu."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>CHYBA</strong>: Zadaná emailová adresa není správná."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>CHYBA</strong>: Zvolená emailová adresa je na tomto webu již registrována, zadejte prosím nějakou jinou."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>CHYBA</strong>: Registrace se nezdařila... Kontaktujte prosím <a href=\"mailto:%s\">administrátora webu</a> !"
"Sorry, that key does not appear to be valid.","Omlouváme se, ale tento klíč zřejmě není platný."
"Lost Password","Zapomenuté heslo"
"Please enter your username or email address. You will receive a link to create a new password via email.","Zadejte prosím své uživatelské jméno nebo emailovou adresu. Odkaz na stránku s možností vytvoření nového hesla vám bude automaticky zaslán emailem."
"Username or E-mail:","Uživatelské jméno nebo email:"
"Get New Password","Získat nové heslo"
"The passwords do not match.","Zadaná hesla se neshodují."
"Password Reset","Vytvoření nového hesla"
"Your password has been reset.","Nové heslo bylo vytvořeno."
"Reset Password","Vytvořit nové heslo"
"Enter your new password below.","Zadejte vaše nové heslo."
"Activation Key Required","Pro ověření registrace je vyžadován aktivační klíč"
"Activation Key:","Aktivační klíč:"
"Activate","Aktivovat"
"Your account is now active!","Registrovaný účet byl úspěšně aktivován!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Uživatelský účet byl právě aktivován. Nyní se už můžete <a href=\"%s\">přihlásit</a>, a to pomocí zvoleného uživatelského jména &#8222;%s&#8220;. Zkontrolujte prosím emailovou schránku %s, kam bylo odesláno heslo a podrobné pokyny k přihlašování. Pokud žádný podobný email nenajdete, prohlédněte ještě složku určenou pro Spam. Pokud email nedorazí ani za hodinu, tak zkuste raději <a href=\"%s\">získat nové heslo</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Nový web na serveru <a href=\"%s\">%s</a> byl úspěšně vytvořen a související uživatelský účet aktivován. Můžete se rovnou přihlásit do administrace, a to pomocí zvoleného uživatelského jména &#8222;%s&#8220;. Zkontrolujte prosím emailovou schránku %s, kam bylo odesláno heslo a podrobné pokyny k přihlašování. Pokud žádný podobný email nenajdete, prohlédněte ještě složku určenou pro Spam. Pokud email nedorazí ani za hodinu, tak zkuste raději <a href=\"%s\">získat nové heslo</a>."
"An error occurred during the activation","Během aktivace účtu došlo k chybě"
"Username:","Uživatelské jméno:"
"Password:","Heslo:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Uživatelský účet byl právě aktivován. <a href=\"%s\">Prohlédněte</a> si nově vytvořený web nebo se rovnou <a href=\"%s\">přihlaste</a> do jeho administrace."
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Uživatelský účet byl právě aktivován. Můžete se rovnou <a href=\"%s\">přihlásit</a> nebo přejít zpět na <a href=\"%s\">úvodní stránku</a>."
"Sorry, comments are closed for this item.","Komentáře k tomuto příspěvku nejsou bohužel povoleny."
"Sorry, you must be logged in to post a comment.","Pro přidání komentáře se musíte nejdříve přihlásit."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>CHYBA</strong>: Doplňte prosím všechny požadované informace (jméno, email)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>CHYBA</strong>: Zadejte prosím platnou emailovou adresu."
"<strong>ERROR</strong>: please type a comment.","<strong>CHYBA</strong>: Zadejte prosím nějaký text komentáře."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s vyžaduje alespoň WordPress 3.0."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Můžete buď <a href=\"%s\">aktualizovat WordPress</a> na nejnovější verzi, nebo se vrátit ke <a href=\"%s\">starší verzi pluginu Akismet 2.4</a>."
"Comment History","Zobrazit vývoj změn komentáře"
"Settings","Nastavení"
"Cheatin&#8217; uh?","Nezkoušíte náhodou podvádět?"
"Your key has been cleared.","Váš klíč byl smazán."
"Your key has been verified. Happy blogging!","Váš klíč byl úspěšně ověřen. Užívejte si WordPress bez spamů!"
"The key you entered is invalid. Please double-check it.","Vložený klíč není patrně správný. Raději ho prosím ještě jednou zkotrolujte."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Vložený klíč nemohl být ověřen, protože se nám nepodařilo připojit k serveru akismet.com. Zkontrolujte prosím, jestli je všechno správně nastaveno."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Nastal problém s připojením k serveru Akismet. Zkontrolujte prosím nastavení vašeho serveru."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Zadejte API klíč. (<a href=\"%s\" style=\"color:#fff\">Získat vlastní klíč.</a>)"
"This key is valid.","Klíč je správný."
"This key is invalid.","Klíč je neplatný."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Uložený klíč byl sice již dříve ověřen, ale v tuto chvíli se bohužel nedaří připojit k serveru akismet.com. Zkontrolujte prosím nastavení vašeho serveru."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","URL adresa zobrazeného webu %s je neplatná. Opravte ji prosím přímo v <a href=\"%s\">Nastavení pro vývojáře</a> (položka home)."
"Options saved.","Nastavení bylo uloženo."
"Akismet Configuration","Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registrace proběhla úspěšně!</strong> Zkontrolujte prosím uvedenou emailovou schránku, kam by měl dorazit API klíč pro Akismet a zadejte ho níže."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","<a href=\"%s\">Akismet</a> může výrazně omezit (nebo i zcela eliminovat) komentáře a trackbacky, které jsou na web vkládány v podobě spamu. Pokud se však náhodou stane, že nějaký spam přesto proklouzne a Akismet ho nerozpoznal, stačí ho na stránce pro moderování komentářů jednoduše kliknutím myši označit jako &#8222;Spam&#8220;. Akismet si to pak automaticky zapamatuje a příště už stejnou chybu neudělá. Pokud ještě nemáte svůj API klíč, získate ho snadno přímo na webu <a href=\"%s\">Akismet.com</a> a pak už můžete začít tento užitečný plugin používat."
"Akismet API Key","API klíč pro Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Co je to?</a>"
"Why might my key be invalid?","Proč je můj klíč nesprávný?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Tento problém mohou způsobit dvě věci: buď jste špatně zkopírovali (opsali) svůj klíč, nebo se plugin nemůže připojit k serveru Akismet. Tento problém je nejčastěji způsoben chybou poskytovatele hostingu (nastavení firewallu nebo něco podobného)."
"Auto-delete spam submitted on posts more than a month old.","Automaticky mazat komentářový spam u příspěvků starších než jeden měsíc."
"Show the number of comments you've approved beside each comment author.","Zobrazit počet všech schválených komentářů u každého autora v přehledu komentářů."
"Update options &raquo;","Aktualizovat nastavení &raquo;"
"Server Connectivity","Dostupnost serverů"
"Network functions are disabled.","Síťové funkce nejsou povoleny."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Váš poskytovatel hostingu nebo administrátor serveru zakázal PHP funkce <code>fsockopen</code> nebo <code>gethostbynamel</code>.  <strong>Akismet bohužel nemůže správně fungovat, dokud nebude tento problém vyřešen.</strong>  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o systémových požadavcích Akismetu</a>."
"Unable to reach some Akismet servers.","Nepodařilo se připojit k některým serverům Akismetu."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Nějaký problém se sítí nebo firewallem blokuje některá připojení vašeho webserveru k serveru Akismet.com.  Akismet sice zatím funguje, ale do budoucna to může způsobovat problémy, např. během provozního přetížení sítě.  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o Akismetu a nastavení firewallu</a>."
"Unable to reach any Akismet servers.","Nepodařilo se připojit k žádnému serveru Akismetu."
